	CSCH_1	JG05_1	CMAL_1	CINC_1	CREN_1	CREN_2	CREN_3	CREN_4	CREN_5	CREN_6	CREN_7	CREN_8	CREN_9	CREN_10
Cre16.g652050	-0.43104274640174145	-1.093966693656026	-0.010707775458376105	0.6648606370475139	0.3318124793166053	1.0295710495866799	-0.1710437071011754	0.20099081933382737	0.22315907092871265	0.8920183030926487	1.0543824808432138	0.6764314227976701	0.16503043385167465	0.06353843464689322
Cre16.g652100	1.820446112691944	1.4552789976467975	1.0816149660667655	1.6705193739904474	2.0827465749105945	1.8203535160402038	1.8412418675081854	1.6855012204873585	2.015740310892696	1.6263337761762995	1.516737460365873	1.5734676176164326	1.5414013316270312	1.7435321357978248
Cre16.g652550	2.7111825373649743	2.5444902532139997	2.4254371950282927	2.753173883951379	2.3847996642043814	2.134545044570086	2.266244648719195	2.2903271699915964	2.4795705047934304	2.4215906464534496	2.3395082676263272	2.504020841836951	2.3693942056817807	2.425404152894371
Cre16.g652800	0.28073897639435774	-0.26385414902121035	0.12841027360638566	0.5670526887599303	1.7740168153908051	1.3451539088334554	1.8304120063231648	1.630209970373772	1.5994866323746588	1.624996594872153	1.6306615507664832	1.9582101962269365	1.4512481217169855	1.8864068258316165
Cre16.g653350	1.6804518803748079	1.575936315284889	1.279583170301177	1.6707919848683395	1.222516424308891	1.2544626873481486	1.3556602534724111	1.4461594448272488	1.2525973128555805	1.1205777592842865	1.0917224063052877	1.4304727555435266	1.4218738275711769	1.4663880139443786
Cre16.g653650	1.8672371476041338	1.0968925796804072	1.2598901337958837	2.112046467960097	1.459164768066445	1.05412440594327	0.6749580843903602	0.910662126174992	0.9744429842144324	1.2669227477528164	1.0306307735814157	0.822277147617517	1.3324212792642038	1.3564389476047678
Cre16.g654250	2.0386776075757203	1.7988159094262959	1.334830436159807	1.7320621620762722	1.5400331986849847	1.353736542718272	1.4425496704274934	1.4977580045805228	1.220487996583381	1.2534520875134871	1.5237957015328658	1.3956054571269805	1.3673562132465595	1.2683597291503534
Cre16.g655200	1.2690298551868415	0.48215574618989904	2.1272115425485003	0.12606587714817238	1.006837406910474	1.586931999070402	0.7752550064537388	1.189174622051908	1.28250849297033	0.472984580251389	0.7733660883177862	0.6964734504012793	0.13231391296446002	0.4488843284747588
Cre16.g656050	1.5369402751350223	0.8977440549024015	1.357137625691365	1.4109752240095927	1.0868436283433998	0.9935263573627927	1.252301837524602	0.8129782308521705	0.8310501272945707	0.9613219980806532	0.8063736793311608	0.832231671887495	1.0349189990523424	0.9455779508194275
Cre16.g656400	2.1545310459849993	1.2245415402564048	1.9299750840838183	2.172999729156318	1.330118868208422	1.2451601935493872	0.733974327439264	0.7467953293340263	0.6542379150342414	1.4104048793729698	0.806745557107429	0.9151107599580829	1.52280421815314	0.9295953163320833
