	Vg	CC2344_Vm	CC2931_Vm	average_Vm	expression_bins	average_ED
Cre01.g000250	0.3684766604371011	0.001653179634374203	0.0007637766747121828	0.001208478154543193	30	0.07780467245812957
Cre01.g000300	0.3720344544482054	0.0018197086384684747	0.000866586011707296	0.0013431473250878853	50	0.06162374930461841
Cre01.g000400	0.1503651253026417	0.0019478030475884455	0.0013396483692993892	0.0016437257084439172	70	0.12122530208242047
Cre01.g000450	0.1741364104856304	0.0019893965878750985	0.0012449443415430174	0.001617170464709058	70	0.07110114273537281
Cre01.g000600	0.3403627168618756	0.0021160101775163395	0.0011047035656967202	0.0016103568716065299	70	0.10035446734252876
Cre01.g000650	0.4297003508832847	0.0017191017488418507	0.0018397104959143927	0.0017794061223781218	80	0.144305325107061
Cre01.g000900	0.2258843255345814	0.001008927962957096	0.0010962038876675309	0.0010525659253123134	20	0.05083314844581849
Cre01.g001100	0.1866475763994763	0.0020313752482835476	0.0018783504475445264	0.001954862847914037	90	0.061453403082558755
Cre01.g001350	0.1490014873411795	0.0016782054290202793	0.002108981939304558	0.0018935936841624186	90	0.10700175585314955
Cre01.g800000	0.6552959354065901	0.0020038130598225537	0.0016757347014893435	0.0018397738806559486	80	0.05404994442719584
Cre01.g001750	0.1699768644659872	0.001129683287511664	0.000902414354166596	0.00101604882083913	20	0.0684996974847404
Cre01.g001950	0.0843822170781183	0.0016464099239868516	0.0011678664637317844	0.001407138193859318	50	0.10188225623373046
Cre01.g002200	0.0576457624126649	0.0025278303039434616	0.0011668986460396486	0.001847364474991555	80	0.06118455443175086
Cre01.g002250	0.5761402084207887	0.0010451410955799867	0.001168980255885965	0.0011070606757329759	20	0.06016770570306047
Cre01.g002300	0.3679116463124868	0.002474782937994867	0.001168632910630942	0.0018217079243129045	80	0.0766568550460173
Cre01.g002350	0.1678253365978607	0.002439566979985947	0.001341694301812675	0.001890630640899311	90	0.06374655523021222
Cre01.g002500	0.8091068684896741	0.0007440542257656885	0.0007863296299076026	0.0007651919278366455	10	0.07337646099014299
Cre01.g002550	0.2471738607560578	0.0007811455878738498	0.0013438009847899042	0.001062473286331877	20	0.06310274102950209
Cre01.g003200	1.0045296330582654	0.0011849761358894632	0.0013889303887922835	0.0012869532623408734	40	0.10378498384435948
Cre01.g003376	0.243917241816371	0.0027840206715166907	0.0017737234802450064	0.0022788720758808484	100	0.0731415059870974
Cre01.g003463	0.2166848479493061	0.003322897310412428	0.0027162377447330238	0.003019567527572726	100	0.06611659254593427
Cre01.g003524	0.2461818738677514	0.001137753362987238	0.0018170433184042604	0.0014773983406957492	60	0.1419063945009207
Cre01.g003850	2.4293157586456977	0.0008721122429869294	0.0026613017855198033	0.0017667070142533665	80	0.16125574211934707
Cre01.g004250	0.5185585375719607	0.0009032674690114436	0.0014319693332027629	0.0011676184011071033	30	0.060533523053768204
Cre01.g004300	0.2345310965622184	0.001604067693406485	0.0008796568208253264	0.0012418622571159057	40	0.05438146933995027
Cre01.g004350	0.0320158854280919	0.002119801018422707	0.0008943337348117351	0.001507067376617221	60	0.05867729042131707
Cre01.g004400	0.072348241902021	0.0020956273785791976	0.0016000793363713075	0.0018478533574752525	80	0.10162636402446915
Cre01.g004450	0.3460486869158765	0.0017454244472177723	0.0010611177784548328	0.0014032711128363026	50	0.08273600157166988
Cre01.g004500	0.3188597461985346	0.0024601299367370457	0.0009520611773815451	0.0017060955570592953	80	0.06098009405835262
Cre01.g004550	0.6962276211168681	0.0010077862682146307	0.002604573622587026	0.0018061799454008284	80	0.10195785040181778
Cre01.g004700	1.1199625519882894	0.0012659031326269891	0.002864447443004047	0.002065175287815518	90	0.10651154105772065
Cre01.g004750	1.3522811981971268	0.0010061790258458453	0.00021181324531537756	0.0006089961355806114	10	0.1322424149613301
Cre01.g004950	0.3471207358085383	0.0015134503928492511	0.000525228390899175	0.001019339391874213	20	0.07640733862150877
Cre01.g005001	0.6229284162155116	0.0014001115717923198	0.001022245316100685	0.0012111784439465024	30	0.13239938118987538
Cre01.g005050	0.1369383836762558	0.002264895208302489	0.0016585424583095136	0.0019617188333060013	90	0.06259213820374641
Cre01.g005100	0.3648000469779029	0.0008773284063678137	0.001101604665819403	0.0009894665360936084	20	0.1383617054693882
Cre01.g005150	1.1651914262181613	0.002427553930713391	0.0021750316996657203	0.0023012928151895555	100	0.10625239858954945
Cre01.g005400	2.187739419830772	0.0005486645625443904	0.0019339912315601872	0.0012413278970522888	40	0.17686781309374439
Cre01.g005450	0.3490374968331936	0.0009467546246782237	0.0011901967186965328	0.0010684756716873782	20	0.051797618945741995
Cre01.g005550	0.2708591156274569	0.001455731639988595	0.001161669047750189	0.001308700343869392	40	0.09568599312089834
Cre01.g005813	0.4042686975019311	0.0009337876826239558	0.0022248060510779693	0.0015792968668509625	70	0.08346129416951087
Cre01.g005850	0.4752068269929255	0.0014368117710943642	0.0018694050194125228	0.0016531083952534436	70	0.09360142827200973
Cre01.g005900	1.2205418363967422	0.0021095423850988927	0.002133568616920173	0.002121555501009533	90	0.10398827194820984
Cre01.g005950	0.6522577443000711	0.0018097123551454974	0.0018982625112866746	0.001853987433216086	80	0.1330633007908218
Cre01.g006100	1.144717611923815	0.0017240464435409348	0.0011670805515609235	0.0014455634975509292	60	0.08351790303530975
Cre01.g006150	0.2933608327084963	0.001078181524141925	0.0013468611029761838	0.0012125213135590544	30	0.08358608136985764
Cre01.g006800	0.2945542951949854	0.0014173308553282612	0.0017395173039454121	0.0015784240796368368	70	0.105342500441252
Cre01.g006850	0.5035450168320087	0.0006578996763007997	0.0005109623209579949	0.0005844309986293973	10	0.09044809019465408
Cre01.g006950	3.5603643743992444	0.0019708953403607676	0.0009499620754418609	0.0014604287079013143	60	0.06806148489505777
Cre01.g007000	1.5281860091098105	0.0013888834164405043	0.0013044804696274782	0.0013466819430339914	50	0.08586412286669634
Cre01.g007050	0.623391767212999	0.001940210046509009	0.0015567755684988735	0.0017484928075039412	80	0.10153545216108557
Cre01.g007051	0.414795814522604	0.0016200646855625272	0.0010393152032121668	0.001329689944387347	40	0.06189966803728277
Cre01.g007350	1.205630260368163	0.002796142097283168	0.0026921076111523197	0.002744124854217744	100	0.055079366998843984
Cre01.g007550	0.7697753846602793	0.001725054466547875	0.0012925908973482657	0.0015088226819480704	60	0.10696417561213241
Cre01.g007600	1.2065401480757572	0.000846424437201416	0.0011523344851088562	0.000999379461155136	20	0.17326954848652892
Cre01.g007700	0.2905329798693279	0.0017396568587948196	0.0016061513750116434	0.0016729041169032315	70	0.10082310518670475
Cre01.g007737	0.2690995439332509	0.002191097781468151	0.002510089886948811	0.0023505938342084807	100	0.10446169485214418
Cre01.g007811	0.2095857225624555	0.002051389367250018	0.0019359127525268077	0.0019936510598884127	90	0.06480561549118734
Cre01.g007850	0.3574649419348055	0.002609461756981604	0.00139074379484233	0.002000102775911967	90	0.06399269602593122
Cre01.g008000	0.2357720047413517	0.002368810588554361	0.0011746579728441739	0.0017717342806992673	80	0.05921686440465466
Cre01.g008051	0.2155084190411451	0.0020957161304208344	0.001696659476996449	0.0018961878037086417	90	0.07458743104553789
Cre01.g008500	0.0511275355474379	0.001904188783896024	0.0017309177720480386	0.0018175532779720312	80	0.07833734134268286
Cre01.g008550	0.3293948213637873	0.0025616977905113733	0.0035487908922331203	0.003055244341372247	100	0.13109537813918615
Cre01.g009150	0.4608049236864362	0.0020963608968951625	0.0016864609046740608	0.0018914109007846117	90	0.0871540312844407
Cre01.g009250	0.9556087402084884	0.003342506133107804	0.002855361633977294	0.003098933883542549	100	0.05598863603327413
