"","GB117","GB119","GB49","GB141","GB66","GB57","GB13","GB123","CC2344","CC2931","CL3","W13_1","W13_2","JG4","BMS1","CC3063","CC3060","CC3061","CC2932","CC3079","CC3059","CC1952","CC2343","CC2342"
"GB117",1,0.966868767908701,0.905881102550973,0.966613667082344,0.930816265041411,0.907241332932698,0.960561940946926,0.962717522430835,0.440852746438683,0.449842819178176,0.738513247804742,0.938168875167902,0.933319359162148,0.697116199850941,0.63309597999259,0.890514456781217,0.945380629482253,0.488298023709994,0.386383870587674,0.935580983861877,0.75187098944013,0.431964857015189,0.752696814379559,0.902837846113971
"GB119",0.966868767908701,1,0.943949793588445,0.987968465803534,0.919810066914529,0.943973557336165,0.966533588866886,0.943619167216162,0.396574723332864,0.41043873280997,0.710916124391381,0.931881610836921,0.932383575195687,0.669499553983103,0.605392154709459,0.880524970677876,0.944695174637884,0.467084689982229,0.341891557146168,0.935042426872315,0.725112666198123,0.391987512574595,0.724828339027607,0.884422226210109
"GB49",0.905881102550973,0.943949793588445,1,0.955708886948684,0.845767696997207,0.972035666391438,0.887327491084848,0.851548358904976,0.358482311632994,0.371247437788355,0.621372517925489,0.822423072122063,0.81337079241975,0.595578674643893,0.536660580948205,0.771926995645826,0.857553320205908,0.446816498146699,0.29229468983342,0.836568049058767,0.63527446118892,0.335485477102534,0.6345983961132,0.793857673416686
"GB141",0.966613667082344,0.987968465803534,0.955708886948684,1,0.923828188740174,0.961856167242421,0.959634599573923,0.939279722833899,0.418983519614688,0.433040075340785,0.71690365059328,0.920781314735651,0.921019165628057,0.68060038831106,0.619785617036424,0.880232092749456,0.939742294115909,0.493119260775616,0.365298535849589,0.928425218397235,0.731973162079612,0.414951210864369,0.739692278428194,0.885766429771553
"GB66",0.930816265041411,0.919810066914529,0.845767696997207,0.923828188740174,1,0.858999852864209,0.930903904174683,0.945026939670478,0.648781570821446,0.65797519294528,0.865838462154431,0.901983666528716,0.919404785273853,0.83666355968914,0.804729818981082,0.945746391112055,0.908258070854322,0.691471704945588,0.60442533495507,0.900455621705203,0.882301878980612,0.644309243423528,0.886653508579284,0.943278991090428
"GB57",0.907241332932698,0.943973557336165,0.972035666391438,0.961856167242421,0.858999852864209,1,0.883004896054422,0.870995642241237,0.390248720445132,0.406268852145541,0.663508726348378,0.834634085085484,0.829699425451449,0.624185836164349,0.563636049127615,0.790601698091906,0.858254132565831,0.476773494677564,0.319686233777263,0.838702366157226,0.666334814835028,0.365561850466208,0.65466818960794,0.79942507537905
"GB13",0.960561940946926,0.966533588866886,0.887327491084848,0.959634599573923,0.930903904174683,0.883004896054422,1,0.969197502239304,0.384390730004794,0.395198572142146,0.702104019694318,0.947442899375541,0.947267580241579,0.658168814152652,0.607524649566271,0.892300440147499,0.948549970834657,0.441640357812826,0.342869751782642,0.955791714480452,0.7228228508536,0.388724138267281,0.745022646412207,0.907498478315704
"GB123",0.962717522430835,0.943619167216162,0.851548358904976,0.939279722833899,0.945026939670478,0.870995642241237,0.969197502239304,1,0.43314300831736,0.441112042126189,0.746385605344904,0.947998558175073,0.952747319096612,0.691667415982994,0.636054069382728,0.897946562891262,0.937963308518359,0.476196599027296,0.383200922519268,0.950360254975075,0.75667000994996,0.429892916534365,0.770334946280061,0.910161642205881
"CC2344",0.440852746438683,0.396574723332864,0.358482311632994,0.418983519614688,0.648781570821446,0.390248720445132,0.384390730004794,0.43314300831736,1,0.997017758709301,0.856390319848522,0.372745869951826,0.44792362455688,0.893197793480938,0.93406725803895,0.674053797226791,0.428606260666451,0.983094582340104,0.98689308238738,0.374642189261963,0.871047054169205,0.985317347373571,0.845441449318259,0.640970732247034
"CC2931",0.449842819178176,0.41043873280997,0.371247437788355,0.433040075340785,0.65797519294528,0.406268852145541,0.395198572142146,0.441112042126189,0.997017758709301,1,0.860697252366621,0.382137069388013,0.456480041939635,0.899254162264743,0.937947318801966,0.683135550716997,0.440050110661372,0.986720508875341,0.98646025774893,0.384338004181195,0.875043375967912,0.987118444743279,0.849035521754637,0.64963155589891
"CL3",0.738513247804742,0.710916124391381,0.621372517925489,0.71690365059328,0.865838462154431,0.663508726348378,0.702104019694318,0.746385605344904,0.856390319848522,0.860697252366621,1,0.73618551565907,0.790124298697034,0.98352113089219,0.965462502505888,0.917318001607242,0.765226015449365,0.866963224479043,0.839162612664767,0.725102380379644,0.96080005932042,0.856034412882065,0.935951576923444,0.898821321743242
"W13_1",0.938168875167902,0.931881610836921,0.822423072122063,0.920781314735651,0.901983666528716,0.834634085085484,0.947442899375541,0.947998558175073,0.372745869951826,0.382137069388013,0.73618551565907,1,0.981376711701698,0.678774926211561,0.619889469726206,0.912825042401653,0.977817134463908,0.427391979147692,0.341791048530527,0.972840125425292,0.755699274528701,0.39596281157783,0.757854566874571,0.914058239376701
"W13_2",0.933319359162148,0.932383575195687,0.81337079241975,0.921019165628057,0.919404785273853,0.829699425451449,0.947267580241579,0.952747319096612,0.44792362455688,0.456480041939635,0.790124298697034,0.981376711701698,1,0.734223441948604,0.682709981600561,0.94465357671787,0.977956601286531,0.499724448961921,0.420924446327011,0.977758105146026,0.805036876665527,0.471911976388223,0.817032729161286,0.942412049964293
"JG4",0.697116199850941,0.669499553983103,0.595578674643893,0.68060038831106,0.83666355968914,0.624185836164349,0.658168814152652,0.691667415982994,0.893197793480938,0.899254162264743,0.98352113089219,0.678774926211561,0.734223441948604,1,0.980794087768597,0.894591972399091,0.720236285728849,0.904128344014847,0.886522998505555,0.672675045571664,0.955150794326719,0.894061330064627,0.934874746085359,0.878857657623824
"BMS1",0.63309597999259,0.605392154709459,0.536660580948205,0.619785617036424,0.804729818981082,0.563636049127615,0.607524649566271,0.636054069382728,0.93406725803895,0.937947318801966,0.965462502505888,0.619889469726206,0.682709981600561,0.980794087768597,1,0.861925078585993,0.666102473014887,0.946198370105423,0.931651193843087,0.617471539505936,0.959216675410018,0.941991985971269,0.944323909081032,0.839974805248245
"CC3063",0.890514456781217,0.880524970677876,0.771926995645826,0.880232092749456,0.945746391112055,0.790601698091906,0.892300440147499,0.897946562891262,0.674053797226791,0.683135550716997,0.917318001607242,0.912825042401653,0.94465357671787,0.894591972399091,0.861925078585993,1,0.93388991236095,0.717590929051052,0.657713309010527,0.912160698025091,0.929270185045957,0.694862633277,0.931035297240448,0.98608020493613
"CC3060",0.945380629482253,0.944695174637884,0.857553320205908,0.939742294115909,0.908258070854322,0.858254132565831,0.948549970834657,0.937963308518359,0.428606260666451,0.440050110661372,0.765226015449365,0.977817134463908,0.977956601286531,0.720236285728849,0.666102473014887,0.93388991236095,1,0.48937371283235,0.400249149430278,0.97271460351139,0.787888138304933,0.453094545060265,0.796208738026715,0.935327471579911
"CC3061",0.488298023709994,0.467084689982229,0.446816498146699,0.493119260775616,0.691471704945588,0.476773494677564,0.441640357812826,0.476196599027296,0.983094582340104,0.986720508875341,0.866963224479043,0.427391979147692,0.499724448961921,0.904128344014847,0.946198370105423,0.717590929051052,0.48937371283235,1,0.972447396784338,0.437971102408149,0.895328114217697,0.981585706005566,0.873774682923595,0.685644638200664
