	Vg
Cre01.g000050	0.0
Cre01.g000100	0.011454297944585476
Cre01.g000150	0.7618322022456407
Cre01.g000200	0.08747348293619002
Cre01.g000250	0.05327314422341826
Cre01.g000300	0.3790452629263865
Cre01.g000350	0.2597990175180771
Cre01.g000400	0.0
Cre01.g000450	0.0
Cre01.g000500	0.14121620999992907
Cre01.g000550	0.06334310487812765
Cre01.g000600	0.0
Cre01.g000650	1.8786400179498014e-10
Cre01.g000700	0.16330206180677787
Cre01.g000750	0.1345359115002872
Cre01.g000800	2.1641459229448162e-10
Cre01.g000850	0.0
Cre01.g000900	3.3244904856531153e-09
Cre01.g000950	0.255547698659024
Cre01.g001000	1.562871903261436
Cre01.g001100	1.5208618029313782e-10
Cre01.g001150	0.0
Cre01.g001200	0.8301594006271787
Cre01.g001250	1.1972919555689587
Cre01.g001300	0.0819776320845645
Cre01.g001350	3.3651913539122773e-09
Cre01.g001400	0.21519171669712975
Cre01.g001450	0.8222948509832527
Cre01.g001501	6.876602367795248e-10
Cre01.g001550	4.143760017216028e-09
Cre01.g001600	0.5885332961640448
Cre01.g001650	0.0
Cre01.g001657	0.07344525729565093
Cre01.g800000	0.0
Cre01.g800001	0.3109257909441362
Cre01.g001664	0.0
Cre01.g001678	0.21801617000370957
Cre01.g001700	0.4426068670247874
Cre01.g001750	7.391654313089636e-09
Cre01.g001800	0.0
Cre01.g001950	0.1603256694507152
Cre01.g001983	0.09810848302958068
Cre01.g002050	5.273838842720486e-10
Cre01.g002100	0.6231049288130412
Cre01.g002150	1.3937646163063349
Cre01.g800002	0.0
Cre01.g002200	0.0
Cre01.g800003	0.0
Cre01.g002201	4.552682201489945e-10
Cre01.g002227	0.4688944551289464
Cre01.g800004	0.7209334289286464
Cre01.g002250	0.13957208457529838
Cre01.g002300	0.022343179612274756
Cre01.g002350	2.0482098203419434e-10
Cre01.g002400	0.10272287029625081
Cre01.g002500	0.02181747952542547
Cre01.g002550	0.16106837345201278
Cre01.g002600	2.0645459325683286
Cre01.g002650	0.9322982436369472
Cre01.g002700	0.02063367164617401
Cre01.g002750	0.3613998256772781
Cre01.g002787	0.259226956861892
Cre01.g800005	0.17157210236038326
Cre01.g002900	0.4699086315672782
Cre01.g002950	0.013212342805977382
Cre01.g003000	0.10902756820803271
Cre01.g003050	0.07343659660964937
Cre01.g003100	0.29442383841582065
Cre01.g003150	0.09865891864065306
Cre01.g003200	1.9194655692021487
Cre01.g003250	0.44355651068444163
Cre01.g003300	0.0
Cre01.g003376	0.008968081757038908
Cre01.g003450	0.0
Cre01.g003463	0.0
Cre01.g003475	0.6487735557923244
Cre01.g003487	0.0
Cre01.g003500	0.0
Cre01.g003516	0.018520051947789044
Cre01.g003524	0.025425250687924967
Cre01.g800006	0.035530926300696375
Cre01.g003550	0.8054504804292183
Cre01.g003650	0.9126846045030863
Cre01.g003700	1.4084785685324666
Cre01.g003751	0.0
Cre01.g003800	0.6167690911298435
Cre01.g003850	5.067478709344975
Cre01.g003950	0.056546357355925086
Cre01.g004000	0.09472937471235608
Cre01.g800007	0.7169982196826411
Cre01.g004124	0.3822017460092731
Cre01.g004157	1.5730252837923282e-09
Cre01.g004200	0.09132462262441565
Cre01.g004250	0.10599068069007943
Cre01.g004300	0.024201977995803887
Cre01.g004350	0.0
Cre01.g004400	0.0
Cre01.g004450	0.0
Cre01.g004500	0.2166605699621932
Cre01.g004550	0.5012536198270191
Cre01.g004600	0.0
Cre01.g004651	0.1652486178171724
Cre01.g004700	0.8292955520444069
Cre01.g004750	2.7463116865476476
