"Vm_gen"	"Vm_gen_noint"	"Vm_mut"	"Vm_mut_noint"	"Vm_gen_nomutator"	"Vm_gen_noint_nomutator"	"Vm_mut_nomutator"	"Vm_mut_noint_nomutator"
"Cre01.g000050"	0.000677645589611988	0.000677632426608731	0.0414739086457087	0.0414736333178404	0.000654349098406253	0.000654344544001173	0	0.0199141859329301
"Cre01.g000100"	0.000875679302915557	0.000875681007016682	0.0382984861326167	0.0382991621161619	0.000828248440138555	0.00082823901567622	9.98692632764347e-10	0.0197831777461145
"Cre01.g000150"	0	0.000520410736190178	0.0199974774970878	0.0199974458635084	0.000244897856136666	0.000244896302915878	0.00909284042337009	0.0117491494828287
"Cre01.g000200"	0.000441146379622164	0.000441142677536948	0.0379480190717269	0.0379479321957165	0.000422197543836692	0.000422203662987674	0	0.0163543037288396
"Cre01.g000250"	0.000264707051196909	0.000264704824327103	0.0517798248317205	0.0517796127704811	0.000269852959246597	0.000269855769594512	0	0.0176648056776787
"Cre01.g000300"	0.00030033120119797	0.000300335825363806	0.105484296986198	0.105483418053407	0.000294823871242466	0.000294810966875359	1.98220747559334e-10	0.0379653394499883
"Cre01.g000350"	0.000300835410119908	0.000300823120417839	0.0663429136765519	0.0663439999486232	0.00029983480526862	0.000299843535253406	0	0.0217610719382962
"Cre01.g000400"	0.000464319838588799	0.000464286745060889	0.0518281220894206	0.051828433079835	0.000458813382034224	0.000458807137647624	0	0.0197850006148531
"Cre01.g000450"	0.000431464269052736	0.000431464830147349	0.0475748392380883	0.0475757567745247	0.000424209378044969	0.000424197854366227	0	0.0182837452719534
"Cre01.g000500"	0.000813880504051477	0.000813852316813385	0.0377633513564214	0.037763775178963	0.000828092764219047	0.000828102903955112	0	0.0201917254184712
"Cre01.g000550"	0.000621674496901771	0.000621654392569984	0.03254902455546	0.0325490410561303	0.000618283218209292	0.000618267455455282	3.06759903835279e-10	0.0150939926750185
"Cre01.g000600"	0.000382875692881177	0.000382861080958607	0.049671271201748	0.0496702277841811	0.000374838154631803	0.000374829718847388	0	0.0177394456429767
"Cre01.g000650"	0.000637606480921686	0.000637595071644884	0.100123986374604	0.100120316553748	0.000637056233391874	0.000637037343111445	0	0.0424476292926668
"Cre01.g000700"	0.000709566695172497	0.000709562144813482	0.0570078880799009	0.0570090357900442	0.00072021911392475	0.000720204697733012	0	0.0272166238898229
"Cre01.g000750"	0.000291635350662349	0.000291640454775746	0.0822032335108136	0.0822014765563286	0.000313474359433707	0.000313474758266394	1.29129851028044e-10	0.0298899221278044
"Cre01.g000800"	0.000227843572562233	0.000227829776874881	0.0290595568233235	0.0290594598401835	0.000191036133859225	0.000191037070686179	9.08305652425287e-10	0.0121548068022628
"Cre01.g000850"	0.000458544824976943	0.000458534334177642	0.0564344075484725	0.0564352053810982	0.000442536185634943	0.000442550859665077	2.09305976949485e-08	0.0207890439443377
"Cre01.g000900"	0.000379914031402037	0.000379915317027868	0.0969730808585091	0.0969736164902017	0.000363179219771672	0.000363183194535724	0	0.0346322314397687
