	pval	sigma2	beta	within_variance	shared_beta	selection	Vg	average_ED	average_Vm	color	weight	Vg/Vm
Cre16.g652050	0.027976321618579	42.4823655691188	0.710400545471349	30.17949567321525	24.8057395401286	directional	0.947498307316404	0.1136841710446375	0.0008454676665297	red	0.0	1120.6795301888933
Cre16.g652100	0.125631635694627	19.7184631654828	0.619260371323937	12.210862821794251	24.8057395401286	stabilizing	0.1566142475003412	0.0385857621592819	0.0010319009376745	lightgrey	0.1	151.77256050691096
Cre16.g652550	0.0750573651524131	7.90930217012376	1.14057117459699	9.02112206642058	24.8057395401286	stabilizing	0.5072322864518091	0.0614082568688674	0.0010890497442809	lightgrey	0.1	465.7567655798264
Cre16.g652800	3.97165044278442e-05	40.169537423559	0.325473328185259	13.074113036908061	24.8057395401286	directional	0.8353470931542509	0.1319778880657261	0.0008777896433784	red	2.0	951.648381198942
Cre16.g653350	0.0823207841781465	12.340919237325	1.10402271223466	13.624655127860438	24.8057395401286	stabilizing	3.769290231954912e-10	0.0930544724782543	0.0016333329727209	lightgrey	0.1	2.3077292229494463e-07
Cre16.g653650	0.0084282126650677	53.7605813345967	0.379315537726418	20.392223817417378	24.8057395401286	directional	0.4723537183712191	0.0827835203801414	0.0017121573910341	red	0.5	275.88218282077986
Cre16.g654250	0.0292908165547434	65.0320684660118	0.584363026944116	38.00233637723565	24.8057395401286	directional	0.0685597312829721	0.0823445775573484	0.001149035131567	red	0.0	59.66721939082365
Cre16.g655200	0.155352426363373	19.4816610190992	0.431571645653901	8.407732506084095	24.8057395401286	stabilizing	0.3299434771676337	0.2103311568596559	0.0015088817465469	lightgrey	0.1	218.66755159754211
Cre16.g656050	0.0007006113879257	7.39557259648255	0.313546695094635	2.318857345959552	24.8057395401286	directional	0.2769765782547326	0.0948488443249522	0.0012795568210363	red	1.5	216.4628984826263
Cre16.g656400	0.0006889180608739	34.7614270363063	0.391292949992767	13.60190133099462	24.8057395401286	directional	0.7640634540353151	0.1272934832202478	0.0015655998856774	red	1.5	488.03239002838967
Cre16.g656650	3.21690649442403e-05	125.738372363986	0.0811876292055066	10.208400352391214	24.8057395401286	directional	0.7272606786232021	0.1810355905724827	0.0013848736981717	red	2.0	525.1458523498037
Cre16.g657550	0.0909533010450566	29.0296809861632	0.932669563469301	27.0750998930179	24.8057395401286	stabilizing	0.1527939455786414	0.0777578196330077	0.0015528109836256	lightgrey	0.1	98.3982900622512
Cre16.g657650	0.0234034445170386	298.508536135301	0.91082141241354	271.88796650025307	24.8057395401286	directional	0.3540976040370253	0.0738910523132201	0.0011546126646601	red	0.0	306.68085919641817
Cre16.g657800	0.0036636734276347	91.572676146631	0.272331302136017	24.9381061350918	24.8057395401286	directional	0.5714359218000542	0.1023790978641248	0.0015681974900955	red	1.0	364.39027954652255
Cre16.g657850	0.0902599420650626	11.812820612477	0.965421772563913	11.404354214677074	24.8057395401286	stabilizing	0.1663884052985278	0.1042583738385171	0.0015781687152554	lightgrey	0.1	105.4313164936872
Cre16.g801897	0.129577392910215	18.8958292232955	1.30982062888354	24.750146916532884	24.8057395401286	stabilizing	0.2207120354460741	0.0434879206490467	0.0016818634096177	lightgrey	0.1	131.23065415653676
Cre16.g658400	0.0038632423958662	1532.90670419773	0.249107373246406	381.858362514502	24.8057395401286	directional	0.9879412807189808	0.1969348914219211	0.0013221231431051	red	1.0	747.2384746240283
Cre16.g659200	0.0176950507177565	55.7210279066012	0.746817547969276	41.61344143153551	24.8057395401286	directional	0.6119791106870537	0.1048190430855278	0.0009657996900384	red	0.5	633.6501419489185
Cre16.g659350	0.0146909751443353	74.4933589203046	0.267088603843447	19.896327229632945	24.8057395401286	directional	0.0626252086195803	0.0571341358527385	0.0013742564463936	red	0.5	45.57024912193416
Cre16.g659850	0.0971932292627939	25.7222772616829	1.33735686827886	34.399864163684775	24.8057395401286	stabilizing	0.216291527048288	0.1192891474149106	0.0017729917552698	lightgrey	0.1	121.99240431063056
Cre16.g659900	0.0397480335099039	30.2161304276756	1.12064590125486	33.86158271555692	24.8057395401286	directional	1.0755359640776618	0.1197533540251709	0.0019563659273905	red	0.0	549.7621631103881
Cre16.g659950	0.400985835486257	11.2450855651315	2.08636511170748	23.46135420125575	24.8057395401286	stabilizing	0.5330524669161761	0.052226916812105	0.0010326024246983	lightgrey	0.6	516.2223660978914
Cre16.g660000	0.356113104371807	935.693135886029	2.53619456049109	2373.0998415229974	24.8057395401286	stabilizing	0.2500734389192964	0.0917176259235807	0.0015027386554794	lightgrey	0.6	166.41179622781354
Cre16.g660800	0.0067778179838747	34.0483510738122	0.357509359723259	12.172604192031336	24.8057395401286	directional	0.2172153194963085	0.0600534577775477	0.0012159053594425	red	1.0	178.64492315084706
Cre16.g661100	0.0298285360193202	56.149543206427	0.985397170817888	55.32960101832993	24.8057395401286	directional	0.2438240008543652	0.0637100569105735	0.0012820729964946	red	0.0	190.17949954567362
Cre16.g661150	0.284154243644575	23.2788039600277	0.734026087959216	17.08724940314864	24.8057395401286	stabilizing	0.3739813131744789	0.0408042820691031	0.0011398616413761	lightgrey	0.6	328.0936032929306
Cre16.g662000	0.0041187845482041	36.8616414944031	0.387221143810996	14.273606982213641	24.8057395401286	directional	0.0	0.0697715782461598	0.0014387220612463	red	1.0	0.0
Cre16.g662200	4.57107698979888e-07	27.2948356561955	0.164743912913728	4.496658028338789	24.8057395401286	directional	0.181874815489038	0.1121923307630439	0.0018178745881078	red	2.0	100.04805429309012
Cre16.g662300	0.0003946581079835	5.25230110284693	0.357925292241217	1.879931407175354	24.8057395401286	directional	0.1444825165758024	0.1163062752923369	0.0019454271580501	red	1.5	74.2677596423693
Cre16.g662550	0.0521684489418681	229.95521769897	0.571862069019245	131.5026665751039	24.8057395401286	stabilizing	0.1241757317386428	0.0963592127038698	0.0026855511196357	lightgrey	0.1	46.238453936221276
Cre16.g662650	0.0024820924093653	193.102008340858	0.460875522539241	88.99598899746981	24.8057395401286	directional	1.5905194045454332	0.170971845253367	0.0019528152844175	red	1.0	814.4750900082518
Cre16.g662800	0.0216998187676253	41.1885314539526	0.587702849265781	24.206617292561184	24.8057395401286	directional	1.2411392483987786e-08	0.0874836779212396	0.0017444788710442	red	0.5	7.114670570104783e-06
Cre16.g662950	0.130450781276626	44.1885348110171	0.541120109270704	23.91130478544988	24.8057395401286	stabilizing	0.4542137536539745	0.1032632677209248	0.0008832931384561	lightgrey	0.1	514.2276486466209
Cre16.g663150	0.046661198721532	6.73986532152378	1.13382853712449	7.641851637919388	24.8057395401286	directional	0.0961977271714065	0.110272840902103	0.0013314062278431	red	0.0	72.25272434488188
Cre16.g663200	0.0258349651690004	66.7545290421735	0.810658058769651	54.11509692741066	24.8057395401286	directional	0.1067225072055235	0.0761384495063438	0.0015585447772825	red	0.0	68.47574016551923
Cre16.g663350	0.0083998573933538	847.548842454521	0.324336338800078	274.89088851594346	24.8057395401286	directional	0.130816940299407	0.0525914166355153	0.0015316895260242	red	1.0	85.40695622497854
Cre16.g663600	0.0087913874920526	83.0786234120339	0.632332206941416	52.53328929178619	24.8057395401286	directional	0.4340144191092152	0.0887372617691708	0.0012177082274356	red	0.5	356.4190578092884
Cre16.g663650	0.0342412914485956	212.994233611675	0.578483797215147	123.21371304461185	24.8057395401286	directional	0.3998976932914928	0.0420249757680405	0.0017197778985701	red	0.0	232.528685026122
Cre16.g663800	0.157556002831394	15.6069243969306	1.0984573644485	17.143541040199384	24.8057395401286	stabilizing	0.18013357204465	0.0695716259744559	0.0012867065606662	lightgrey	0.1	139.99584485788645
Cre16.g663900	0.0539442702331384	82.9614590733247	0.545087252556405	45.2212337943492	24.8057395401286	stabilizing	1.001475450969496	0.1470206061390308	0.0010516991898074	lightgrey	0.1	952.2451483041444
Cre16.g663950	0.0167041094104668	121.983447552421	0.24183225721171	29.499532464068213	24.8057395401286	directional	0.2036419699928183	0.113679193540373	0.0010954044749974	red	0.5	185.9057312992095
Cre16.g664050	0.043300849196381	103.997025934227	0.666774537957805	69.34256891628006	24.8057395401286	directional	0.2847711753675889	0.0587786873430209	0.0011770286703361	red	0.0	241.94072969035884
Cre16.g664350	0.0647151721347345	44.8802661685661	0.5388064836654	24.181778400252313	24.8057395401286	stabilizing	0.5862508932372322	0.0663710744966481	0.0013699984650783	lightgrey	0.1	427.9208394614705
Cre16.g664500	0.0486950923079274	49.9429396794707	1.01220351474621	50.552419080318195	24.8057395401286	directional	0.490452685743164	0.0818918713000282	0.0010414929405638	red	0.0	470.9131158178212
Cre16.g664550	0.0036153399883466	14.8044555169022	0.604340145314323	8.946926798384107	24.8057395401286	directional	0.2022473370777914	0.0792665508539568	0.0019492429618614	red	1.0	103.7568640928468
Cre16.g664850	0.131375194900105	25.9904792565505	0.428145460388423	11.127705707011572	24.8057395401286	stabilizing	0.127894490889186	0.028746140676743	0.0017174645736536	lightgrey	0.1	74.46703288738775
Cre16.g665000	0.0022604036013824	12.8802740132375	0.333783047354669	4.299217110901565	24.8057395401286	directional	0.1497464514654711	0.0554384710880757	0.0021127216500772	red	1.0	70.8784573964106
Cre16.g665200	0.0088522859793563	32.0879379516152	0.414097812767173	13.287544921972618	24.8057395401286	directional	0.4818010697800816	0.0630437115650271	0.0011276745204821	red	0.5	427.25188964463206
Cre16.g665364	0.009633032161075	8921.28273413356	0.50750625638953	4527.606802592673	24.8057395401286	directional	0.1852756193962121	0.0518742041711716	0.0013736181880014	red	0.5	134.88145469723733
Cre16.g665400	0.0150579090865246	7.31337052969695	0.828173631776462	6.056740632106071	24.8057395401286	directional	0.6903697652064381	0.09632400614984	0.0020753590026887	red	0.5	332.6507675597523
Cre16.g665500	0.0006242515902977	31.0097231737413	0.314352676500226	9.747989477196661	24.8057395401286	directional	0.34657852217146	0.0334091796731361	0.0009464193067659	red	1.5	366.19975912768166
Cre16.g665550	0.024323769776814	21.4550885909204	0.312779105704557	6.710703422280128	24.8057395401286	directional	0.1660732643238396	0.061672955846786	0.0014592114327764	red	0.0	113.81028176832245
Cre16.g665650	0.0275170802426725	12.4552897790963	0.595565010775064	7.417934791494033	24.8057395401286	directional	0.1259374949888518	0.0736965385439031	0.0013613258084296	red	0.0	92.51091414635775
Cre16.g665850	0.0959344562014281	5.83977829874895	1.1320169334875	6.610727921996636	24.8057395401286	stabilizing	0.6348237721865266	0.1569133182032899	0.0014282760132021	lightgrey	0.1	444.4685525196869
Cre16.g666050	6.55923838186348e-05	101.657021235143	0.257879864341083	26.215298845437275	24.8057395401286	directional	0.4298101268555515	0.1074859150377218	0.0015500336057462	red	2.0	277.29084405795
Cre16.g666334	0.0391485637235544	39.1261961288978	0.855258540555797	33.46301339870101	24.8057395401286	directional	0.2127839551898135	0.0848521780938507	0.0013445551843401	red	0.0	158.2560222652718
Cre16.g666400	0.0035083352907484	59.2326096157479	0.364112813978333	21.567352166470034	24.8057395401286	directional	0.2769148585097105	0.0967588504458997	0.0012837889200545	red	1.0	215.7012373170776
Cre16.g666550	0.151667170330747	18.6020963019236	1.21577197799069	22.61590741576295	24.8057395401286	stabilizing	0.5756882069840912	0.0803983038648191	0.0012554408715463	lightgrey	0.1	458.5546161764099
Cre16.g670261	0.148509783553601	61.2768846570208	0.47981030712293	29.401280846821507	24.8057395401286	stabilizing	0.0294911750593939	0.0726174544722724	0.0015629398711505	lightgrey	0.1	18.86904007233821
Cre16.g670617	0.142345899323362	20.2287989997767	0.678345158942441	13.722107872718217	24.8057395401286	stabilizing	0.1185178220886835	0.0824702590287661	0.0014350276198969	lightgrey	0.1	82.58922716567535
Cre16.g670973	0.0015554559402073	51.4288177027004	0.16271190861891	8.368081086420368	24.8057395401286	directional	0.4710363362233117	0.0911045021266816	0.0012944416210265	red	1.5	363.8915255597058
Cre16.g672397	0.0001889444969953	16.1854784665702	0.326848362600882	5.290197134710304	24.8057395401286	directional	0.2181421530942524	0.0859354925818413	0.0011163454538828	red	1.5	195.4073914445789
Cre16.g673109	0.164630486673236	22.2280744767742	1.00918758727207	22.432296850919634	24.8057395401286	stabilizing	0.3536837214314259	0.0691425819988047	0.0016528083743033	lightgrey	0.1	213.98955071274517
Cre16.g674534	0.0578820369621861	70.213720771853	0.361956769269243	25.41433152895265	24.8057395401286	stabilizing	0.5525581969666422	0.0973769285267728	0.0011696267931288	lightgrey	0.1	472.42265670789413
Cre16.g674890	0.0014307826726229	17.0724175520561	0.42868456235591	7.3186818466605255	24.8057395401286	directional	0.2561382604974885	0.1232347804672931	0.0014289685946642	red	1.5	179.24694878103998
Cre16.g677026	0.0187387895103115	85.7952124256649	0.465446818521184	39.93310866787488	24.8057395401286	directional	0.2070745833633061	0.0577268932806421	0.0013196963575693	red	0.5	156.91077888909922
Cre16.g679164	0.0019902480368481	36.3654550012569	0.600852226469053	21.850264604065366	24.8057395401286	directional	0.182367723358863	0.13939064489479	0.0014325784442868	red	1.0	127.3003402265023
Cre16.g685573	0.184034126775904	22.7139522241578	0.956936745409145	21.735815516764376	24.8057395401286	stabilizing	0.386236617846404	0.0646400081999328	0.0017855156490553	lightgrey	0.1	216.31656829821586
Cre16.g688650	0.0329844314939194	8.39013667855756	0.521213838525681	4.373055343986094	24.8057395401286	directional	0.1571639057955625	0.0833549873565429	0.0011628739567028	red	0.0	135.15128177879512
Cre16.g688800	0.000319862650447	38.5093207115883	0.402098091596895	15.48452436682244	24.8057395401286	directional	0.3763806937804961	0.1093806547570466	0.001652996104234	red	1.5	227.6960561591349
Cre16.g688850	0.0008664594443037	7.38592933093614	0.345261783989599	2.550079137220117	24.8057395401286	directional	0.0	0.1110490141120064	0.001807642502544	red	1.5	0.0
