CINC	CSCH	k0	k4	sites
g13757	g4	0.4343193088810184	0.8308399987081131	5548.0
g13756	g5	0.1963431771244578	0.41285167642119286	2254.0
g13755	g6	0.1784007435617679	0.42720325936419645	1899.0
g13754	g7	0.0497544862100084	0.22078746410004657	721.0
g13753	g8	0.0735940378161836	0.2562790199148045	1404.0
g13752	g9	0.0633005910936262	0.14974925268894534	960.0
g13751	g10	0.0796615163495388	0.30837234691710164	1906.0
g13750	g11	0.0432907038489253	0.19851941567031162	1568.0
g13749	g12	0.1616274824865944	0.42297234259736094	1985.0
g13747	g13	0.0353763324155789	0.24053444859619705	1458.0
g13746	g14	0.0814028725682831	0.2869131364389665	2175.0
g13744	g15	0.2622884778289589	0.6155233699457864	2778.0
g13742	g17	0.2339327559574154	0.59572899768502	2882.0
g13741	g18	0.182630575005916	0.49747066305769816	622.0
g13740	g19	0.0620187868838349	0.16735766348565728	242.0
g13739	g20	0.0430998284011935	0.1453489334786128	1473.0
g13738	g21	0.1902095996544165	0.48315439217703166	2185.0
g13737	g22	0.5220175648108392	0.7908656128193787	3068.0
g13736	g23	0.0289023005496468	0.2071386150645925	2012.0
g13735	g24	0.4180792182398978	0.8332813704151598	7584.0
g17122	g26	0.2270889085966776	0.5439163282553362	8132.0
g17123	g28	0.2880707776145331	0.512316568046879	10284.0
g5734	g39	0.7316928556165851	1.1338495821526382	827.0
g9539	g48	0.0739114560969531	0.31641749083167353	1785.0
g2428	g50	0.7772680461912576	None	2140.0
g2426	g53	0.5998203610872699	1.0088905286888392	3628.0
g2421	g57	0.1080295276672032	0.4849703736937894	501.0
g2420	g58	0.2283544427735789	0.4490931768698495	3196.0
g2419	g59	0.2332073875088603	0.6452335980991905	1413.0
g2418	g60	0.0836723823466832	0.3117416968987472	3732.0
g2416	g64	0.3876562256109338	0.8414018631242828	743.0
g2415	g65	0.0982009972821085	0.4498491160125918	1980.0
g2413	g67	0.1756326840646738	0.6372206296275094	850.0
g2412	g77	0.309929902455937	0.7354479863775207	4103.0
g2411	g83	0.2791795953598829	0.8167476224765007	950.0
g2410	g84	0.1337151755945528	0.5292408374342544	1339.0
g2409	g85	0.2417286944221679	0.5885549129731033	835.0
g2407	g87	0.1571660304392351	0.8239592165010822	616.0
g2406	g93	0.0762076323080868	1.096933249402141	315.0
g2405	g94	0.0542814063913717	0.8111017587612541	2064.0
g14943	g119	0.7956539705139472	1.9422642007658835	2086.0
g15930	g123	0.0647927424363905	0.699154640385041	2598.0
g15932	g124	0.1619162853247784	0.8517401702613439	306.0
g15933	g125	0.1791414380392298	0.6827270175221493	2010.0
g15934	g126	0.0647301776657744	0.5364466429797837	1970.0
g15935	g127	0.128414357242237	0.5580504532404016	985.0
g15936	g129	0.476788474368524	1.022478632171394	816.0
g15938	g131	0.0612585232607003	0.29209857507129233	380.0
g15939	g133	0.0077022499780921	0.5746292366811265	813.0
g15940	g134	0.0989973546798292	0.5051058112209305	2703.0
g15943	g135	0.0636450505853382	0.38608364856136057	4347.0
g15944	g136	0.0879332907373676	0.37033481736975166	1468.0
g15945	g137	0.124834110177934	0.48064010762296966	4588.0
g15946	g138	0.1420901459484196	0.49747066305769816	1862.0
g15951	g141	0.0438721550112063	0.40424737554951534	1065.0
g15950	g142	0.0552352773345682	0.2894020838723356	2189.0
g15949	g143	0.0315282848965449	0.2616135543326343	893.0
g15948	g144	0.3622816895299584	0.760640384016523	10198.0
g15947	g145	0.0545695157118212	0.23761740551946028	1666.0
g14658	g147	0.7629344655480488	1.7049530289939536	2333.0
g15953	g148	0.0575599401909608	0.2524873450798959	3461.0
g15957	g153	0.0986163682460417	0.556453008547033	3910.0
g15958	g154	0.2810584139839971	0.5052968210271329	930.0
g15959	g155	-0.0	0.0635974024950577	445.0
g15960	g156	0.0938291245661958	0.3305499352092169	1245.0
g15961	g157	0.0708490996895694	0.3615208666594031	1105.0
g15964	g158	0.0816021448865993	0.31811793084023765	294.0
g15965	g159	0.2885761697527572	0.7376783664746699	3258.0
g15966	g160	0.2878371999707192	0.6646492159545098	1853.0
g15967	g161	0.0137389353927635	0.12989180492301156	1198.0
g15968	g162	0.0223897223622608	0.2356027606522211	1035.0
g15969	g164	0.3324805959684932	0.7070009147901182	4666.0
g15973	g165	0.1295468678268863	0.4970724153382649	2052.0
g15975	g167	0.1324505951276789	0.5853353996184397	2309.0
g15977	g171	0.0904920083700813	0.4516315517656639	464.0
g15981	g175	0.1798024792091676	0.57296898576253	5419.0
g15982	g176	0.0849688136607721	0.5665601769644595	1107.0
g15983	g177	0.0073620223032423	0.35584348469633686	429.0
g15985	g179	0.0664886936625221	0.2453104343903867	1444.0
g15986	g180	0.2438313584781733	0.6395948509154964	3476.0
g15987	g181	0.0441776511254464	0.20199970033768835	1940.0
g15989	g182	0.069034813626573	0.3255931378642468	3594.0
g15990	g183	0.0891673819736809	0.5920144616788362	711.0
g15991	g184	0.2297008897748612	0.5592188383564216	2762.0
g15992	g185	0.0818528692036211	0.5326812104394341	1962.0
g15993	g186	0.0606862771671304	0.49747066305769816	1369.0
g15994	g187	0.1407232067639442	0.627531560658304	760.0
g15997	g188	0.1180270403564188	0.5846299684088965	3314.0
g15998	g189	0.2162434046605818	0.6426809126021193	3342.0
g15999	g191	0.0169362035225319	0.3606109090124635	1260.0
g16000	g192	-0.0	0.16602905374937074	258.0
g16001	g193	0.0096963212215518	0.27654982412957585	800.0
g16002	g194	0.1846915466763832	0.7390145142026577	2383.0
g16003	g195	0.0244150831074353	0.18482727737060492	2162.0
g16004	g196	0.2816761858242761	0.7625213746501671	1576.0
g16005	g197	0.0505141365221186	0.24967081145499673	3721.0
g16006	g199	0.0632329783792083	0.36309375634720925	3997.0
g16007	g200	0.3331364422786667	0.8303939556867996	9007.0
g16008	g201	0.070406440092606	0.4037109587904464	2672.0
g16009	g202	0.0271522864979704	0.6829200428738776	221.0
g16010	g203	0.1370640954798952	0.44614841315301723	3526.0
g16013	g204	0.0959288866626691	0.5112888635522419	637.0
