CINC	MALA	k0	k4	sites
g11529	Mal24_g4	0.0373443658662146	0.7227697280765544	1690.0
g11530	Mal24_g5	0.0065076330192667	0.5002770274171946	695.0
g11531	Mal24_g7	0.0911359963120852	0.4744868017195343	6407.0
g11532	Mal24_g9	0.2126814678743456	0.8178116410979485	1095.0
g11533	Mal24_g10	0.045899912786724	0.26260353311367607	1716.0
g11534	Mal24_g12	0.0649879211571107	0.2958760662940295	8608.0
g11535	Mal24_g15	0.0296091082303405	0.16305965745391854	1376.0
g11536	Mal24_g16	0.0703640664132411	0.5146234564116106	3158.0
g7408	Mal24_g17	0.532626651097032	0.6996597334254292	1045.0
g11539	Mal24_g18	0.0200011853116209	0.5058412856608444	670.0
g11540	Mal24_g19	0.0099085662777895	0.18687637853297198	3450.0
g11541	Mal24_g20	0.1251450454526806	0.6168605750006488	1485.0
g11542	Mal24_g21	0.009434086655145	0.32464806172220906	960.0
g11543	Mal24_g22	0.1002221857861397	0.4749039636576919	4580.0
g11544	Mal24_g23	0.0320048558445567	0.13076504035858336	598.0
g11547	Mal24_g24	0.0777701780858116	0.6434047315976402	844.0
g11548	Mal24_g25	0.0629357196883946	0.5279685724981207	588.0
g11549	Mal24_g32	0.1113150038387049	0.4711982745607869	1514.0
g11550	Mal24_g33	0.0337135408966997	0.2925682056439324	2083.0
g11551	Mal24_g34	0.0532768298375638	0.35378587023702374	260.0
g11552	Mal24_g36	0.0869569687412724	0.49526801830271594	734.0
g11553	Mal24_g37	0.0055103895216254	0.1735969947961309	1918.0
g9244	Mal24_g39	0.1717253471916821	0.6694801974426801	5020.0
g11555	Mal24_g40	0.0297489422943235	0.2774056222540964	754.0
g11556	Mal24_g41	0.0448228958420267	0.31456598970147276	4267.0
g11558	Mal24_g43	0.041447009006287	0.38959274753345924	758.0
g11557	Mal24_g44	0.1567089920338668	0.37892018211344514	5117.0
g11559	Mal24_g46	0.2203785770983116	0.6049968813584987	2916.0
g11560	Mal24_g47	0.1595855732089973	0.5782791653917702	501.0
g11562	Mal24_g48	0.0112572469879239	0.13674116759546595	543.0
g11563	Mal24_g49	0.0950992796672032	0.5832784264410062	872.0
g12997	Mal24_g50	0.3954965218987538	0.803778626811139	2214.0
g11568	Mal24_g52	0.0647931278250228	0.408545381581254	2510.0
g11569	Mal24_g53	0.1218200405402041	0.5512187329684082	3662.0
g11570	Mal24_g54	0.1693494180981332	0.6266261077101255	1840.0
g11571	Mal24_g55	0.0054545694968098	0.433283259685033	554.0
