CREN	CINC	k0	k4	sites
Cre02.g142166	g7	0.0471795984732897	0.4952810889451818	9436.0
Cre02.g142146	g8	0.0404185113759061	0.4162476315593459	1108.0
Cre02.g142126	g9	0.0265300972294356	0.5198603854199589	656.0
Cre06.g296550	g15	0.1851148678452978	0.5068165783860571	4606.0
Cre06.g296500	g16	0.073864510595869	0.3528731837842642	1904.0
Cre06.g296400	g17	0.0273209016065943	0.4482842285265668	1269.0
Cre06.g296300	g20	0.0826143818586801	0.252737417126778	1178.0
Cre06.g296350	g24	0.276077992463547	0.6310930214588997	2466.0
Cre06.g296250	g26	0.021491441820282	0.2126814678743456	1827.0
Cre06.g296200	g27	0.0643826713791054	0.3984258715478983	1185.0
Cre06.g296150	g29	0.1697064835397762	0.4493840569031126	2665.0
Cre06.g296100	g30	0.0530111892384639	0.3421905552469748	1550.0
Cre06.g296050	g31	0.1882919225539636	0.5205532261158818	3390.0
Cre06.g296000	g32	0.160277368151342	0.5432267612548056	776.0
Cre06.g295950	g33	0.3020605345825667	0.6312599010622353	6302.0
Cre06.g800726	g34	0.1721808312333752	0.4042473755495153	730.0
Cre06.g800725	g35	0.2523541774659096	0.502878527857639	604.0
Cre06.g800724	g36	0.0507235506664727	0.2665055406941968	554.0
Cre06.g295826	g37	0.0603340239140544	0.2254732850944379	845.0
Cre06.g295700	g38	0.0218951596667632	0.1508193438282108	2700.0
Cre06.g295650	g39	0.2119002803988647	0.5071697273037061	1255.0
Cre06.g295600	g40	0.0330787680016948	0.2836086997663357	1921.0
Cre06.g295550	g41	0.0572738201714067	0.3308873930326826	1051.0
Cre06.g295500	g42	0.1371172016971011	0.4319378170100514	615.0
Cre06.g295450	g43	0.0250127391061839	0.2744507020136468	1241.0
Cre06.g295400	g44	0.0261322025164361	0.241562624376835	933.0
Cre06.g295250	g46	0.0100926670204581	0.3040988310811232	625.0
Cre06.g295200	g47	0.0468408947726174	0.2434061320645368	2977.0
Cre06.g295150	g48	0.1258692437291289	0.3469676414610848	4621.0
Cre06.g295100	g49	0.0827272232928496	0.4077965890786952	3789.0
Cre06.g295050	g50	0.1603585589497975	0.4110367667236462	4002.0
Cre06.g295001	g51	0.2467358422887165	0.5976903454483469	7115.0
Cre06.g294950	g53	0.0219695341889613	0.1801831533949943	1107.0
Cre06.g294850	g54	-0.0	0.1959116244477132	387.0
Cre06.g294800	g56	0.0412002891133781	0.2291499855521688	702.0
Cre06.g294750	g57	0.0031965951427064	0.1849811419361352	939.0
Cre06.g294700	g58	0.059758704317851	0.3984258715478983	12470.0
Cre06.g294650	g59	0.0147063535412822	0.1592267917544177	1250.0
Cre06.g294500	g60	0.1417393349273121	0.4796933070682372	858.0
Cre06.g294450	g61	0.0582251520883205	0.317373513905674	1104.0
Cre06.g294400	g63	0.038702329159535	0.3774538800203555	1888.0
Cre06.g294250	g66	0.0499568100987563	0.4844047628072538	2494.0
Cre06.g294200	g67	0.1477897143000667	0.3815870416021427	2843.0
Cre06.g294100	g71	0.0776373880110802	0.5627291957999205	2308.0
Cre06.g294050	g72	0.0675597525403362	0.3690363250797693	8427.0
Cre06.g800721	g73	0.3165912843142	0.4328612000227974	4211.0
Cre06.g294000	g77	0.0611197756883871	0.4114244638116283	691.0
Cre06.g293950	g78	0.0201853543324838	0.2032403954097081	1445.0
Cre06.g293900	g79	0.0359631163944548	0.4059048347876174	2015.0
Cre06.g293850	g80	0.0714365957506847	0.1884858212106795	827.0
Cre06.g293800	g81	0.080850367139406	0.3725556629131886	2146.0
Cre06.g293750	g82	0.0292849979226768	0.3673187651232507	1710.0
Cre06.g293700	g83	0.0271522864979704	0.314491607077193	573.0
Cre06.g293650	g86	0.1467102187048688	0.3811740518582632	2620.0
Cre06.g293582	g87	0.0255663852221013	0.2176951201098441	3070.0
Cre06.g293516	g90	0.1312118346230441	0.45084621137977	2998.0
Cre06.g293400	g91	0.1627060442458083	0.4493386731837518	3014.0
Cre06.g293300	g93	0.2057738206865719	0.6133422193254164	4507.0
Cre17.g697550	g94	0.2506781991148475	0.3306322103923614	893.0
Cre06.g293250	g95	0.0944706442570557	0.4285876841868191	1622.0
Cre06.g293200	g96	0.0882592208542013	0.3119523059815947	1846.0
Cre06.g293150	g98	0.036592623127074	0.336179193068588	1048.0
Cre06.g293100	g101	0.1676707505284005	0.3893757713125396	920.0
Cre06.g293051	g102	0.0335763086421627	0.3107537105914882	1502.0
Cre06.g800716	g103	0.0334213710449331	0.2209629622230174	1257.0
Cre06.g293000	g104	0.0583952413292042	0.3489063426883101	1647.0
Cre06.g292950	g105	0.0353006331434893	0.6354733952904027	399.0
Cre03.g198700	g107	0.2397292674965483	0.5486879155507635	1229.0
Cre06.g292900	g111	0.0655487242722501	0.3263117083588582	1426.0
Cre15.g801748	g112	0.4356406710948557	0.6592377595960083	349.0
Cre06.g292850	g113	0.0807501843699227	0.3363233579937058	2607.0
Cre06.g292800	g114	0.0065217802256654	0.4086634825184321	457.0
Cre06.g292700	g116	0.0100001481520988	0.2036517791461041	913.0
Cre06.g292650	g117	0.0730665847556012	0.4793540754392134	3826.0
Cre06.g292600	g118	0.200209630479452	0.4788227982906554	2182.0
Cre06.g292550	g119	-0.0	0.1269513259120316	895.0
Cre06.g292500	g120	0.0287433849522349	0.345611402393497	700.0
Cre06.g292450	g121	0.1472480255013061	0.4702075350774848	1708.0
Cre06.g292400	g122	0.0582009345176637	0.3225272766290024	959.0
Cre06.g292350	g123	0.0591686577496397	0.3301391826089267	1598.0
Cre06.g800714	g126	0.2793654069764416	0.6281988474738677	1049.0
Cre06.g292150	g127	0.1044940393441291	0.4474117822358288	3830.0
Cre06.g292100	g128	0.0660914034552426	0.2293570927832532	1423.0
Cre06.g292050	g129	0.0620738145811339	0.3030372597786252	1783.0
Cre06.g292000	g130	0.1047618407088445	0.3977538284921792	1954.0
Cre06.g291950	g131	0.2493471842196951	0.5954978444936373	3815.0
Cre06.g291900	g132	0.0226977432298702	0.2547580256776209	749.0
Cre06.g291850	g133	0.0234443586786913	0.1490030210966131	2487.0
Cre06.g291800	g136	0.1407470037754381	0.3604572137384211	1276.0
Cre06.g291750	g137	0.1689965869477933	0.4681157318047452	4991.0
Cre06.g291700	g138	0.0187097009599329	0.1571994946548394	1412.0
Cre06.g291650	g139	0.0190184516925612	0.4849703736937894	317.0
Cre06.g291600	g140	0.0623068722819529	0.445598143105119	1312.0
Cre06.g291550	g141	0.109636882633561	0.3482292060983233	753.0
