CREN	JG05	k0	k4	sites
Cre05.g230600	JG24_g17439	0.0200011853116209	0.2866851135046178	1402
Cre05.g230650	JG24_g17440	0.0378032771429798	0.8005198088730039	330
Cre05.g230800	JG24_g17442	0.2320143907793412	0.5370816858350052	3583
Cre05.g230850	JG24_g17443	0.131268909836586	0.49466204669532643	1878
Cre05.g230900	JG24_g17444	0.0644172539103222	0.23793065601999397	995
Cre05.g230950	JG24_g19119	0.0836568388045582	0.07620763230808683	945
Cre05.g231000	JG24_g17445	0.1927249629311659	0.669206891752711	1038
Cre05.g231050	JG24_g17446	0.1480888240426945	0.5048268828157508	2916
Cre05.g232000	JG24_g17468	0.1365284318118811	0.5823965921242473	1092
Cre05.g232002	JG24_g17466	0.0173054347677134	0.20002451034028912	2004
Cre05.g232004	JG24_g17452	0.3068583611325194	0.5742552184711559	1455
Cre05.g232100	JG24_g17469	0.2808902281940572	0.5768498156534005	532
Cre05.g232150	JG24_g17470	0.0126488241406977	0.2326161962278796	1329
Cre05.g232200	JG24_g17471	0.0309322189005368	0.2479587299685142	2130
Cre05.g232450	JG24_g19378	0.0806496515458052	0.38800125296363064	1546
Cre05.g232500	JG24_g19377	0.1672100507851208	0.5247400382870125	7268
Cre05.g232550	JG24_g19376	0.1467191418152381	0.43890700791586407	1406
Cre05.g232600	JG24_g19375	0.1332282806111462	0.3104818483320548	1640
Cre05.g232750	JG24_g19372	0.0063502042502867	0.13042976990150257	1671
Cre05.g232751	JG24_g19373	0.0589062666325592	0.25642247078531133	1806
Cre05.g232752	JG24_g19374	0.1452124753331813	0.40235104078449624	1582
Cre05.g232800	JG24_g19371	0.0715830431805909	0.41405143672502986	373
Cre05.g232850	JG24_g19369	0.0128482799476377	0.4673914439647763	236
Cre05.g232900	JG24_g19368	0.2293170517771467	0.5891928754576649	8213
Cre05.g232950	JG24_g19367	0.0589823454893348	0.2912780060616482	1483
Cre05.g233050	JG24_g19366	0.0084986745071624	0.2326161962278796	537
Cre05.g233100	JG24_g19365	0.0455435181481209	0.2663550181654864	3203
Cre05.g233300	JG24_g19221	0.0562536852326844	0.4477286808593936	890
Cre05.g233303	JG24_g19222	0.1196464104490485	0.3704335585839833	4367
Cre05.g233304	JG24_g19363	0.1302256417647393	0.5129478940912662	2650
Cre05.g233305	JG24_g19364	0.021353755560984	0.2635484151284164	1157
Cre05.g233450	JG24_g19218	0.0544687143407708	0.3478247844115222	1708
Cre05.g233550	JG24_g19217	0.1595957335390051	0.5653288517822852	5906
Cre05.g233551	JG24_g19219	0.2070473316192396	0.5580759235929138	3955
Cre05.g233600	JG24_g19216	0.1414448974929208	0.4580911512806579	4830
Cre05.g233650	JG24_g19215	0.0581219576468983	0.30611302757275355	6835
Cre05.g233750	JG24_g19213	0.2320720278746039	0.6171187529013585	2375
Cre05.g233751	JG24_g19214	0.0458157689848786	0.4870084184261643	417
Cre05.g233800	JG24_g19212	0.020045736679361	0.17030666693817195	2054
Cre05.g233850	JG24_g19211	0.3009005319912802	0.6734561949044688	2913
Cre05.g233900	JG24_g19210	0.0409813619937036	0.26766083118931505	1031
Cre05.g233950	JG24_g19209	0.0143202441116847	0.16881256209902729	431
Cre05.g234050	JG24_g19208	0.0531651085852666	0.33084396638028635	923
Cre05.g234100	JG24_g19207	0.0230123517546361	0.26048874744795236	1606
Cre05.g234150	JG24_g19206	0.2201296505533271	0.48323747088958113	1779
Cre05.g234200	JG24_g19205	0.0817734137383351	0.3463020101771002	2579
Cre05.g234250	JG24_g19204	0.3529427336805689	0.9965923999797746	528
Cre05.g234300	JG24_g19203	0.0160987399760046	0.2843236742005665	1373
Cre05.g234350	JG24_g19202	0.0875309117576115	0.5198603854199589	1790
Cre05.g234550	JG24_g12574	0.0149529193921337	0.08034430588679656	1118
Cre05.g234600	JG24_g12575	0.2297728746202123	0.5653288517822852	2901
Cre05.g234636	JG24_g12576	0.0487337452151101	0.47455353957328916	994
Cre05.g234637	JG24_g12577	0.0117189884273106	0.06033402391405441	383
Cre05.g234638	JG24_g12578	0.0206375875560001	0.20166717982681015	1762
Cre05.g234639	JG24_g12579	0.0157589514092878	0.16472145690507392	1545
Cre05.g234640	JG24_g12584	0.0832979041906634	0.4597073146890746	10202
Cre05.g234641	JG24_g12585	0.2845288041602211	0.7376572191624918	676
