CREN	MALA	k0	k4	sites
Cre08.g373300	Mal24_g4	0.0465399137823082	0.7937537921476274	2747.0
Cre08.g373250	Mal24_g5	0.0108540244564008	0.4313009193707582	695.0
Cre08.g373200	Mal24_g7	0.0985334569067307	0.5269386167608461	6824.0
Cre08.g373100	Mal24_g10	0.0479278514846101	0.3666842972514568	1712.0
Cre08.g372716	Mal24_g11	0.4244202654689116	0.9078230849099134	1975.0
Cre08.g373050	Mal24_g12	0.0734496900703155	0.36283687878869364	8696.0
Cre08.g372950	Mal24_g15	0.0229275495635085	0.25619377629555284	1376.0
Cre08.g372900	Mal24_g16	0.0604848371152155	0.5149148945104871	3130.0
Cre01.g800117	Mal24_g17	0.438907007915864	0.5716050390351726	480.0
Cre08.g372850	Mal24_g18	0.0200904869727373	0.48235256998896303	668.0
Cre08.g372800	Mal24_g19	0.0143357970174865	0.26812578667577847	3592.0
Cre08.g372750	Mal24_g20	0.1213504316427252	0.7431850290587643	1505.0
Cre08.g372550	Mal24_g21	0.0109662528129749	0.32952499483788433	960.0
Cre08.g372500	Mal24_g22	0.0927017416317492	0.533955980665906	4749.0
Cre08.g372450	Mal24_g23	0.0379827996140661	0.12851868899751379	595.0
Cre08.g372400	Mal24_g24	0.0640288226782433	0.5716050390351726	842.0
Cre08.g372350	Mal24_g25	0.0905206843978814	0.6300287252807996	593.0
Cre05.g800540	Mal24_g30	0.1714321787455776	0.7834088005483754	1015.0
Cre08.g372300	Mal24_g32	0.1510425899652092	0.5925488083142754	1755.0
Cre08.g372250	Mal24_g33	0.0307005676111001	0.31942783183907886	2081.0
Cre08.g372200	Mal24_g34	0.0594370287406053	0.39605057265037263	260.0
Cre08.g372150	Mal24_g36	0.0905393335757645	0.42339735205338885	739.0
Cre08.g372100	Mal24_g37	0.0110615647451255	0.20505403957132357	1918.0
Cre08.g372050	Mal24_g38	0.1835189156403095	0.669206891752711	1653.0
Cre17.g741350	Mal24_g39	0.1682251258608963	0.6387310509550067	4996.0
Cre08.g372000	Mal24_g40	0.0386857050075969	0.3184239596111878	952.0
Cre08.g371957	Mal24_g41	0.0539989384503334	0.3775897021609041	4600.0
Cre08.g365750	Mal24_g42	0.3869693289489221	0.9539130074566098	1704.0
Cre08.g371650	Mal24_g43	0.0547996476559404	0.41189750072418746	755.0
Cre08.g800924	Mal24_g44	0.1612100880825234	0.4858636297172001	5068.0
Cre14.g608300	Mal24_g45	0.5939808440294857	1.5755732333614922	2480.0
Cre08.g371600	Mal24_g46	0.278428974328972	0.7353845604246403	3357.0
Cre08.g371450	Mal24_g48	0.0084507936347567	0.21576155433883568	542.0
Cre08.g371400	Mal24_g49	0.0877403805707099	0.5650067560075257	960.0
Cre09.g401071	Mal24_g50	0.4601195764130226	1.102103900699099	2136.0
Cre04.g800436	Mal24_g51	0.264165445192014	0.5936904400298983	1210.0
Cre08.g371052	Mal24_g52	0.0889829935277613	0.46462791932209113	3635.0
Cre08.g371000	Mal24_g53	0.1347658892776994	0.6392665504233848	3707.0
Cre08.g370900	Mal24_g54	0.2234820276272922	0.6910366176729321	1547.0
Cre08.g370850	Mal24_g55	0.0138636110055773	0.30409883108112323	551.0
Cre08.g370150	Mal24_g57	0.7071463130318926	1.291727001187548	3724.0
Cre08.g370750	Mal24_g58	0.4293132460041029	0.8615453690952997	4152.0
Cre08.g370700	Mal24_g59	0.1302905820160166	0.6734561949044688	914.0
Cre08.g370650	Mal24_g60	0.0685123339411709	0.3678570632630331	1027.0
Cre08.g370601	Mal24_g61	0.0921200199697398	0.3831192178244929	2498.0
Cre08.g370550	Mal24_g62	0.0673942722016061	0.4512568327970896	1670.0
Cre08.g370500	Mal24_g63	0.160631160998587	0.7686062355635611	1138.0
Cre08.g370450	Mal24_g64	0.0420952156749647	0.27289433045677547	789.0
Cre08.g370350	Mal24_g66	0.045537504885871	0.5737836898046452	1066.0
Cre08.g370300	Mal24_g67	0.0153066537234053	0.4293893945784979	308.0
Cre08.g370250	Mal24_g68	0.0765570693835506	0.3974125290529201	2737.0
Cre08.g370200	Mal24_g69	0.1316701543619331	0.46213960456786274	1122.0
Cre08.g369800	Mal24_g77	0.0458776093543068	0.47584104748934863	1130.0
Cre08.g369850	Mal24_g78	0.1918841052303797	0.5408094956766578	4944.0
Cre08.g369650	Mal24_g82	0.4224955599968718	0.8666922925579875	2766.0
Cre08.g369600	Mal24_g83	0.1410391736272047	0.6313491066460691	1623.0
Cre08.g369150	Mal24_g84	0.0553835639368727	0.3754994135301497	2295.0
Cre08.g369200	Mal24_g85	0.3461807799572249	0.7655639751718779	2267.0
Cre08.g369250	Mal24_g86	0.149806965862198	0.6127676317739915	2218.0
Cre08.g369300	Mal24_g87	0.053877434227796	0.4305658654079677	976.0
Cre08.g369350	Mal24_g88	0.0794010008088842	0.3389888428072928	228.0
Cre08.g369400	Mal24_g89	0.0321248249956023	0.7366514526177736	485.0
Cre08.g369500	Mal24_g90	0.3164730806161496	0.6317373975277495	441.0
Cre08.g369550	Mal24_g91	0.4304321993944255	0.9528469091960767	355.0
Cre08.g368600	Mal24_g92	0.5480463186483318	0.7709960410906171	1452.0
Cre08.g369000	Mal24_g93	0.104382288261195	0.6463039084064984	967.0
Cre08.g368950	Mal24_g94	0.0423904635304022	0.3360185418952203	1412.0
Cre08.g368900	Mal24_g95	0.0237676484353768	0.27579358509398805	2820.0
Cre08.g368850	Mal24_g96	0.1355609942598931	0.43152310867767135	746.0
Cre08.g368800	Mal24_g97	0.1238602889280333	0.7997635698374161	755.0
Cre08.g368750	Mal24_g98	0.3847496532492078	0.9034130040077404	2399.0
Cre08.g368700	Mal24_g99	0.0604914232577522	0.4102039590670967	1529.0
Cre08.g368550	Mal24_g101	0.2064424800403717	0.6326297899882061	703.0
Cre08.g368500	Mal24_g102	0.031827340594139	0.3421351505153856	536.0
Cre08.g368450	Mal24_g103	0.0528772991866349	0.33824127234918616	882.0
Cre08.g368400	Mal24_g104	0.024770053138415	0.27422475199482044	1487.0
Cre08.g368350	Mal24_g105	0.074082521906333	0.5598745946293685	3550.0
Cre08.g368300	Mal24_g106	0.2189095728500134	0.5514265061091718	2277.0
Cre08.g368250	Mal24_g108	0.0928916754493222	0.4353555135418744	1647.0
Cre08.g368200	Mal24_g109	0.1468084328445715	0.7212811586737109	1318.0
Cre08.g368100	Mal24_g110	0.2103340856026568	0.8397947375888439	4741.0
Cre08.g368050	Mal24_g111	0.1367411675954659	0.544452752537202	596.0
Cre08.g367950	Mal24_g112	0.1327541016934974	0.6842919944759611	3963.0
Cre08.g367800	Mal24_g114	0.091771205738033	0.43768873353631427	944.0
Cre08.g367750	Mal24_g115	0.0488971496674064	0.5174371199838742	1286.0
Cre08.g367700	Mal24_g116	0.1622634790351995	0.6542243719444656	1639.0
Cre08.g367650	Mal24_g117	0.0770279466219473	0.6017598543937029	1100.0
Cre08.g367600	Mal24_g118	0.0448503174770904	0.4765306747335892	1140.0
Cre08.g367550	Mal24_g119	0.0570152304708062	0.9632470758474019	381.0
Cre08.g367500	Mal24_g122	0.0344422434839892	0.2968756612854023	766.0
Cre08.g367350	Mal24_g123	0.0448452368647072	0.5217424441240283	1282.0
Cre08.g367300	Mal24_g124	0.102586280466896	0.5834396041131465	1920.0
Cre08.g367250	Mal24_g125	0.0746971858715318	0.4129651687701336	4815.0
Cre08.g367200	Mal24_g126	0.030280549635974	0.3100210276727925	2382.0
Cre08.g367150	Mal24_g127	0.1173731608778053	0.6637786412775379	1488.0
Cre08.g367100	Mal24_g128	0.1695114307926767	0.7222844482149131	2907.0
Cre08.g367000	Mal24_g131	0.2305450868689278	0.8176032462578531	2008.0
Cre08.g366950	Mal24_g132	0.2390811848031525	0.8735268003728249	3173.0
Cre08.g366900	Mal24_g133	0.1907719727236408	0.7574262569441401	2308.0
Cre08.g366874	Mal24_g135	0.289494753521508	1.1658438158014697	2185.0
Cre08.g366850	Mal24_g136	0.2773512180526173	1.1850180204208551	2981.0
Cre08.g366800	Mal24_g138	0.4627639880608994	1.0619502979158886	1666.0
Cre08.g366750	Mal24_g139	0.2985409629132598	0.9005563378083672	919.0
Cre08.g366700	Mal24_g140	0.4105539485737631	1.8352212886679076	866.0
Cre08.g366650	Mal24_g142	0.35893383838238	0.9753956545218494	4752.0
Cre08.g366600	Mal24_g143	0.4085308606275174	1.1451876665595724	2723.0
Cre08.g366579	Mal24_g144	0.2180171951368022	0.9444266122507392	2727.0
Cre08.g366550	Mal24_g145	0.2883700992958257	1.0241184251175954	3927.0
Cre08.g366450	Mal24_g150	0.184153185263828	0.7783370458652394	1420.0
Cre08.g366350	Mal24_g152	0.4513378372524133	1.2522898606442587	2404.0
Cre08.g366300	Mal24_g153	0.4524469169483445	1.133358422999525	4281.0
Cre08.g366200	Mal24_g158	0.228284947725555	0.6478831923762094	1381.0
Cre08.g366150	Mal24_g159	0.0500494485094278	0.3495860626902134	5208.0
Cre08.g366101	Mal24_g161	0.0338020952891956	0.4297791062006726	6389.0
Cre08.g366050	Mal24_g162	0.0948944089098455	0.4529370351240021	564.0
Cre08.g366000	Mal24_g163	0.0209510829986655	0.6544918469829639	360.0
Cre08.g365950	Mal24_g164	0.1096215528907935	0.3763471627849474	2390.0
Cre08.g365851	Mal24_g166	0.077916255897054	0.4338753519944625	1668.0
Cre08.g365825	Mal24_g167	0.2181152074472878	0.5344158741383318	2824.0
Cre08.g365800	Mal24_g168	0.1648549282940139	0.5753573920781285	1111.0
Cre08.g365720	Mal24_g169	0.295934303435473	0.6244437847481311	3329.0
