CSCH	JG05	k0	k4	sites
g14983	JG24_g9	0.1015854516396059	0.399973859713537	1286
g14982	JG24_g10	0.0358429978772613	0.244066800325971	1508
g14981	JG24_g11	0.1078085689996062	0.4319378170100514	1834
g14979	JG24_g12	0.1185427010957425	0.44956102717292873	1722
g14977	JG24_g13	0.0955837099260902	0.6712600000701527	687
g14975	JG24_g15	0.062946491178415	0.6718441577443606	777
g14974	JG24_g16	0.0370931556756951	0.28468372332846864	8399
g14973	JG24_g17	0.1486051343081745	0.6834397033831483	787
g14971	JG24_g19	0.0179112990025405	0.12434419113205805	503
g14970	JG24_g20	0.0601007907827045	0.3465455817988492	937
g14969	JG24_g21	0.1313389833749224	0.5090688323308842	1166
g14968	JG24_g22	0.2489634444878186	0.6533668881308232	2146
g14967	JG24_g23	0.1642214099124404	0.4954860098752432	5873
g14966	JG24_g24	0.0981297007191083	0.6263961286619699	650
g14965	JG24_g25	0.036019447707507	0.14467774959336865	1003
g14964	JG24_g26	0.0502700680479661	0.38482182922539737	936
g14963	JG24_g27	0.0402063697802654	0.34216076548819363	3111
g14962	JG24_g28	0.088452316239407	0.5425439974368054	2500
g14961	JG24_g29	0.0698178172995089	0.5535861543449302	1005
g14960	JG24_g30	0.258374406579688	0.8742573894364916	1636
g14959	JG24_g32	0.0793191320171863	0.5106578159760982	827
g14958	JG24_g33	0.1947987587575766	0.6648748655896302	2430
g14957	JG24_g34	0.243224171234848	0.5373585279919806	1494
g14956	JG24_g35	0.0523468214516563	0.3248374795790059	2351
g8477	JG24_g38	0.0258367851740806	0.06700882525188749	482
g14955	JG24_g44	0.3332453559001585	0.7276733415149271	708
g14954	JG24_g45	0.0818510547024911	0.32322555068932546	1520
g14953	JG24_g46	0.2550143096099421	0.6192342287746169	5037
g14952	JG24_g47	0.0383850859510046	0.36535735434182365	1178
g14951	JG24_g48	0.1768275553823293	0.6677957906779318	1800
g14950	JG24_g49	0.1255620988387254	0.41469655841631725	3694
g14949	JG24_g57	0.0222238482047783	0.367773413920988	437
g14948	JG24_g58	0.0607342218709218	0.33007765916538395	3685
g14947	JG24_g60	0.1720290439374537	0.49378091151735853	6080
g14945	JG24_g61	0.1578989358264712	0.6354733952904027	5059
g14946	JG24_g63	0.0287943232786757	0.7864514010700863	265
g14944	JG24_g64	0.266976992527852	0.7703649935144734	1355
