CSCH	MALA	k0	k4	sites
g6438	Mal24_g4	0.0121460144399854	0.41341245905059676	2278.0
g6439	Mal24_g5	-0.0	0.3190098589964951	695.0
g6440	Mal24_g7	0.0406371662853464	0.2884821396658556	6612.0
g6441	Mal24_g9	0.1205504865573418	0.3113922435001194	1374.0
g6442	Mal24_g10	0.0096588585437368	0.1753397281849865	1601.0
g6450	Mal24_g11	0.3241000163927443	0.6288361838326657	1669.0
g6444	Mal24_g12	0.0411583624344112	0.21366431499508587	8826.0
g6445	Mal24_g15	0.0086706168008069	0.11029006346737247	1375.0
g6446	Mal24_g16	0.030694820781913	0.3212882771582039	3154.0
g6894	Mal24_g17	0.1701438627990515	0.345611402393497	678.0
g6447	Mal24_g18	0.0066079722616161	0.2970565258187439	671.0
g6448	Mal24_g19	0.0060405906861466	0.12476827935370541	3594.0
g6449	Mal24_g20	0.0356603669473762	0.3275189755878043	1582.0
g6451	Mal24_g21	0.0031364394899226	0.2074188654248389	960.0
g6452	Mal24_g22	0.0548126502795812	0.2873943543742808	4744.0
g6453	Mal24_g23	0.0078948097402406	0.0756944389424704	598.0
g6454	Mal24_g24	0.0313313370489248	0.31979447116059023	847.0
g6455	Mal24_g25	0.0363078670646771	0.38043585181358014	603.0
g6456	Mal24_g32	0.0985020015458152	0.480584396281972	710.0
g6458	Mal24_g33	0.0141023452223221	0.20076105430883356	2080.0
g6459	Mal24_g34	0.0411061773712462	0.08116018848017453	260.0
g6460	Mal24_g36	0.0300040009602743	0.2578286543271184	741.0
g6461	Mal24_g37	0.0031413658490641	0.1491969698952114	1918.0
g6462	Mal24_g38	0.0939976809688248	0.3761707025759103	1639.0
g6463	Mal24_g39	0.1024456366163013	0.383507215763824	5514.0
g6464	Mal24_g40	0.0069930576563424	0.18498114193613527	671.0
g6465	Mal24_g41	0.022626659722027	0.2283124096488387	4641.0
g6466	Mal24_g42	0.2711051541199726	0.688592934716862	1767.0
g6467	Mal24_g43	0.0202715042909394	0.2371252278453504	765.0
g6468	Mal24_g44	0.0938313831247776	0.28192972939996486	5073.0
g12026	Mal24_g45	0.958610275916164	1.633494911556249	2962.0
g6469	Mal24_g46	0.1158387126284565	0.3933933510931144	3145.0
g6470	Mal24_g47	0.1154855996943113	0.2887608732276552	511.0
g6476	Mal24_g48	0.0056232690793506	0.19543031527027716	541.0
g6477	Mal24_g49	0.0320904564039067	0.24044916559869203	873.0
g3868	Mal24_g50	0.4241994094705617	0.7296794166570592	2128.0
g9251	Mal24_g51	0.2034953275450948	0.3273565086380436	2265.0
g6478	Mal24_g52	0.803092337301608	1.6851931844163683	2016.0
g6896	Mal24_g53	0.0862813977533274	0.34776657629029584	3700.0
g6895	Mal24_g54	0.0788980276599757	0.3303464626089455	1749.0
g6893	Mal24_g55	0.0027149350913507	0.25749999525086875	553.0
g6892	Mal24_g56	0.0467794488581724	0.2840290228933325	3359.0
g6890	Mal24_g59	0.0671705079847978	0.4270147224099609	926.0
g6889	Mal24_g60	0.025502456926045	0.1971066057799809	1036.0
g6888	Mal24_g61	0.0385104577133967	0.25320572453439705	2508.0
g6887	Mal24_g62	0.0368694269685626	0.24710940084768174	1705.0
g6886	Mal24_g63	0.0868963541088672	0.4309060786140738	903.0
g6885	Mal24_g64	0.0180008640746572	0.14942852284549152	786.0
g6883	Mal24_g66	0.0359350167719231	0.24492837422887606	1070.0
g6882	Mal24_g68	0.0493135331720853	0.2798597376397478	2769.0
g6880	Mal24_g69	0.0868267022135116	0.34956729744344944	1126.0
g6879	Mal24_g70	0.2939508436373724	0.6419529172334334	4593.0
g6877	Mal24_g79	0.1638440396066412	0.4129945731549193	5595.0
g6876	Mal24_g82	0.1508718918485159	0.3887379004585221	4070.0
g6875	Mal24_g83	0.0941222739122522	0.3601289120062412	2069.0
g6868	Mal24_g84	0.0270942009960826	0.27884391975118233	2221.0
g6867	Mal24_g85	0.2058276342763202	0.4213312350442552	1971.0
g6866	Mal24_g86	0.1055620085664397	0.3494056769277934	2330.0
g6865	Mal24_g87	0.0184341076986658	0.21527438316223899	980.0
g6864	Mal24_g88	0.0405504159527067	0.3128708609035167	228.0
g6863	Mal24_g89	0.0157900568983742	0.2615006322862734	487.0
g6862	Mal24_g92	0.438955575574677	0.47116630303675267	1453.0
g6861	Mal24_g93	0.0417025840526088	0.33683830369942586	881.0
g6860	Mal24_g94	0.0069284557387021	0.12202169425290461	1107.0
g6859	Mal24_g95	0.01364418200367	0.21040880035247764	2828.0
g6858	Mal24_g96	0.0491979618643599	0.20642145853537075	747.0
g6857	Mal24_g97	0.0635674384519055	0.3186623954739496	651.0
g6855	Mal24_g99	0.0193624883958416	0.19122055532544463	1528.0
g6854	Mal24_g100	0.2555533983648339	0.42598802820445447	1753.0
g6853	Mal24_g101	0.1247105170647499	0.4069085255915882	704.0
g6852	Mal24_g102	0.0257536031856686	0.13489159822407087	482.0
g9243	Mal24_g103	0.025106946897292	0.1413947502606281	884.0
g9244	Mal24_g104	0.0112399923866962	0.15593782798718878	1484.0
g9245	Mal24_g105	0.0265116714686314	0.27579358509398805	3568.0
g9246	Mal24_g106	0.1072487648407174	0.41045017719618504	2335.0
g9249	Mal24_g108	0.0488210596782474	0.23921689889916148	1687.0
g9250	Mal24_g109	0.0661369244100695	0.3349894998860842	1417.0
g9252	Mal24_g110	0.1096235194855593	0.3493561785117246	4812.0
g9253	Mal24_g111	0.0855849800755658	0.2262512358198907	630.0
g9257	Mal24_g114	0.0301043756927582	0.239465558900334	953.0
g9258	Mal24_g115	0.0216882582296847	0.21221544844187623	1295.0
g9259	Mal24_g116	0.090284823928571	0.3744984332551917	1468.0
