MALA	JG05	k0	k4	sites
Mal24_g16037	JG24_g9	0.1108379321751316	0.5370167774639485	1447
Mal24_g16038	JG24_g10	0.0431773888661083	0.250455442274575	1508
Mal24_g16039	JG24_g11	0.105262443700155	0.49192819710766156	2828
Mal24_g16040	JG24_g12	0.1392431451593891	0.42858768418681914	1725
Mal24_g16041	JG24_g13	0.1228088784157643	0.8687486425272988	756
Mal24_g16042	JG24_g14	0.1616972592591201	0.6872180489056162	641
Mal24_g16043	JG24_g15	0.0852242192962932	0.7052912125899116	840
Mal24_g16044	JG24_g16	0.0337156345704551	0.3092653268275122	8425
Mal24_g16045	JG24_g17	0.1541164620566168	0.7497228413394441	817
Mal24_g16046	JG24_g18	0.5694544999273055	1.0009505598530914	1544
Mal24_g16047	JG24_g19	0.0148962195650412	0.10014854446839197	503
Mal24_g16048	JG24_g20	0.0731777761718276	0.4849703736937894	789
Mal24_g16049	JG24_g21	0.1339163054988583	0.6414228563346814	1152
Mal24_g16051	JG24_g22	0.2435564226267923	0.6471521290937892	2112
Mal24_g16052	JG24_g23	0.1626418309158316	0.61471082372909	5880
Mal24_g16053	JG24_g24	0.2467082061695464	0.7692474667664566	835
Mal24_g16054	JG24_g25	0.0373327454021898	0.26100603981253284	1002
Mal24_g16055	JG24_g26	0.0340967805575679	0.33471532697131473	953
Mal24_g16057	JG24_g27	0.2043911722096605	0.7529455107679814	6059
Mal24_g16058	JG24_g28	0.0902822720314906	0.5633023712194873	1414
Mal24_g16059	JG24_g29	0.1236689412440032	0.7567500974838168	1133
Mal24_g16061	JG24_g32	0.0984372668501359	0.5823067663860717	804
Mal24_g16062	JG24_g33	0.1342574797310466	0.5566926634460206	1578
Mal24_g16063	JG24_g34	0.2769821748831666	0.656601553015425	1314
Mal24_g16066	JG24_g35	0.042555984515155	0.3721364991339958	2493
Mal24_g12399	JG24_g38	0.1752111383861289	0.20655898489497487	480
Mal24_g16067	JG24_g45	0.0665695409420895	0.35712951020433803	1514
Mal24_g16068	JG24_g46	0.2873695129453996	0.6853772914667529	5013
Mal24_g16069	JG24_g47	0.0387959868792565	0.36196814149108686	1169
Mal24_g16070	JG24_g48	0.1710819299378791	0.6825158391454197	1794
Mal24_g16071	JG24_g49	0.122462987360998	0.45232412307681574	3918
Mal24_g16072	JG24_g56	0.0083799754485938	0.39605057265037263	180
Mal24_g16073	JG24_g57	0.0306477778238364	0.42339735205338885	525
Mal24_g16074	JG24_g58	0.0552103182570534	0.36935736382334555	3613
Mal24_g16075	JG24_g59	0.0883372767422876	0.7215275652467692	297
Mal24_g16076	JG24_g60	0.1713349573964109	0.5121545574400953	6317
Mal24_g16078	JG24_g61	0.1673236413939733	0.6939105085751779	5571
Mal24_g16077	JG24_g63	0.0403943772545469	0.7524765816478386	266
Mal24_g16079	JG24_g64	0.2491352884047539	0.8634420166151484	1681
Mal24_g16080	JG24_g66	0.0483147695887398	0.5959255192543864	1132
Mal24_g16081	JG24_g67	0.0426354199937619	0.4701372330128959	1708
Mal24_g16082	JG24_g68	0.034136924003491	0.42561104905603	1334
Mal24_g16083	JG24_g69	0.2482905034539815	0.9173978596666226	1829
Mal24_g16084	JG24_g70	0.1452398421026284	0.48790624013465467	2626
Mal24_g16085	JG24_g71	0.0124263197604245	0.20897889941659525	865
Mal24_g16086	JG24_g72	0.1400636841800744	0.42200339214331417	5097
Mal24_g16087	JG24_g73	0.1546356265673229	0.8565730504558863	10903
Mal24_g16088	JG24_g75	0.1384878175437791	0.7714766709610459	6152
Mal24_g16090	JG24_g76	0.1043922451909366	0.5604355261039926	9524
Mal24_g16091	JG24_g79	0.1764582170589999	0.7535103516254296	2570
Mal24_g16092	JG24_g80	0.18861967807343	0.7113888071523493	2456
Mal24_g16094	JG24_g81	0.2065222165843488	0.7045961988181093	12232
Mal24_g16096	JG24_g82	0.2342237703005286	0.9406536973592019	1579
Mal24_g16097	JG24_g83	0.0885461031392931	0.3622015273381187	1368
Mal24_g16098	JG24_g84	0.1498430592661594	0.9833802979888367	908
Mal24_g16099	JG24_g86	0.0269328759793281	0.5393420002224046	572
Mal24_g16101	JG24_g87	0.0875027209938421	0.5521550025152944	1831
Mal24_g16102	JG24_g88	0.2156712744711372	0.7030081058039904	1412
Mal24_g16103	JG24_g89	0.1402848798919556	0.6068471794822431	4127
Mal24_g16104	JG24_g90	0.2806875665701799	0.9035268487995598	2230
Mal24_g16105	JG24_g91	0.0458635400658747	0.49767708981190834	4474
Mal24_g16107	JG24_g92	0.0922969984041506	0.505805046774096	2382
Mal24_g16108	JG24_g93	0.4281278299412593	1.0559903892983629	3259
