Line1	Line2	SNPs	euclidean_distance	substructure	Similarity
BMS-1	CC1952	0.1715	242.17625251077584	NA2	0.8285
BMS-1	CC2342	0.1662	215.9941063216826	NA2	0.8338
BMS-1	CC2343	0.1998	237.74828340484112	NA2	0.8002
BMS-1	CC2344	0.1687	236.28321575200073	NA2	0.8313
BMS-1	CC2931	0.1574	231.1635589966392	NA2	0.8426
BMS-1	CC2932	0.1585	223.80741985899058	NA2	0.8415
BMS-1	CC3059	0.1793	219.24829308511835	NA1 x NA2	0.8207
BMS-1	CC3060	0.1761	211.72655385700037	NA1 x NA2	0.8239
BMS-1	CC3061	0.175	251.09123331320524	NA1 x NA2	0.825
BMS-1	CC3063	0.1816	209.8323034611911	NA1 x NA2	0.8184
BMS-1	CC3079	0.151	215.88843151299005	NA2	0.849
BMS-1	CL3-1	0.1337	178.20255250216087	NA2	0.8663
BMS-1	GB117	0.1753	239.45255991238614	NA1 x NA2	0.8247
BMS-1	GB119	0.1738	217.62515749353946	NA1 x NA2	0.8262
BMS-1	GB123	0.1768	226.7811377393677	NA1 x NA2	0.8231999999999999
BMS-1	GB13	0.1668	244.70093587210695	NA1 x NA2	0.8331999999999999
BMS-1	GB141	0.1755	225.26551978456396	NA1 x NA2	0.8245
BMS-1	GB66	0.1688	241.86555329744297	NA1 x NA2	0.8311999999999999
BMS-1	JG4-1	0.1238	193.03395161217563	NA2	0.8762
BMS-1	W13-1	0.1802	236.50785891199868	NA2	0.8198
BMS-1	W13-2	0.1751	220.20571028444581	NA2	0.8249
CC1952	CC2342	0.1812	206.80508126759887	NA2	0.8188
CC1952	CC2343	0.2028	223.93513667624887	NA2	0.7972
CC1952	CC2344	0.1889	248.4719822763137	NA2	0.8110999999999999
CC1952	CC2931	0.1797	228.86696407211554	NA2	0.8203
CC1952	CC2932	0.1848	219.34731857379157	NA2	0.8152
CC1952	CC3059	0.1979	255.82957080772644	NA1 x NA2	0.8021
CC1952	CC3060	0.1964	241.37762949643658	NA1 x NA2	0.8036
CC1952	CC3061	0.1932	219.72909470613314	NA1 x NA2	0.8068
CC1952	CC3063	0.1997	224.48343913489728	NA1 x NA2	0.8003
CC1952	CC3079	0.173	204.97770679945933	NA2	0.827
CC1952	CL3-1	0.1693	246.977000251258	NA2	0.8307
CC1952	GB117	0.1944	247.21402656103922	NA1 x NA2	0.8056
CC1952	GB119	0.1945	232.7339113364179	NA1 x NA2	0.8055
CC1952	GB123	0.1947	245.7379822030491	NA1 x NA2	0.8053
CC1952	GB13	0.1906	253.9748376013093	NA1 x NA2	0.8094
CC1952	GB141	0.193	227.90742281021667	NA1 x NA2	0.8069999999999999
CC1952	GB66	0.1931	260.3480071654805	NA1 x NA2	0.8069
CC1952	JG4-1	0.161	219.9801856875087	NA2	0.839
CC1952	W13-1	0.203	247.3835559288413	NA2	0.7969999999999999
CC1952	W13-2	0.1956	242.68046096806347	NA2	0.8044
CC2342	CC2343	0.2222	205.84495105457526	NA2	0.7778
CC2342	CC2344	0.1673	213.44424983185408	NA2	0.8327
CC2342	CC2931	0.1707	206.61328998546236	NA2	0.8293
CC2342	CC2932	0.1752	204.87277417131975	NA2	0.8248
CC2342	CC3059	0.1929	236.53429293703417	NA1 x NA2	0.8071
CC2342	CC3060	0.1903	215.81009853426056	NA1 x NA2	0.8097
CC2342	CC3061	0.1903	207.09483292375145	NA1 x NA2	0.8097
CC2342	CC3063	0.1894	202.29172765430098	NA1 x NA2	0.8106
CC2342	CC3079	0.1656	197.4378916857666	NA2	0.8344
CC2342	CL3-1	0.1537	226.7658167224565	NA2	0.8463
CC2342	GB117	0.1902	230.9385652568354	NA1 x NA2	0.8098
CC2342	GB119	0.1891	208.03468276777008	NA1 x NA2	0.8109
CC2342	GB123	0.1876	219.1606624155402	NA1 x NA2	0.8124
CC2342	GB13	0.184	224.86533417212996	NA1 x NA2	0.8160000000000001
CC2342	GB141	0.1892	208.87953562591022	NA1 x NA2	0.8108
CC2342	GB66	0.188	229.29150189299196	NA1 x NA2	0.812
CC2342	JG4-1	0.1487	214.1092268601947	NA2	0.8513
CC2342	W13-1	0.191	236.03744392906393	NA2	0.8089999999999999
CC2342	W13-2	0.1886	223.71645792776917	NA2	0.8114
CC2343	CC2344	0.2254	224.00012521925478	NA2	0.7746
CC2343	CC2931	0.2071	217.17824372036247	NA2	0.7928999999999999
CC2343	CC2932	0.2056	193.37328792005593	NA2	0.7944
CC2343	CC3059	0.2258	266.4261188304524	NA1 x NA2	0.7742
CC2343	CC3060	0.2232	234.2781447969377	NA1 x NA2	0.7767999999999999
CC2343	CC3061	0.2219	216.26331164480663	NA1 x NA2	0.7781
CC2343	CC3063	0.2296	226.49561188521477	NA1 x NA2	0.7704
CC2343	CC3079	0.2103	225.10828423501064	NA2	0.7897000000000001
CC2343	CL3-1	0.2024	249.5879488815169	NA2	0.7976
CC2343	GB117	0.2241	254.78280510543723	NA1 x NA2	0.7759
CC2343	GB119	0.2238	223.3321727299029	NA1 x NA2	0.7762
