"","GB117","GB119","GB49","GB141","GB66","GB57","GB13","GB123","CC3063","CC3060","CC3061","CC3059","CC2344","CC2931","CL3","W13_1","W13_2","JG4","BMS1","CC2932","CC3079","CC1952","CC2343","CC2342"
"GB117",1,0.921474619671893,0.928964368751453,0.900927402633728,0.88256365273842,0.88704150297622,0.81139687723498,0.924559724315579,0.87006296056087,0.881881093435978,0.832097379887617,0.867041349054063,0.860832044284037,0.874970790250051,0.854212535467977,0.849264105374239,0.895583788529087,0.873914051231244,0.820195281778465,0.772918846812287,0.869521613018726,0.837404426029165,0.787416561709572,0.855170586882697
"GB119",0.921474619671893,1,0.948431846721911,0.970000399927703,0.927393239335936,0.94379120462028,0.872791173705298,0.933768690007238,0.902826233904468,0.90542146816181,0.880894326123451,0.869421932682199,0.893469548554079,0.905095063051749,0.866934626699191,0.862144361942304,0.919376000708996,0.878683670038012,0.857482675266992,0.830020353466996,0.902753558698891,0.871599135646021,0.854785328186109,0.900617574542457
"GB49",0.928964368751453,0.948431846721911,1,0.933128109546321,0.915395460627457,0.914732663499099,0.869096595813886,0.930542891120015,0.892129738731656,0.901128788332398,0.863631072086942,0.862769000687599,0.869780489167343,0.881166574048099,0.852230360587881,0.851934082798395,0.903707278930256,0.867590661520701,0.84071346749288,0.801418339609061,0.885271375019566,0.853521641569219,0.829094940462827,0.88282409639757
"GB141",0.900927402633728,0.970000399927703,0.933128109546321,1,0.931736444039106,0.946710131753992,0.896681226901605,0.921625331110288,0.896828990045286,0.887279084140718,0.889335944421989,0.83953545736337,0.893998979550321,0.907111308946463,0.849515907556178,0.837393241299645,0.901788857548225,0.855112997404662,0.847707289412536,0.849517148132469,0.894885550739046,0.871435110402879,0.87731963035498,0.90099760171393
"GB66",0.88256365273842,0.927393239335936,0.915395460627457,0.931736444039106,1,0.912464514937553,0.890667728001264,0.926514578047002,0.862147873612518,0.860822631004055,0.858392410853101,0.826375995992152,0.867817172245,0.865419949912282,0.826313319900208,0.815023891990447,0.878912344645326,0.821191465951739,0.830445010343499,0.804228060198708,0.85430313514612,0.822959648863909,0.840410643935981,0.864786767789862
"GB57",0.88704150297622,0.94379120462028,0.914732663499099,0.946710131753992,0.912464514937553,1,0.846491839041842,0.917288508792064,0.860379278938286,0.864536760261188,0.82616946960874,0.838237398227506,0.87578096117949,0.853761826689851,0.856028143814094,0.811612596039514,0.876668159384062,0.824875460719903,0.837694903918791,0.756266611595194,0.842588044038748,0.796894215802796,0.800335404021953,0.84675367363381
"GB13",0.81139687723498,0.872791173705298,0.869096595813886,0.896681226901605,0.890667728001264,0.846491839041842,1,0.864943426599313,0.86466483349325,0.83443892594594,0.877352298537245,0.76088826555389,0.875719701753822,0.87798363696981,0.789418597338591,0.755334521082795,0.83289425168052,0.763959196390024,0.831518764876684,0.86824795539627,0.838039346454927,0.828301827357432,0.892484974282641,0.87305329654541
"GB123",0.924559724315579,0.933768690007238,0.930542891120015,0.921625331110288,0.926514578047002,0.917288508792064,0.864943426599313,1,0.891267386521782,0.893277327189054,0.866281302692937,0.868432646398751,0.878064261138823,0.891089549363502,0.858797832223929,0.849682300503608,0.909953522456976,0.85518832375338,0.852005549469536,0.800807078302909,0.881300946340501,0.851868106457248,0.828655045473444,0.883166097799958
"CC3063",0.87006296056087,0.902826233904468,0.892129738731656,0.896828990045286,0.862147873612518,0.860379278938286,0.86466483349325,0.891267386521782,1,0.924821120383168,0.915600676701578,0.891023145008283,0.870208487699566,0.884424779264584,0.881194744076215,0.866075117602507,0.915060293024051,0.893563939836964,0.896003640144157,0.87230701913568,0.92542964014549,0.901696624033921,0.886898905009007,0.928149965753751
"CC3060",0.881881093435978,0.90542146816181,0.901128788332398,0.887279084140718,0.860822631004055,0.864536760261188,0.83443892594594,0.893277327189054,0.924821120383168,1,0.885500400467178,0.915116613150985,0.838945802466051,0.84264066056161,0.875925682235159,0.909613952791778,0.915048557231913,0.904989442657946,0.883991824706644,0.836027312043318,0.912936574298813,0.875406707346266,0.852420860510933,0.901951460786382
"CC3061",0.832097379887617,0.880894326123451,0.863631072086942,0.889335944421989,0.858392410853101,0.82616946960874,0.877352298537245,0.866281302692937,0.915600676701578,0.885500400467178,1,0.846364331995179,0.835809812389062,0.881594640840869,0.815490620458553,0.842891387781827,0.867833893954047,0.853494693119043,0.848450020121872,0.899840574149603,0.917054528363407,0.911060625573719,0.913740526204541,0.926128109312917
"CC3059",0.867041349054063,0.869421932682199,0.862769000687599,0.83953545736337,0.826375995992152,0.838237398227506,0.76088826555389,0.868432646398751,0.891023145008283,0.915116613150985,0.846364331995179,1,0.787660495946031,0.802746086463343,0.886294653358409,0.913740143068958,0.893063330613035,0.914054758191367,0.876332635458163,0.786726222537508,0.888783523456211,0.846040431282294,0.797111038195359,0.856263958521974
"CC2344",0.860832044284037,0.893469548554079,0.869780489167343,0.893998979550321,0.867817172245,0.87578096117949,0.875719701753822,0.878064261138823,0.870208487699566,0.838945802466051,0.835809812389062,0.787660495946031,1,0.908999127528657,0.834061846005854,0.770055330313351,0.864836714155709,0.810669804312249,0.837073826158191,0.834403542842408,0.846845867431392,0.828385592676908,0.850545463444584,0.880951373644525
"CC2931",0.874970790250051,0.905095063051749,0.881166574048099,0.907111308946463,0.865419949912282,0.853761826689851,0.87798363696981,0.891089549363502,0.884424779264584,0.84264066056161,0.881594640840869,0.802746086463343,0.908999127528657,1,0.841645550417171,0.788431419796475,0.873990598243615,0.838078962280424,0.837904006895814,0.882072964075105,0.885659211892873,0.875093197992468,0.877223247000941,0.897423583477336
"CL3",0.854212535467977,0.866934626699191,0.852230360587881,0.849515907556178,0.826313319900208,0.856028143814094,0.789418597338591,0.858797832223929,0.881194744076215,0.875925682235159,0.815490620458553,0.886294653358409,0.834061846005854,0.841645550417171,1,0.843443379308666,0.897107426899656,0.912590950776247,0.926903796340203,0.795708324655596,0.870401312449572,0.833482626870261,0.799334944303769,0.853931327492326
"W13_1",0.849264105374239,0.862144361942304,0.851934082798395,0.837393241299645,0.815023891990447,0.811612596039514,0.755334521082795,0.849682300503608,0.866075117602507,0.909613952791778,0.842891387781827,0.913740143068958,0.770055330313351,0.788431419796475,0.843443379308666,1,0.891432302240269,0.903974525977636,0.841457437169163,0.792562554069829,0.88461469458009,0.854681636008187,0.801446244809032,0.861271632994721
"W13_2",0.895583788529087,0.919376000708996,0.903707278930256,0.901788857548225,0.878912344645326,0.876668159384062,0.83289425168052,0.909953522456976,0.915060293024051,0.915048557231913,0.867833893954047,0.893063330613035,0.864836714155709,0.873990598243615,0.897107426899656,0.891432302240269,1,0.902229491997188,0.890132057398269,0.825847558397611,0.906440556939015,0.875122813150202,0.840920343553419,0.897320489684162
"JG4",0.873914051231244,0.878683670038012,0.867590661520701,0.855112997404662,0.821191465951739,0.824875460719903,0.763959196390024,0.85518832375338,0.893563939836964,0.904989442657946,0.853494693119043,0.914054758191367,0.810669804312249,0.838078962280424,0.912590950776247,0.903974525977636,0.902229491997188,1,0.888647625279398,0.818511937768926,0.912239355171985,0.887277834006799,0.81575251954201,0.883163428158999
"BMS1",0.820195281778465,0.857482675266992,0.84071346749288,0.847707289412536,0.830445010343499,0.837694903918791,0.831518764876684,0.852005549469536,0.896003640144157,0.883991824706644,0.848450020121872,0.876332635458163,0.837073826158191,0.837904006895814,0.926903796340203,0.841457437169163,0.890132057398269,0.888647625279398,1,0.839731205321341,0.878527289093058,0.851939279689578,0.841470826609937,0.881061258185634
"CC2932",0.772918846812287,0.830020353466996,0.801418339609061,0.849517148132469,0.804228060198708,0.756266611595194,0.86824795539627,0.800807078302909,0.87230701913568,0.836027312043318,0.899840574149603,0.786726222537508,0.834403542842408,0.882072964075105,0.795708324655596,0.792562554069829,0.825847558397611,0.818511937768926,0.839731205321341,1,0.882703895678818,0.879958303649385,0.92768193560602,0.897749677674219
"CC3079",0.869521613018726,0.902753558698891,0.885271375019566,0.894885550739046,0.85430313514612,0.842588044038748,0.838039346454927,0.881300946340501,0.92542964014549,0.912936574298813,0.917054528363407,0.888783523456211,0.846845867431392,0.885659211892873,0.870401312449572,0.88461469458009,0.906440556939015,0.912239355171985,0.878527289093058,0.882703895678818,1,0.927625899104241,0.893650766584888,0.929983906831208
"CC1952",0.837404426029165,0.871599135646021,0.853521641569219,0.871435110402879,0.822959648863909,0.796894215802796,0.828301827357432,0.851868106457248,0.901696624033921,0.875406707346266,0.911060625573719,0.846040431282294,0.828385592676908,0.875093197992468,0.833482626870261,0.854681636008187,0.875122813150202,0.887277834006799,0.851939279689578,0.879958303649385,0.927625899104241,1,0.88764447441776,0.924988524048177
"CC2343",0.787416561709572,0.854785328186109,0.829094940462827,0.87731963035498,0.840410643935981,0.800335404021953,0.892484974282641,0.828655045473444,0.886898905009007,0.852420860510933,0.913740526204541,0.797111038195359,0.850545463444584,0.877223247000941,0.799334944303769,0.801446244809032,0.840920343553419,0.81575251954201,0.841470826609937,0.92768193560602,0.893650766584888,0.88764447441776,1,0.910768443564665
"CC2342",0.855170586882697,0.900617574542457,0.88282409639757,0.90099760171393,0.864786767789862,0.84675367363381,0.87305329654541,0.883166097799958,0.928149965753751,0.901951460786382,0.926128109312917,0.856263958521974,0.880951373644525,0.897423583477336,0.853931327492326,0.861271632994721,0.897320489684162,0.883163428158999,0.881061258185634,0.897749677674219,0.929983906831208,0.924988524048177,0.910768443564665,1
