## The third column is the genetic distance (x100 for %); column 4 is geographic distance (km) and column 5 is 0 for NA1 and 1 for NA2 
Line1,Line2,Genetic Distance (Proportion), Geographic distance, 0 for NA1 and 1 for NA2
CC1373,CC1010,0.01474226,12.8748,"0,0"
CC1952,CC1010,0.03015045,1705.905,"0,1"
CC1952,CC1373,0.03060982,1694.639,"0,1"
CC2342,CC1010,0.02893298,659.831,"0,1"
CC2342,CC1373,0.02945036,656.612,"0,1"
CC2342,CC1952,0.02645080,1210.23,"1,1"
CC2343,CC1010,0.03309608,1750.966,"0,1"
CC2343,CC1373,0.03384600,1757.404,"0,1"
CC2343,CC1952,0.02729405,2199.973,"1,1"
CC2343,CC2342,0.03070530,1375.99,"1,1"
CC2344,CC1010,0.02805075,379.805,"0,1"
CC2344,CC1373,0.02854639,374.977,"0,1"
CC2344,CC1952,0.02725002,1390.47,"1,1"
CC2344,CC2342,0.02443961,281.635,"1,1"
CC2344,CC2343,0.03136799,1530.49,"1,1"
CC2931,CC1010,0.02964254,898.014,"0,1"
CC2931,CC1373,0.03035262,902.842,"0,1"
CC2931,CC1952,0.02627295,1585.2,"1,1"
CC2931,CC2342,0.02522514,503.725,"1,1"
CC2931,CC2343,0.02821172,894.795,"1,1"
CC2931,CC2344,0.02615896,635.691,"1,1"
CC2932,CC1010,0.02896181,898.014,"0,1"
CC2932,CC1373,0.02954311,902.842,"0,1"
CC2932,CC1952,0.02622968,1585.2,"1,1"
CC2932,CC2342,0.02501138,503.725,"1,1"
CC2932,CC2343,0.02847463,894.795,"1,1"
CC2932,CC2344,0.02599738,635.691,"1,1"
CC2932,CC2931,0.02084702,0,"1,1"
CC2935,CC1010,0.01939349,326.697,"0,0"
CC2935,CC1373,0.02002506,313.822,"0,0"
CC2935,CC1952,0.03037874,1604.516,"0,1"
CC2935,CC2342,0.02903042,785.36,"0,1"
CC2935,CC2343,0.03366176,2029.3828,"0,1"
CC2935,CC2344,0.02834682,529.474,"0,1"
CC2935,CC2931,0.02971908,1147.46,"0,1"
CC2935,CC2932,0.02961541,1147.46,"0,1"
CC2936,CC1010,0.01526657,326.697,"0,0"
CC2936,CC1373,0.01685774,313.822,"0,0"
CC2936,CC1952,0.03035951,1604.516,"0,1"
CC2936,CC2342,0.02925337,785.36,"0,1"
CC2936,CC2343,0.03353229,2029.3828,"0,1"
CC2936,CC2344,0.02837573,529.474,"0,1"
CC2936,CC2931,0.02994176,1147.46,"0,1"
CC2936,CC2932,0.02945199,1147.46,"0,1"
CC2936,CC2935,0.01985831,0,"0,0"
CC2937,CC1010,0.01893461,326.697,"0,0"
CC2937,CC1373,0.01970100,313.822,"0,0"
