CINC	CREN	CMAL	CSCH	JG5-1
g7	Cre02.g142166			
g8	Cre02.g142146			
g9	Cre02.g142126			
g17	Cre06.g296400			
g20	Cre06.g296300			
g26	Cre06.g296250			
g27	Cre06.g296200			
g29	Cre06.g296150			
g30	Cre06.g296100			
g32	Cre06.g296000			
g34	Cre06.g800726			
g35	Cre06.g800725			
g36	Cre06.g800724			
g37	Cre06.g295826			
g38	Cre06.g295700			
g39	Cre06.g295650			
g41	Cre06.g295550			
g42	Cre06.g295500			
g43	Cre06.g295450			
g44	Cre06.g295400			
g46	Cre06.g295250			
g49	Cre06.g295100			
g53	Cre06.g294950			
g54	Cre06.g294850			
g56	Cre06.g294800			
g57	Cre06.g294750			
g59	Cre06.g294650			
g61	Cre06.g294450			
g63	Cre06.g294400			
g66	Cre06.g294250			
g67	Cre06.g294200			
g71	Cre06.g294100			
g77	Cre06.g294000			
g78	Cre06.g293950			
g80	Cre06.g293850			
g81	Cre06.g293800			
g82	Cre06.g293750			
g83	Cre06.g293700			
g87	Cre06.g293582			
g96	Cre06.g293200			
g98	Cre06.g293150			
g102	Cre06.g293051			
g103	Cre06.g800716			
g104	Cre06.g293000			
g105	Cre06.g292950			
g107	Cre03.g198700			
g111	Cre06.g292900			
g114	Cre06.g292800			
g116	Cre06.g292700			
g118	Cre06.g292600			
g119	Cre06.g292550			
g120	Cre06.g292500			
g121	Cre06.g292450			
g122	Cre06.g292400			
g123	Cre06.g292350			
g126	Cre06.g800714			
g128	Cre06.g292100			
g129	Cre06.g292050			
g132	Cre06.g291900			
g133	Cre06.g291850			
g136	Cre06.g291800			
g138	Cre06.g291700			
g139	Cre06.g291650			
g140	Cre06.g291600			
g141	Cre06.g291550			
g143	Cre06.g291450			
g144	Cre06.g291400			
g145	Cre06.g291350			
g146	Cre06.g291300			
g148	Cre06.g291200			
g149	Cre06.g291150			
g151	Cre06.g290950			
g152	Cre06.g290900			
g154	Cre06.g290850			
g156	Cre06.g800713			
g165	Cre16.g689087			
g167	Cre16.g689423			
g169	Cre16.g689647			
g173	Cre16.g689871			
g174	Cre16.g689983			
g176	Cre16.g690319			
g177	Cre16.g690431			
g179	Cre16.g690767			
g180	Cre16.g690879			
g181	Cre16.g690991			
g182	Cre16.g691103			
g184	Cre16.g691215			
g186	Cre16.g691440			
g187	Cre16.g691552			
g188	Cre16.g691776			
g191	Cre16.g692116			
g201	Cre14.g621000			
g206	Cre14.g621250			
g210	Cre14.g621400			
g211	Cre14.g621450			
g212	Cre14.g621475			
g213	Cre14.g801627			
g215	Cre14.g621600			
g216	Cre14.g621650			
g218	Cre14.g621700			
g219	Cre14.g621751			
g223	Cre14.g622050			
g233	Cre07.g347650			
g239	Cre07.g347350			
g240	Cre07.g347200			
g241	Cre07.g347150			
g242	Cre07.g347100			
g243	Cre07.g347050			
g271	Cre10.g465000			
g273	Cre04.g231124			
g274	Cre04.g231222			
g275	Cre04.g231516			
g277	Cre04.g800503			
g279	Cre04.g232006			
g280	Cre04.g232104			
g291	Cre04.g232602			
g293	Cre04.g232802			
g294	Cre04.g233003			
g295	Cre04.g232902			
g297	Cre04.g233202			
g307	Cre04.g223050			
g309	Cre04.g223300			
g312	Cre04.g223450			
g318	Cre04.g223700			
g320	Cre04.g223800			
g321	Cre04.g223850			
g330	Cre04.g224150			
g333	Cre04.g224200			
g334	Cre04.g224250			
g335	Cre04.g224300			
g336	Cre04.g224350			
g337	Cre04.g224400			
g341	Cre04.g224500			
g342	Cre04.g224550			
g344	Cre04.g224650			
g345	Cre04.g224700			
g346	Cre04.g224750			
g347	Cre04.g224800			
g351	Cre04.g225050			
g357	Cre04.g225400			
g358	Cre04.g225600			
g359	Cre04.g225650			
g360	Cre04.g225700			
g362	Cre04.g225750			
g364	Cre04.g225850			
g370	Cre04.g226050			
g371	Cre04.g226150			
g373	Cre06.g289950			
g375	Cre06.g289850			
g376	Cre06.g289800			
g377	Cre06.g289750			
g378	Cre06.g289700			
g381	Cre06.g289550			
g382	Cre06.g289500			
g389	Cre06.g289150			
g391	Cre06.g289100			
g393	Cre06.g289000			
g397	Cre06.g288850			
g400	Cre06.g800703			
g404	Cre06.g288550			
g405	Cre06.g288500			
g406	Cre06.g288450			
g408	Cre06.g288350			
g409	Cre06.g800702			
g411	Cre06.g288150			
g413	Cre06.g288050			
g418	Cre06.g287900			
g420	Cre06.g287800			
g421	Cre06.g287750			
g422	Cre06.g287100			
g423	Cre06.g287050			
g424	Cre06.g287000			
g426	Cre06.g286950			
g428	Cre06.g286850			
g429	Cre06.g286800			
g430	Cre06.g286750			
g431	Cre06.g286700			
g434	Cre06.g286600			
g435	Cre06.g286550			
g437	Cre06.g286450			
g438	Cre06.g286350			
g439	Cre06.g286300			
g440	Cre06.g286250			
g441	Cre06.g286200			
g442	Cre06.g281650			
g450	Cre06.g285800			
g457	Cre06.g285500			
g459	Cre06.g285401			
g463	Cre06.g285200			
g464	Cre06.g285150			
g468	Cre06.g284900			
g471	Cre06.g284700			
g472	Cre06.g284650			
g473	Cre06.g284600			
g475	Cre06.g284450			
g476	Cre06.g284400			
g477	Cre06.g284350			
g478	Cre06.g284300			
g480	Cre06.g284200			
g481	Cre06.g284150			
g482	Cre06.g284100			
g483	Cre06.g284050			
g485	Cre06.g283950			
g486	Cre06.g283900			
g488	Cre06.g283850			
g489	Cre06.g283750			
g492	Cre06.g283600			
g493	Cre06.g283550			
g495	Cre06.g283400			
g496	Cre06.g283350			
g497	Cre06.g283300			
g498	Cre06.g283250			
g499	Cre06.g283200			
g500	Cre06.g283150			
g501	Cre06.g283100			
g502	Cre06.g283050			
g503	Cre06.g283034			
g505	Cre06.g282950			
g506	Cre06.g282900			
g507	Cre06.g282850			
g508	Cre06.g282800			
g509	Cre06.g282750			
g510	Cre06.g282651			
g512	Cre06.g282550			
g515	Cre06.g282500			
g519	Cre06.g282300			
g521	Cre06.g282200			
g522	Cre06.g282150			
g525	Cre06.g282000			
g527	Cre06.g281900			
g528	Cre06.g281800			
g536	Cre06.g281400			
g537	Cre06.g281350			
g539	Cre06.g281250			
g540	Cre06.g281200			
g541	Cre06.g281150			
g542	Cre06.g281100			
g543	Cre06.g281050			
g544	Cre06.g281000			
g545	Cre06.g280950			
g546	Cre06.g280900			
g547	Cre06.g280850			
g548	Cre06.g280800			
g549	Cre06.g280750			
g551	Cre06.g280650			
g552	Cre06.g280600			
g555	Cre06.g280475			
g560	Cre06.g280350			
g561	Cre06.g280300			
g562	Cre06.g280250			
g564	Cre06.g280200			
g566	Cre06.g280100			
g567	Cre06.g280050			
g569	Cre06.g279900			
g570	Cre06.g279850			
g571	Cre06.g279800			
g572	Cre06.g279750			
g574	Cre06.g279650			
g576	Cre06.g279550			
g577	Cre06.g279500			
g578	Cre06.g279474			
g579	Cre06.g279400			
g580	Cre06.g279350			
g581	Cre06.g279300			
g582	Cre06.g279250			
g583	Cre06.g279150			
g584	Cre06.g279100			
g585	Cre06.g279000			
g586	Cre06.g278950			
g587	Cre06.g278900			
g588	Cre06.g278850			
g589	Cre06.g278800			
g590	Cre06.g278750			
g591	Cre06.g278700			
g594	Cre06.g278650			
g595	Cre06.g278600			
g596	Cre06.g278585			
g597	Cre06.g278550			
g598	Cre06.g278500			
g599	Cre06.g278451			
g600	Cre06.g278400			
g601	Cre06.g278350			
g602	Cre06.g278300			
g603	Cre06.g278250			
g619	Cre16.g695500			
g620	Cre16.g695450			
g626	Cre16.g695300			
g629	Cre16.g695100			
g630	Cre16.g695050			
g632	Cre16.g694850			
g635	Cre16.g694800			
g636	Cre16.g694750			
g645	Cre16.g694400			
g646	Cre16.g694402			
g647	Cre16.g694300			
g649	Cre16.g694200			
g651	Cre16.g694202			
g652	Cre16.g694203			
g653	Cre16.g694204			
g658	Cre02.g085400			
g661	Cre16.g694000			
g662	Cre16.g693950			
g666	Cre16.g693750			
g668	Cre16.g691755			
g672	Cre16.g693700			
g678	Cre16.g693400			
g679	Cre16.g801869			
g684	Cre16.g801871			
g686	Cre16.g801870			
g687	Cre16.g692901			
g689	Cre16.g692800			
g690	Cre16.g692750			
g691	Cre16.g692751			
g692	Cre16.g692650			
g693	Cre16.g692600			
g698	Cre16.g692450			
g702	Cre16.g692300			
g705	Cre16.g692150			
g707	Cre16.g692050			
g713	Cre16.g691850			
g714	Cre16.g691800			
g715	Cre16.g691750			
g719	Cre16.g691500			
g720	Cre16.g691450			
g723	Cre16.g691353			
g725	Cre16.g691150			
g727	Cre16.g691000			
g728	Cre16.g690950			
g729	Cre16.g690900			
g730	Cre16.g690750			
g731	Cre16.g690700			
g733	Cre16.g647500			
g734	Cre16.g647534			
g737	Cre16.g801885			
g743	Cre16.g647950			
g744	Cre16.g648000			
g746	Cre16.g648100			
g749	Cre16.g648200			
g754	Cre16.g648300			
g756	Cre16.g648400			
g758	Cre16.g648550			
g759	Cre16.g648650			
g760	Cre16.g648700			
g764	Cre16.g648850			
g765	Cre16.g648900			
g766	Cre16.g648950			
g768	Cre16.g649050			
g769	Cre16.g649100			
g770	Cre16.g649150			
g771	Cre16.g649200			
g773	Cre16.g649300			
g774	Cre16.g649350			
g775	Cre16.g649400			
g777	Cre16.g649466			
g783	Cre16.g649600			
g784	Cre16.g649650			
g785	Cre16.g649700			
g786	Cre16.g649750			
g792	Cre16.g650000			
g793	Cre16.g650050			
g795	Cre16.g650151			
g796	Cre16.g650200			
g800	Cre16.g650400			
g801	Cre16.g650450			
g802	Cre16.g650500			
g803	Cre16.g650550			
g807	Cre16.g651450			
