geneid	length
Mal24_g1	302
Mal24_g10	1720
Mal24_g100	1882
Mal24_g1000	3181
Mal24_g10000	488
Mal24_g10001	5325
Mal24_g10002	6196
Mal24_g10003	1230
Mal24_g10004	3166
Mal24_g10005	4100
Mal24_g10006	1919
Mal24_g10007	4181
Mal24_g10008	1367
Mal24_g10009	2622
Mal24_g1001	4644
Mal24_g10010	2038
Mal24_g10011	4226
Mal24_g10012	596
Mal24_g10013	9338
Mal24_g10014	4339
Mal24_g10015	5263
Mal24_g10016	6343
Mal24_g10017	3944
Mal24_g10018	676
Mal24_g10019	392
Mal24_g1002	1566
Mal24_g10020	2722
Mal24_g10021	720
Mal24_g10022	3408
Mal24_g10023	415
Mal24_g10024	5686
Mal24_g10025	374
Mal24_g10026	4934
Mal24_g10027	1472
Mal24_g10028	203
Mal24_g10029	1138
Mal24_g1003	1102
Mal24_g10030	1297
Mal24_g10031	341
Mal24_g10032	515
Mal24_g10033	8230
Mal24_g10034	3149
Mal24_g10035	2239
Mal24_g10036	1889
Mal24_g10037	4613
Mal24_g10038	258
Mal24_g10039	313
Mal24_g1004	1022
Mal24_g10040	6906
Mal24_g10041	1783
Mal24_g10042	6322
Mal24_g10043	1876
Mal24_g10044	318
Mal24_g10045	417
Mal24_g10046	287
Mal24_g10047	425
Mal24_g10048	1360
Mal24_g10049	229
Mal24_g1005	849
Mal24_g10050	1636
Mal24_g10051	1008
Mal24_g10052	3030
Mal24_g10053	702
Mal24_g10054	1271
Mal24_g10055	4039
Mal24_g10056	379
Mal24_g10057	816
Mal24_g10058	894
Mal24_g10059	4055
Mal24_g1006	887
Mal24_g10060	1390
Mal24_g10061	618
Mal24_g10062	1204
Mal24_g10063	4827
Mal24_g10064	1445
Mal24_g10065	2837
Mal24_g10066	2792
Mal24_g10067	1478
Mal24_g10068	1906
Mal24_g10069	2612
Mal24_g1007	5814
Mal24_g10070	1672
Mal24_g10071	1953
Mal24_g10072	4474
Mal24_g10073	1042
Mal24_g10074	7644
Mal24_g10075	8057
Mal24_g10076	1142
Mal24_g10077	1727
Mal24_g10078	508
Mal24_g10079	971
Mal24_g1008	3414
Mal24_g10080	3329
Mal24_g10081	1702
Mal24_g10082	368
Mal24_g10083	195
Mal24_g10084	1074
Mal24_g10085	4618
Mal24_g10086	1024
Mal24_g10087	1859
Mal24_g10088	1100
Mal24_g10089	2895
Mal24_g1009	933
Mal24_g10090	4185
Mal24_g10091	1531
Mal24_g10092	10810
Mal24_g10093	2086
Mal24_g10094	2770
Mal24_g10095	3863
Mal24_g10096	8773
Mal24_g10097	686
Mal24_g10098	2742
Mal24_g10099	1992
Mal24_g101	699
Mal24_g1010	513
Mal24_g10100	2675
Mal24_g10101	1392
Mal24_g10102	4054
Mal24_g10103	3020
Mal24_g10104	4293
Mal24_g10105	1153
Mal24_g10106	535
Mal24_g10107	1008
Mal24_g10108	838
Mal24_g10109	1095
Mal24_g1011	492
Mal24_g10110	3303
Mal24_g10111	807
Mal24_g10112	1967
Mal24_g10113	459
Mal24_g10114	3153
Mal24_g10115	4220
Mal24_g10116	4374
Mal24_g10117	4473
Mal24_g10118	666
Mal24_g10119	2214
Mal24_g1012	335
Mal24_g10120	5638
Mal24_g10121	1370
Mal24_g10122	1504
Mal24_g10123	405
Mal24_g10124	863
Mal24_g10125	4710
Mal24_g10126	10439
Mal24_g10127	4516
Mal24_g10128	9886
Mal24_g10129	2140
Mal24_g1013	3843
Mal24_g10130	1473
