geneid	length
g10	2226
g1000	2368
g10000	745
g10001	3266
g10002	1223
g10003	1738
g10004	1729
g10005	2266
g10006	2420
g10007	3023
g10008	7860
g10009	459
g1001	8769
g10010	1201
g10011	2142
g10012	1948
g10013	6142
g10014	2044
g10015	3248
g10016	2762
g10017	4112
g10018	4697
g10019	2299
g1002	1867
g10020	1767
g10021	5861
g10022	825
g10023	3319
g10024	1070
g10025	822
g10026	2854
g10027	913
g10028	960
g10029	1783
g1003	4551
g10030	2896
g10031	3292
g10032	10198
g10033	1336
g10034	1444
g10035	1944
g10036	2584
g10037	2530
g10038	1859
g10039	2621
g1004	3116
g10040	2723
g10041	2574
g10042	1885
g10043	4622
g10044	1822
g10045	1974
g10046	1152
g10047	822
g10048	9842
g10049	2816
g10050	2516
g10051	1928
g10052	1987
g10053	7402
g10054	1054
g10055	8397
g10057	3480
g10058	5980
g10059	2466
g10060	2023
g10061	3477
g10062	2173
g10063	820
g10064	4080
g10065	1276
g10066	4672
g10067	2560
g10068	1642
g10069	15092
g10070	1926
g10071	2744
g10072	2730
g10073	3647
g10074	1219
g10075	2643
g10076	5726
g10077	3181
g10078	3266
g10079	1287
g10080	2547
g10081	1758
g10082	4281
g10083	3295
g10084	12915
g10085	3380
g10086	3178
g10087	2767
g10088	1081
g10089	1050
g1009	5386
g10090	1358
g10091	2248
g10092	1171
g10093	1068
g10094	910
g10095	2152
g10096	6625
g10097	2297
g10098	1448
g10099	653
g1010	18399
g10100	1820
g10101	1927
g10103	9898
g10104	1940
g10105	4312
g10106	1406
g10107	1821
g10108	7708
g10109	7215
g10110	3609
g10111	4755
g10112	931
g10113	1969
g10114	969
g10115	3590
g10116	1730
g10117	5554
g10118	2637
g10119	873
g10120	3865
g10121	3897
g10122	9531
g10123	2204
g10124	3255
g10125	1952
g10126	7274
g10127	1803
g10129	1986
g1013	3468
g10130	2557
g10131	1392
g10132	2974
g10133	9184
g10134	1618
g10135	2078
g10136	1116
g10137	3657
g10138	3632
g10139	1005
g1014	1815
g10140	2402
g10141	4380
g10142	1882
g10143	1293
g10144	1419
g10145	1765
g10146	6169
g10147	2070
g10148	2388
g10149	2839
g10151	1640
g10152	2857
g10153	972
g10154	14068
g10155	4691
g10156	4568
g10157	2535
g10158	3167
g10159	2975
g1016	2361
g10160	4324
g10161	6680
g10162	1304
g10163	2093
g10164	1231
g10165	645
g10166	774
g10167	2002
g10168	3669
g10169	2047
g1017	13499
g10170	2085
g10171	1319
g10172	2880
g10174	670
g10176	2125
g10177	2470
g10178	1134
g10180	2184
g10185	1217
g10186	2006
g10187	1804
g10188	2370
g1019	3677
g10190	3931
g10191	5064
g10192	5429
g10193	1940
g10194	1449
g10195	1780
g10196	1588
g10197	1358
g10198	13534
g10199	5842
g102	4299
g1020	3140
g10201	6926
g10202	6085
g10203	3048
g10204	2435
g10205	2164
g10206	8962
g10208	1722
g10209	4870
g1021	1825
g10210	4908
g10211	8222
g10213	2001
g10214	1817
g10215	3872
g10216	1185
g10217	3154
g10218	3210
g10219	3571
g1022	1477
g10220	2740
g10221	3705
g10222	1286
g10223	2126
g10224	4899
g10225	4447
g10227	1709
g10228	2912
g10229	1946
g1023	1335
g10230	2278
g10231	6835
g10232	1228
g10233	3007
g10234	6724
g10236	5346
g10237	1128
g10238	1011
g10239	1932
g1024	3396
g10240	2987
g10241	2871
g10242	1517
g10243	2637
g10244	1598
g10245	1570
g10246	3049
g10254	2057
g10255	11576
g10257	1603
g10260	1891
g10261	3212
g10262	2531
g10263	1990
g10264	4107
g10265	2446
g10266	4682
g10267	4603
g10268	6536
g10269	1560
g1027	888
g10270	690
g10271	830
g10273	1586
g10274	1373
g10275	1660
g10276	4693
g10277	5139
g10278	5378
g10279	5566
g10280	2693
g10281	2079
g10282	8379
g10283	6578
g10284	1134
g10285	3312
g10286	1960
g10287	3285
g10288	2218
g10289	3124
g10290	3352
g10291	3597
g10292	2025
g10293	4178
g10294	7103
g10295	2335
g10296	1310
g10297	7908
g10298	2131
g10299	1753
g10300	6177
g10301	873
g10302	1623
g10303	3539
g10304	1920
g10305	2826
g10306	1793
g10307	2644
g1031	7947
g10310	4917
g10312	706
g10316	944
g10318	1564
g1032	2736
g10322	2761
g1033	1491
g10331	2617
g10333	1745
g10334	846
g10336	2696
g10337	9808
g10338	2784
g10339	2753
g1034	2921
g10340	2219
g10341	1802
g10342	2529
g10343	1293
g10344	6268
g10345	1510
g10346	1924
g10347	7541
g10348	1301
g10349	2469
g1035	3748
g10350	3892
g10351	1819
g10352	5000
g10353	2052
g10354	1585
g10355	4114
g10356	2728
g10357	5472
g10358	4252
g10359	2165
g1036	3868
g10360	1739
g10361	4190
g10362	2079
g10363	2099
g10366	1451
g10367	1324
g10368	863
g10369	3726
g1037	3961
g10370	5046
g10371	1124
g10372	2280
g10373	4005
g10374	3558
g10375	3847
g10376	6127
g10377	7362
g10378	2038
g10379	1375
g1038	3876
g10380	6886
g10381	3320
g10382	1156
g10383	1942
g10384	1367
g10385	4215
g10386	2577
g10387	5631
g10388	4375
g10389	2259
g10390	4317
g10391	1368
g10392	4500
g10393	1043
g10394	4212
g10395	1904
g10396	1760
g10397	2757
g10398	2197
g10399	4542
g1040	12626
g10400	1533
g10401	1734
g10402	3377
g10403	2135
g10404	4425
g10405	9545
g10406	1832
g10407	1079
g10408	2507
g10409	1940
g1041	11972
g10410	1820
g10411	3557
g10412	4807
g10413	2299
g10414	1234
g10415	5553
g10416	2170
g10418	1658
g10419	2319
g1042	1026
g10420	2972
g10421	1217
g10422	6463
g10423	5342
g10424	715
g10425	8649
g10426	7606
g10429	1860
g1043	2362
g10430	1653
g10431	6601
g10432	6225
g10433	1742
g10434	1194
g10435	2634
g10437	1286
g10438	5053
g10439	1219
g1044	1882
g10440	4002
g10441	2841
g10442	4402
g10443	1559
g10444	2241
g10445	3430
g10446	3125
g10447	7049
g10448	3041
g10449	4220
g1045	3692
g10450	2084
g10451	1021
g10452	3939
g10453	3220
g10455	1069
g10456	2206
g10457	1295
g10458	2716
g10459	6551
g1046	2156
g10460	3849
g10461	3073
g10463	6678
g10464	2683
g10466	5770
g10467	2539
g10468	10279
g10469	8291
g1047	2797
g10470	1632
g10471	2501
g10472	2966
g10473	1033
g10474	1233
g10475	4879
g10476	3712
g10477	15019
g10478	2886
g10479	3155
g1048	5402
g10480	4338
g10481	3275
g10482	1560
g10483	4581
g10484	3978
g10485	4174
g10487	5616
g10488	5667
g10489	2288
g1049	969
g10490	5418
g10491	4036
g10492	6758
g10493	3465
g10494	628
g10495	6052
g10496	6054
g10497	5193
g10498	1813
g10499	2183
g10501	2659
g10502	1350
g10503	3766
g10504	2248
g10505	1596
g10506	3495
g10507	1180
g10508	2877
g10509	2230
g1051	1521
g10510	6115
g10511	3086
g10512	1603
g10513	4365
g10514	4535
g10515	3131
g10516	4885
g10517	2471
g10518	2142
g10519	2270
g1052	2301
g10520	3808
g10521	831
g10522	2960
g10523	504
g10524	1513
g10525	3104
g10526	1431
g10527	3432
g10529	6954
g1053	3796
g10530	8580
g10531	4029
g10533	3314
g10534	3825
g10536	11811
g10537	1421
g10538	1161
g10539	1993
g1054	1137
g10540	2441
g10541	1834
g10542	6502
g10543	1399
g10544	4915
g10545	2441
g10546	1115
g10547	5952
g10548	3093
g10549	1805
g1055	3731
g10550	1901
g10551	998
g10552	2277
g10553	3224
g10555	1631
g10556	2695
g10557	1570
g10558	1191
g10559	3364
g1056	6620
g10560	1600
g10561	2057
g10563	4972
g10564	4631
g10565	1641
g10566	4254
g10569	2335
g1057	3996
g10570	2118
g10571	4666
g10572	1030
g10573	1641
g10574	4472
g10575	2544
g10576	1799
g10577	3578
g10578	2128
g10579	6941
g1058	2978
g10581	4992
g10582	2127
g10583	5400
g10584	3951
g10585	3096
g10586	2336
g10587	1418
g10588	10856
g10589	3124
g1059	1834
g10590	1668
g10591	3732
g10592	4587
g10593	2119
g10594	2170
g10595	2447
g10596	10124
g10597	1972
g10598	2027
g10599	2251
g1060	2915
g10600	1886
g10601	944
g10602	2120
g10603	10381
g10604	6521
g10605	1394
g10606	4436
g10607	3690
g10608	2869
g10609	3072
g1061	1653
g10610	5535
g10611	7975
g10612	1709
g10613	2449
g10614	1342
g10615	942
g10617	629
g10618	5047
g10619	1335
g1062	3770
g10621	2677
g10622	2413
g10623	3163
g10624	2073
g10625	903
g10626	6043
g10627	977
g1063	3488
g10630	3099
g10631	3364
g10632	1466
g10633	1234
g10634	2143
g10635	1323
g10636	1213
g10637	5939
g10638	1591
g10639	2413
g1064	2634
g10640	1962
g10641	2912
g10642	2701
g10643	2919
g10644	19935
g10645	1440
g10646	1841
g10647	3120
g10648	1530
g10649	1153
g1065	1751
g10650	1180
g10651	1419
g10652	2905
g10653	1673
g10654	3023
g10655	927
g10656	1186
g10657	6812
g10658	2567
g10659	1886
g1066	5870
g10660	1560
g10661	2669
g10662	2723
g10663	10428
g10664	2012
g10665	2205
g10667	1226
g10668	4961
g10669	1803
g1067	4785
g10670	1887
g10671	3562
g10672	7979
g10673	6797
g10674	1361
g10675	564
g10676	2323
g10677	4970
g10679	1881
g1068	860
g10680	1226
g10681	2969
g10682	4635
g10683	3693
g10684	4242
g10685	1023
g10686	12102
g10687	2499
g10688	2395
g10689	2838
g1069	3390
g10690	1847
g10691	4831
g10692	5239
g10693	1694
g10694	4704
g10695	3945
g10696	3022
g10697	3603
g10698	7298
g10699	1903
g1070	4562
g10700	5207
g10701	3203
g10702	3796
g10703	4978
g10704	1321
g10705	7842
g10706	3204
g10707	1728
g10708	732
g10709	2442
g1071	1900
