CSCH	JG05	MALA	CREN	CINC
g14983	JG24_g9	Mal24_g16037	Cre16.g652050	g830
g14982	JG24_g10	Mal24_g16038	Cre16.g652100	g831
g14979	JG24_g12	Mal24_g16040	Cre16.g652200	g835
g14973	JG24_g17	Mal24_g16045	Cre16.g652450	g840
g14971	JG24_g19	Mal24_g16047	Cre16.g652550	g843
g14970	JG24_g20	Mal24_g16048	Cre16.g652600	g844
g14969	JG24_g21	Mal24_g16049	Cre16.g652650	g845
g14966	JG24_g24	Mal24_g16053	Cre16.g652800	g848
g14965	JG24_g25	Mal24_g16054	Cre16.g652850	g849
g14959	JG24_g32	Mal24_g16061	Cre16.g653150	g855
g14954	JG24_g45	Mal24_g16067	Cre16.g653350	g860
g14952	JG24_g47	Mal24_g16069	Cre16.g653450	g862
g14949	JG24_g57	Mal24_g16073	Cre16.g653650	g866
g14946	JG24_g63	Mal24_g16077	Cre16.g653850	g871
g14942	JG24_g66	Mal24_g16080	Cre16.g654250	g874
g14937	JG24_g71	Mal24_g16085	Cre16.g654500	g879
g14920	JG24_g84	Mal24_g16098	Cre16.g655100	g891
g14919	JG24_g86	Mal24_g16099	Cre16.g655150	g892
g14918	JG24_g87	Mal24_g16101	Cre16.g655200	g893
g14913	JG24_g91	Mal24_g16105	Cre16.g655450	g897
g14909	JG24_g94	Mal24_g16109	Cre16.g655600	g901
g14906	JG24_g97	Mal24_g16112	Cre16.g655750	g903
g14904	JG24_g99	Mal24_g16114	Cre16.g655900	g905
g14903	JG24_g100	Mal24_g16115	Cre16.g655950	g906
g14897	JG24_g105	Mal24_g16119	Cre16.g656050	g911
g14896	JG24_g106	Mal24_g16120	Cre16.g656100	g912
g14893	JG24_g109	Mal24_g16123	Cre16.g656250	g915
g14892	JG24_g110	Mal24_g16124	Cre16.g656300	g916
g14887	JG24_g113	Mal24_g14833	Cre16.g656400	g919
g14886	JG24_g114	Mal24_g14832	Cre16.g656500	g920
g14884	JG24_g116	Mal24_g14830	Cre16.g656600	g922
g14883	JG24_g118	Mal24_g14829	Cre16.g656650	g923
g14882	JG24_g119	Mal24_g14828	Cre16.g656700	g924
g14877	JG24_g125	Mal24_g14822	Cre16.g657000	g930
g14876	JG24_g126	Mal24_g14821	Cre16.g657050	g931
g14874	JG24_g128	Mal24_g14819	Cre16.g657150	g933
g14872	JG24_g130	Mal24_g14816	Cre16.g657250	g935
g14871	JG24_g131	Mal24_g14815	Cre16.g657300	g936
g14870	JG24_g132	Mal24_g14814	Cre16.g657350	g937
