geneid	length
JG24_g1	1975
JG24_g10	1530
JG24_g100	4537
JG24_g1000	4734
JG24_g10000	2875
JG24_g10001	2716
JG24_g10002	3748
JG24_g10003	1460
JG24_g10004	452
JG24_g10005	1393
JG24_g10006	403
JG24_g10007	746
JG24_g10008	2325
JG24_g10009	1123
JG24_g1001	3406
JG24_g10010	1580
JG24_g10011	1343
JG24_g10012	1559
JG24_g10013	1216
JG24_g10014	1215
JG24_g10015	1624
JG24_g10016	218
JG24_g10017	746
JG24_g10018	746
JG24_g10019	1390
JG24_g1002	3722
JG24_g10020	1190
JG24_g10021	1685
JG24_g10022	3444
JG24_g10023	578
JG24_g10024	1186
JG24_g10025	2019
JG24_g10026	2378
JG24_g10027	168
JG24_g10028	1497
JG24_g10029	920
JG24_g1003	908
JG24_g10030	871
JG24_g10031	3260
JG24_g10032	632
JG24_g10033	1328
JG24_g10034	2148
JG24_g10035	1280
JG24_g10036	685
JG24_g10037	993
JG24_g10038	1369
JG24_g10039	3292
JG24_g1004	1268
JG24_g10040	5474
JG24_g10041	4516
JG24_g10042	471
JG24_g10043	6868
JG24_g10044	3963
JG24_g10045	1016
JG24_g10046	4114
JG24_g10047	3552
JG24_g10048	3837
JG24_g10049	3503
JG24_g1005	3835
JG24_g10050	432
JG24_g10051	1890
JG24_g10052	2745
JG24_g10053	1746
JG24_g10054	257
JG24_g10055	254
JG24_g10056	1002
JG24_g10057	1708
JG24_g10058	1021
JG24_g10059	1776
JG24_g1006	729
JG24_g10060	486
JG24_g10061	837
JG24_g10062	1625
JG24_g10063	781
JG24_g10064	3207
JG24_g10065	9895
JG24_g10066	2612
JG24_g10067	1400
JG24_g10068	285
JG24_g10069	1552
JG24_g1007	323
JG24_g10070	2723
JG24_g10071	999
JG24_g10072	679
JG24_g10073	1910
JG24_g10074	8764
JG24_g10075	2685
JG24_g10076	1028
JG24_g10077	1084
JG24_g10078	1704
JG24_g10079	615
JG24_g1008	2237
JG24_g10080	1733
JG24_g10081	7050
JG24_g10082	1424
JG24_g10083	2337
JG24_g10084	1441
JG24_g10085	332
JG24_g10086	7224
JG24_g10087	2157
JG24_g10088	975
JG24_g10089	667
JG24_g1009	927
JG24_g10090	922
JG24_g10091	384
JG24_g10092	787
JG24_g10093	1567
JG24_g10094	787
JG24_g10095	1567
JG24_g10096	2201
JG24_g10097	1761
JG24_g10098	704
JG24_g10099	2705
JG24_g101	5473
JG24_g1010	251
JG24_g10100	1611
JG24_g10101	1761
JG24_g10102	1338
JG24_g10103	1972
JG24_g10104	1224
JG24_g10105	771
JG24_g10106	2235
JG24_g10107	2429
JG24_g10108	3207
JG24_g10109	3116
JG24_g1011	2245
JG24_g10110	2398
JG24_g10111	202
JG24_g10112	1879
JG24_g10113	2192
JG24_g10114	1955
JG24_g10115	2045
JG24_g10116	453
JG24_g10117	1676
JG24_g10118	1878
JG24_g10119	7707
JG24_g1012	828
JG24_g10120	1260
JG24_g10121	1207
JG24_g10122	287
JG24_g10123	786
JG24_g10124	790
JG24_g10125	1554
JG24_g10126	1491
JG24_g10127	1316
JG24_g10128	2852
JG24_g10129	4796
JG24_g1013	1260
JG24_g10130	279
JG24_g10131	4394
JG24_g10132	7136
JG24_g10133	3086
JG24_g10134	1420
JG24_g10135	607
JG24_g10136	1265
JG24_g10137	2347
JG24_g10138	607
JG24_g10139	17852
JG24_g1014	5105
JG24_g10140	2833
JG24_g10141	615
JG24_g10142	5434
JG24_g10143	11742
JG24_g10144	1481
JG24_g10145	5638
JG24_g10146	1458
JG24_g10147	5788
JG24_g10148	1625
JG24_g10149	697
JG24_g1015	2232
JG24_g10150	1839
JG24_g10151	1985
JG24_g10152	4960
