	CREN	CINC	CSCH	JG05	MALA
0	Cre01.g000150	g13756	g5	JG24_g19226	Mal24_g15337
1	Cre01.g000200	g13755	g6	JG24_g19227	Mal24_g15336
2	Cre01.g000250		g7		Mal24_g15335
3	Cre01.g000300	g13753	g8	JG24_g19229	Mal24_g15334
4	Cre01.g000350	g13752	g9		
5	Cre01.g000400	g13751	g10		
6	Cre01.g000450	g13750	g11	JG24_g19231	Mal24_g15332
7	Cre01.g000500	g13749	g12	JG24_g19232	Mal24_g15331
8	Cre01.g000550	g13748		JG24_g19235	Mal24_g15330
9	Cre01.g000600	g13747	g13	JG24_g19236	Mal24_g15328
10	Cre01.g000650	g13746	g14	JG24_g19237	Mal24_g15327
11	Cre01.g000700	g13744	g15	JG24_g19238	Mal24_g15326
12	Cre01.g000750	g13742	g17	JG24_g19239	Mal24_g15325
13	Cre01.g000800	g13741	g18		
14	Cre01.g000850		g19	JG24_g19240	Mal24_g15324
15	Cre01.g000900	g13739	g20	JG24_g19241	Mal24_g15323
16	Cre01.g000950	g13738	g21	JG24_g19242	Mal24_g15322
17	Cre01.g001000		g22		
18	Cre01.g001100	g13736	g23	JG24_g19244	Mal24_g15319
19	Cre01.g001150	g13735	g24	JG24_g19245	
20	Cre01.g001250				Mal24_g15317
21	Cre01.g001300	g17123		JG24_g19248	Mal24_g15316
22	Cre01.g001350	g17124	g15515	JG24_g11173	Mal24_g15315
23	Cre01.g001400	g17125	g15516	JG24_g11174	Mal24_g15314
24	Cre01.g001450	g17126	g15517	JG24_g11175	Mal24_g15313
25	Cre01.g001501	g17127	g15521	JG24_g11176	Mal24_g15311
26	Cre01.g001550	g17128	g15522	JG24_g11177	Mal24_g15310
27	Cre01.g001600				Mal24_g561
28	Cre01.g001650	g17130		JG24_g11179	Mal24_g15306
29	Cre01.g001657	g17131	g15525	JG24_g11180	Mal24_g15305
30	Cre01.g001664	g17134	g15527	JG24_g11185	Mal24_g15302
31	Cre01.g001678	g17135	g15528	JG24_g11187	Mal24_g15301
32	Cre01.g001700	g17137	g15529	JG24_g11188	Mal24_g15300
33	Cre01.g001750	g17138	g15530	JG24_g11191	Mal24_g15299
34	Cre01.g001800		g15531	JG24_g11192	Mal24_g15298
35	Cre01.g001950	g17141	g15534	JG24_g11193	Mal24_g15296
36	Cre01.g001983	g17142	g15535	JG24_g11194	Mal24_g15295
37	Cre01.g002050	g17143	g15536	JG24_g11195	Mal24_g15294
38	Cre01.g002100	g4463	g5470	JG24_g18776	
39	Cre01.g002100	g4463	g5470	JG24_g5230	
40	Cre01.g002100	g13182	g5470	JG24_g18776	
41	Cre01.g002100	g13182	g5470	JG24_g5230	
42	Cre01.g002150	g17144		JG24_g11196	Mal24_g15293
43	Cre01.g002200	g17145	g15538	JG24_g11197	Mal24_g15292
44	Cre01.g002201	g17147	g15540		Mal24_g15290
45	Cre01.g002227	g17148		JG24_g11206	
46	Cre01.g002250	g17149	g15544	JG24_g11207	Mal24_g15287
47	Cre01.g002300	g17150	g15545	JG24_g11208	Mal24_g15286
48	Cre01.g002350	g17151	g15546	JG24_g11209	Mal24_g15285
