CINC	CREN	CSCH	MALA	JG05
g7	Cre02.g142166			
g8	Cre02.g142146			
g9	Cre02.g142126			
g15	Cre06.g296550			
g16	Cre06.g296500			
g17	Cre06.g296400			
g20	Cre06.g296300			
g24	Cre06.g296350			
g26	Cre06.g296250			
g27	Cre06.g296200			
g29	Cre06.g296150			
g30	Cre06.g296100			
g31	Cre06.g296050			
g32	Cre06.g296000			
g33	Cre06.g295950			
g34	Cre06.g800726			
g35	Cre06.g800725			
g36	Cre06.g800724			
g37	Cre06.g295826			
g38	Cre06.g295700			
g39	Cre06.g295650			
g40	Cre06.g295600			
g41	Cre06.g295550			
g42	Cre06.g295500			
g43	Cre06.g295450			
g44	Cre06.g295400			
g46	Cre06.g295250			
g47	Cre06.g295200			
g48	Cre06.g295150			
g49	Cre06.g295100			
g50	Cre06.g295050			
g51	Cre06.g295001			
g53	Cre06.g294950			
g54	Cre06.g294850			
g56	Cre06.g294800			
g57	Cre06.g294750			
g58	Cre06.g294700			
g59	Cre06.g294650			
g60	Cre06.g294500			
g61	Cre06.g294450			
g63	Cre06.g294400			
g66	Cre06.g294250			
g67	Cre06.g294200			
g71	Cre06.g294100			
g72	Cre06.g294050			
g73	Cre06.g800721			
g77	Cre06.g294000			
g78	Cre06.g293950			
g79	Cre06.g293900			
g80	Cre06.g293850			
g81	Cre06.g293800			
g82	Cre06.g293750			
g83	Cre06.g293700			
g86	Cre06.g293650			
g87	Cre06.g293582			
g90	Cre06.g293516			
g91	Cre06.g293400			
g93	Cre06.g293300			
g94	Cre17.g697550			
g95	Cre06.g293250			
g96	Cre06.g293200			
g98	Cre06.g293150			
g101	Cre06.g293100			
g102	Cre06.g293051			
g103	Cre06.g800716			
g104	Cre06.g293000			
g105	Cre06.g292950			
g107	Cre03.g198700			
g111	Cre06.g292900			
g112	Cre15.g801748			
g113	Cre06.g292850			
g114	Cre06.g292800			
g116	Cre06.g292700			
g117	Cre06.g292650			
g118	Cre06.g292600			
g119	Cre06.g292550			
g120	Cre06.g292500			
g121	Cre06.g292450			
g122	Cre06.g292400			
g123	Cre06.g292350			
g126	Cre06.g800714			
g127	Cre06.g292150			
g128	Cre06.g292100			
g129	Cre06.g292050			
g130	Cre06.g292000			
g131	Cre06.g291950			
g132	Cre06.g291900			
g133	Cre06.g291850			
g136	Cre06.g291800			
g137	Cre06.g291750			
g138	Cre06.g291700			
g139	Cre06.g291650			
g140	Cre06.g291600			
g141	Cre06.g291550			
g142	Cre06.g291500			
g143	Cre06.g291450			
g144	Cre06.g291400			
g145	Cre06.g291350			
g146	Cre06.g291300			
g147	Cre06.g291250			
g148	Cre06.g291200			
g149	Cre06.g291150			
g150	Cre06.g291050			
g151	Cre06.g290950			
g152	Cre06.g290900			
g154	Cre06.g290850			
g155	Cre06.g290800			
g156	Cre06.g800713			
g165	Cre16.g689087			
g166	Cre16.g689311			
g167	Cre16.g689423			
g168	Cre16.g689535			
g169	Cre16.g689647			
g172	Cre16.g689759			
g173	Cre16.g689871			
g174	Cre16.g689983			
g175	Cre16.g690095			
g176	Cre16.g690319			
g177	Cre16.g690431			
g178	Cre16.g690655			
g179	Cre16.g690767			
g180	Cre16.g690879			
g181	Cre16.g690991			
g182	Cre16.g691103			
g183	Cre16.g802017			
g184	Cre16.g691215			
g185	Cre16.g691327			
g186	Cre16.g691440			
g187	Cre16.g691552			
g188	Cre16.g691776			
g191	Cre16.g692116			
g192	Cre16.g692228			
g195	Cre14.g801625			
g196	Cre14.g620750			
g197	Cre14.g620800			
g198	Cre14.g620850			
g200	Cre14.g620951			
g201	Cre14.g621000			
g202	Cre14.g621050			
g203	Cre14.g621100			
g204	Cre14.g621150			
g205	Cre14.g621200			
g206	Cre14.g621250			
g208	Cre14.g621300			
g209	Cre14.g621351			
g210	Cre14.g621400			
g211	Cre14.g621450			
g212	Cre14.g621475			
g213	Cre14.g801627			
g214	Cre14.g621501			
g215	Cre14.g621600			
g216	Cre14.g621650			
g218	Cre14.g621700			
g219	Cre14.g621751			
g220	Cre14.g621800			
g221	Cre14.g621850			
g222	Cre14.g622000			
g223	Cre14.g622050			
g227	Cre10.g423050			
g233	Cre07.g347650			
g234	Cre07.g347600			
g236	Cre07.g347550			
g237	Cre07.g347500			
g238	Cre07.g347400			
g239	Cre07.g347350			
g240	Cre07.g347200			
g241	Cre07.g347150			
g242	Cre07.g347100			
g243	Cre07.g347050			
g244	Cre07.g347000			
g271	Cre10.g465000			
g273	Cre04.g231124			
g274	Cre04.g231222			
g275	Cre04.g231516			
g276	Cre04.g231614			
g277	Cre04.g800503			
g279	Cre04.g232006			
g280	Cre04.g232104			
g281	Cre04.g232202			
g285	Cre07.g316150			
g287	Cre04.g232402			
g290	Cre04.g232502			
g291	Cre04.g232602			
g292	Cre04.g232702			
g293	Cre04.g232802			
g294	Cre04.g233003			
g295	Cre04.g232902			
g296	Cre04.g233102			
g297	Cre04.g233202			
g304	Cre04.g222950			
g305	Cre04.g223000			
g307	Cre04.g223050			
g309	Cre04.g223300			
g310	Cre04.g223350			
g311	Cre04.g223400			
g312	Cre04.g223450			
g313	Cre04.g223500			
g314	Cre04.g223550			
g315	Cre04.g223600			
g318	Cre04.g223700			
g319	Cre04.g223750			
g320	Cre04.g223800			
g321	Cre04.g223850			
g322	Cre04.g223900			
g327	Cre04.g224002			
g329	Cre04.g224100			
g330	Cre04.g224150			
g333	Cre04.g224200			
g334	Cre04.g224250			
g335	Cre04.g224300			
g336	Cre04.g224350			
g337	Cre04.g224400			
g339	Cre04.g800477			
g341	Cre04.g224500			
g342	Cre04.g224550			
g343	Cre04.g224600			
g344	Cre04.g224650			
g345	Cre04.g224700			
g346	Cre04.g224750			
g347	Cre04.g224800			
g350	Cre04.g225000			
g351	Cre04.g225050			
g353	Cre11.g478050			
g354	Cre04.g800482			
g355	Cre04.g225200			
g356	Cre04.g225350			
g357	Cre04.g225400			
g358	Cre04.g225600			
g359	Cre04.g225650			
g360	Cre04.g225700			
g362	Cre04.g225750			
g364	Cre04.g225850			
g366	Cre04.g225950			
g367	Cre04.g226001			
g370	Cre04.g226050			
g371	Cre04.g226150			
g373	Cre06.g289950			
g374	Cre06.g289900			
g375	Cre06.g289850			
g376	Cre06.g289800			
g377	Cre06.g289750			
g378	Cre06.g289700			
g379	Cre06.g289650			
g380	Cre06.g289600			
g381	Cre06.g289550			
g382	Cre06.g289500			
g383	Cre06.g800708			
g385	Cre06.g289400			
g386	Cre06.g289350			
g387	Cre06.g289300			
g388	Cre06.g800706			
g389	Cre06.g289150			
g391	Cre06.g289100			
g392	Cre06.g289033			
g393	Cre06.g289000			
g394	Cre06.g288950			
g395	Cre06.g288908			
g397	Cre06.g288850			
g400	Cre06.g800703			
g401	Cre06.g288650			
g402	Cre06.g288600			
g404	Cre06.g288550			
g405	Cre06.g288500			
g406	Cre06.g288450			
g407	Cre06.g288400			
g408	Cre06.g288350			
g409	Cre06.g800702			
g411	Cre06.g288150			
g412	Cre06.g288100			
g413	Cre06.g288050			
g416	Cre06.g288000			
g417	Cre06.g287950			
g418	Cre06.g287900			
g419	Cre06.g287850			
g420	Cre06.g287800			
g421	Cre06.g287750			
g422	Cre06.g287100			
g423	Cre06.g287050			
g424	Cre06.g287000			
g426	Cre06.g286950			
g427	Cre06.g286900			
g428	Cre06.g286850			
g429	Cre06.g286800			
g430	Cre06.g286750			
g431	Cre06.g286700			
g432	Cre06.g286650			
g434	Cre06.g286600			
g435	Cre06.g286550			
g436	Cre06.g286500			
g437	Cre06.g286450			
g438	Cre06.g286350			
g439	Cre06.g286300			
g440	Cre06.g286250			
g441	Cre06.g286200			
g442	Cre06.g281650			
g444	Cre06.g286100			
g445	Cre06.g286050			
g446	Cre06.g286000			
g448	Cre06.g285900			
g449	Cre06.g285850			
g450	Cre06.g285800			
g452	Cre06.g285700			
g453	Cre06.g285650			
g454	Cre06.g285600			
g456	Cre06.g285550			
g457	Cre06.g285500			
g458	Cre06.g285451			
g459	Cre06.g285401			
g460	Cre06.g285350			
g461	Cre06.g285300			
g463	Cre06.g285200			
g464	Cre06.g285150			
g465	Cre06.g285100			
g466	Cre06.g285050			
g467	Cre06.g285001			
g468	Cre06.g284900			
g469	Cre06.g284850			
g470	Cre06.g284750			
g471	Cre06.g284700			
g472	Cre06.g284650			
g473	Cre06.g284600			
g474	Cre06.g284550			
g475	Cre06.g284450			
g476	Cre06.g284400			
g477	Cre06.g284350			
g478	Cre06.g284300			
g480	Cre06.g284200			
g481	Cre06.g284150			
g482	Cre06.g284100			
g483	Cre06.g284050			
g484	Cre06.g284000			
g485	Cre06.g283950			
g486	Cre06.g283900			
g487	Cre06.g283800			
g488	Cre06.g283850			
g489	Cre06.g283750			
g490	Cre06.g283700			
g491	Cre06.g283634			
g492	Cre06.g283600			
g493	Cre06.g283550			
g494	Cre06.g283500			
g495	Cre06.g283400			
g496	Cre06.g283350			
g497	Cre06.g283300			
g498	Cre06.g283250			
g499	Cre06.g283200			
g500	Cre06.g283150			
g501	Cre06.g283100			
g502	Cre06.g283050			
g503	Cre06.g283034			
g504	Cre06.g283000			
g505	Cre06.g282950			
g506	Cre06.g282900			
g507	Cre06.g282850			
g508	Cre06.g282800			
g509	Cre06.g282750			
g510	Cre06.g282651			
g511	Cre06.g282600			
g512	Cre06.g282550			
g515	Cre06.g282500			
g516	Cre06.g282450			
g517	Cre06.g282400			
g518	Cre06.g282350			
g519	Cre06.g282300			
g520	Cre06.g282251			
g521	Cre06.g282200			
g522	Cre06.g282150			
