CREN	CSCH	k0	k4	sites
Cre05.g230600	g8422	0.0269995408952429	0.37697164242135905	1393.0
Cre05.g230650	g8423	0.0350531083887673	0.6806677889290502	217.0
Cre05.g230850	g8425	0.1261458789411248	0.5824712152773857	1869.0
Cre05.g230900	g8426	0.0891978620346451	0.39605057265037263	1004.0
Cre05.g231000	g8427	0.376019336920824	0.7703649935144734	407.0
Cre05.g231050	g8428	0.1746368087637806	0.5684135448575689	2934.0
Cre05.g232000	g7647	0.1612208671194526	0.5323398746729325	1098.0
Cre05.g232002	g8440	0.0220215467526371	0.27076000915299786	1794.0
Cre05.g232004	g8430	0.2871447922003495	0.7855985831258765	1533.0
Cre05.g232050	g7648	0.358828746275304	1.0486643540440557	5884.0
Cre05.g232100	g7649	0.1420540587617698	0.6454902386765694	388.0
Cre05.g232150	g7650	0.0255146367136298	0.27851962171624006	1329.0
Cre05.g232200	g7651	0.0415023135294028	0.3370027443278823	2133.0
Cre05.g232450	g7655	0.0920283688033646	0.37830379197230096	1525.0
Cre05.g232550	g7656	0.159654000744285	0.6015093324707056	1398.0
Cre05.g232600	g7658	0.1564226757892866	0.3389888428072928	1580.0
Cre05.g232750	g7661	0.0117649471257746	0.19186801409016083	1549.0
Cre05.g232751	g7660	0.0859124443681772	0.33830069044797006	1793.0
Cre05.g232752	g7659	0.1894156502412581	0.5141742323306608	1789.0
Cre05.g232800	g7662	0.0760143706952155	0.4686209524368512	373.0
Cre05.g232850	g7663	0.0125263872134486	0.7338509826195349	242.0
Cre05.g232900	g7664	0.2867235366199724	0.7033930780746981	8743.0
Cre05.g232950	g7665	0.0544506096473628	0.3142243464953001	1483.0
Cre05.g233050	g7666	0.0316441949841449	0.24710940084768174	537.0
Cre05.g233100	g7667	0.0434752521721336	0.2894486837458652	3025.0
Cre05.g233300	g7670	0.0676463093531657	0.4477286808593936	890.0
Cre05.g233303	g7669	0.1100639328123931	0.4019932991793802	5573.0
Cre05.g233305	g7668	0.0420544148915796	0.29264822698303194	1154.0
Cre05.g233350	g11613	0.3088607518401174	0.49085852955059356	1866.0
Cre05.g233450	g7671	0.0588537115811214	0.40958547637616316	1524.0
Cre05.g233550	g7674	0.2309010148892379	0.6069056721786619	5660.0
Cre05.g233600	g7675	0.244592141819407	0.6363404474100917	4782.0
Cre05.g233650	g7676	0.0685108765707142	0.34493732078425093	6818.0
Cre05.g233750	g7678	0.251047676722942	0.7010889858827395	2300.0
