geneid	length
g1	2121
g10	2706
g1000	2283
g10000	3059
g10001	2205
g10002	2118
g10003	2134
g10004	4613
g10005	2251
g10006	2308
g10007	1119
g10008	2839
g10009	2302
g1001	3144
g10010	1439
g10011	1465
g10012	1246
g10013	2418
g10014	4079
g10015	4114
g10016	3365
g10017	415
g10018	5046
g10019	1017
g1002	2634
g10020	3715
g10021	1115
g10022	2981
g10023	997
g10024	2960
g10025	3024
g10026	1817
g10027	5502
g10028	2605
g10029	2472
g1003	4153
g10030	4451
g10031	2939
g10032	8464
g10033	12110
g10034	5864
g10035	3502
g10036	4736
g10037	1537
g10038	14505
g10039	7992
g1004	5908
g10040	2317
g10041	1155
g10042	1080
g10043	2025
g10044	4274
g10045	5210
g10046	5563
g10047	8459
g10048	1524
g10049	1748
g1005	2002
g10050	1379
g10051	1766
g10052	865
g10053	1508
g10054	2285
g10055	1580
g10056	4613
g10057	5321
g10058	1423
g10059	9970
g1006	2097
g10060	1931
g10061	2104
g10062	2153
g10063	2284
g10064	5278
g10065	2175
g10066	1833
g10067	1408
g10068	3553
g10069	697
g1007	3793
g10070	2030
g10071	4428
g10072	2936
g10073	1272
g10074	6334
g10075	5711
g10076	2386
g10077	1896
g10078	3858
g10079	3878
g10080	11689
g10081	428
g10082	1463
g10083	2929
g10084	285
g10085	834
g10086	2074
g10087	5343
g10088	3206
g10089	5567
g1009	2511
g10090	1241
g10091	5739
g10092	1458
g10093	1472
g10094	4321
g10095	2001
g10096	2601
g10097	3287
g10098	874
g10099	1385
g101	1814
g1010	4292
g10100	1277
g10101	4034
g10102	1739
g10103	2060
g10104	1368
g10105	1327
g10106	2832
g10107	3087
g10108	1784
g10109	1701
g1011	7650
g10110	2144
g10111	3593
g10112	2114
g10113	3276
g10114	2771
g10115	2979
g10116	3259
g10117	3032
g10118	1346
g10119	1227
g1012	1998
g10120	2321
g10121	2816
g10122	2350
g10123	5929
g10124	4109
g10125	2885
g10126	6452
g10127	7390
g10128	6093
g1013	1277
g10130	1723
g10131	5576
g10132	866
g10133	3782
g10134	9498
g10135	1179
g10136	9114
g10139	16381
g1014	1276
g10140	2461
g10141	2814
g10142	1780
g10143	1324
g10144	7901
g10145	3144
g10146	12771
g10147	4297
g10149	2718
g1015	3631
g10150	2743
g10151	2340
g10152	1494
g10153	2594
g10154	1803
g10155	2117
g10156	1592
g10157	2181
g10158	1517
g10159	1923
g1016	3769
g10160	3942
g10161	2223
g10162	5778
g10163	2157
g10164	1745
g10165	2055
g10166	4040
g10167	1456
g10168	1349
g10169	1911
g1017	2608
g10170	2976
g10171	1534
g10172	1974
g10173	2306
g10174	2719
g10175	3450
g10176	6132
g10177	1124
g1018	1706
g10182	737
g10185	1197
g10186	2760
g10188	857
g10189	2915
g1019	1806
g10191	1597
g10192	4858
g10193	7709
g10194	10028
g10195	860
g10196	3547
g10197	4760
g102	2386
g1020	3592
g10203	426
g10204	1017
g10206	2045
g10207	584
g10208	5974
g10209	5633
g1021	3314
g10210	1202
g10211	8614
g10212	1627
g10213	3074
g10214	1494
g10215	2350
g10216	5381
g10217	5646
g10218	2805
g10219	9468
g1022	2121
g10220	12844
g10221	2667
g10222	14594
g10223	9314
g10224	2558
g10225	1160
g10226	3097
g10227	8858
g10228	3453
g10229	6480
g1023	13031
g10230	2375
g10231	2753
g10232	2724
g10233	2623
g10234	3574
g10235	2249
g10236	2410
g10237	1887
g10238	2560
g10239	1407
g10240	2378
g10241	2126
g10243	2221
g10244	2789
g10245	6131
g10246	1745
g10247	4103
g10248	3706
g10249	3935
g1025	4053
g10250	1050
g10251	1121
g10252	2057
g10253	2293
g10254	931
g10255	2196
g10256	3988
g10257	7528
g10258	674
g10259	3464
g1026	1853
g10260	4236
g10261	4427
g10262	7989
g10263	1584
g10264	1892
g10265	8061
g10266	3074
g10267	3228
g10268	1587
g10269	2785
g1027	5231
g10270	2176
g10271	2218
g10274	1704
g10275	544
g10276	774
g10277	948
g1028	5950
g1029	1416
g10290	2358
g10291	2869
g10293	2916
g10294	2523
g10295	2677
g10296	1801
g10297	1927
g10298	1561
g10299	1879
g103	2080
g1030	1847
g10300	2252
g10301	2876
g10302	3616
g10303	2136
g10304	2006
g10305	3015
g10306	1012
g10307	5370
g10308	3624
g10309	4923
g1031	1709
g10310	1418
g10311	2972
g10312	1800
g10313	1632
g10316	1930
g10317	3144
g1032	1803
g10320	4005
g10321	6569
g10322	701
g10323	1935
g10324	2416
g10325	16297
g10326	2461
g10327	11794
g10328	1324
g10329	2044
g1033	5344
g10330	3736
g10331	2367
g10332	2279
g10333	5431
g10334	1485
g10335	4373
g10336	3702
g10337	3328
g10338	1882
g10339	2819
g1034	19366
g10340	2285
g10341	2529
g10342	3225
g10343	3944
g10344	4080
g10345	1476
g10346	1865
g10347	2423
g10348	4432
g10349	2272
g1035	2855
g10350	1724
g10351	1473
g10352	2767
g10353	2401
g10354	3712
g10355	4888
g10356	2663
g10357	1565
g10359	2919
g1036	4553
g10360	2881
g10361	1361
g10362	4761
g10363	1393
g10364	4853
g10365	5241
g10366	2777
g10367	3554
g10368	1798
g10369	2468
g1037	1271
g10370	1256
g10371	3913
g10372	2072
g10373	5640
g10374	3097
g10375	10879
g10376	1354
g10377	6640
g10378	8111
g10379	3415
g1038	1378
g10380	720
g10381	679
g10382	2139
g10383	2180
g10384	1579
g10385	3207
g10386	12683
g10387	1286
g10388	2402
g1039	3742
g10390	3757
g10391	5314
g10392	1710
g10393	5708
g10394	2426
g10395	1110
g10396	1274
g10397	1417
g10398	1798
g10399	4957
g104	2261
g1040	1268
g10400	4854
g10401	1939
g10402	2694
g10403	2129
g10404	1690
g10405	1362
g10406	4457
g10407	14922
g10408	4866
g10409	3812
g1041	8265
g10410	1461
g10411	2326
g10412	3708
g10413	3102
g10414	3192
g10415	1149
g10416	3626
g10417	12634
g10418	1773
g10419	2351
g1042	3116
g10420	4513
g10421	1675
g10422	3422
g10423	3999
g10424	2051
g10425	2406
g10426	2540
g10428	4558
g10429	2764
g1043	2465
g10430	1644
g10431	2043
g10432	1406
g10433	2767
g10434	4273
g10435	16228
g10436	3614
g10437	2473
g10438	2887
g10439	4017
g1044	1168
g10440	2858
g10441	3207
g10442	3623
g10443	2174
g10444	1888
g10445	2474
g10449	2018
g1045	2168
g10450	1220
g10451	1767
g10452	2663
g10453	2757
g10454	2144
g10455	3770
g10456	2216
g10457	7994
g10458	1226
g10459	2482
g1046	3357
g10460	3222
g10461	1069
g10462	2964
g10463	3782
g10464	1690
g10465	1818
g10466	2083
g10467	1658
g10468	4725
g1047	4180
g10470	2787
g10471	971
g10472	6692
g10473	2431
g10474	8648
g10475	1680
g10476	1257
g10477	7643
g10478	3040
g10479	1432
g1048	1882
g10480	9259
g10481	3180
g10482	19758
g10486	2062
g10487	1872
g10488	3082
g10489	5268
g1049	2401
g10490	1623
g10491	1543
g10492	1815
g10493	5321
g10494	3039
g10495	3443
g10496	1459
g10497	1894
g10498	2114
g10499	2254
g105	932
g1050	3472
g10500	1569
g10501	2942
g10502	1244
g10503	1663
g10504	2635
g10505	2060
g10506	7906
g10507	2186
g10508	1502
g10509	774
g1051	1654
g10510	2746
g10511	2613
g10512	4871
g10513	2324
g10514	1812
g10515	1332
g10516	1477
g10517	1151
g10518	2069
g10519	2650
g1052	2622
g10520	3749
g10521	2873
g10522	1698
g10523	12089
g10524	2184
g10525	8754
g10529	1169
g1053	2962
g10530	3829
g10531	2152
g10532	6657
g10533	994
g10534	1708
g10535	4056
g10536	1383
g10537	2542
g10538	4830
g10539	1737
g1054	1987
g10540	1020
g10541	4444
g10542	2403
g10543	2119
g10544	1499
g10545	3274
g10546	944
g10547	7984
g10548	7098
g10549	1567
g1055	1252
g10550	3826
g10551	4785
g10552	2463
g10553	3998
g10554	2321
g10555	3081
g10557	2817
g10558	5363
g10559	1155
g1056	3508
g10560	11243
g10561	7095
g10562	6950
g10563	7430
g10564	8421
g10565	4662
g10566	1832
g10567	985
g10568	3784
g10569	1612
g1057	3404
g10570	3932
g10571	1597
g10572	7630
g10573	1066
g10575	5863
g10576	1744
g10577	9705
g10578	2816
g10579	2734
g1058	3529
g10580	3768
g10581	5490
g10582	1787
g10583	8792
g10584	11271
g10585	2713
g10586	910
g10587	935
g10588	3277
g10589	2586
g1059	2708
g10591	2597
g10592	8074
g10594	958
g10595	8956
g10597	3836
g10598	975
g10599	749
g1060	3252
g10600	982
g10601	1791
g10602	2086
g10603	6886
g10604	5631
g10605	1955
g10607	889
g10608	3475
g10609	1399
g1061	1887
g10610	1508
g10611	2064
g10612	759
g10613	1264
g10614	668
g10615	3015
g10616	3458
g10617	2519
g10618	770
g10619	1399
g1062	3334
g10620	1602
g10621	2691
g10622	3549
g10623	8224
g10624	749
g10625	3313
g10626	3020
g10627	5658
g10628	2653
g10629	1617
g1063	1528
g10630	10537
g10631	1281
g10632	1409
g10633	2078
g10634	4118
g10635	2457
g10636	1413
g10637	2864
g10638	1204
g10639	2729
g1064	2400
g10640	829
g10641	1276
g10642	1061
g10643	1224
g10644	669
g10645	514
g10646	1928
g10647	1374
g10648	3105
g10649	1294
g1065	3789
g10650	849
g10651	464
g10652	2099
g10653	1374
g10654	2281
g10655	2120
g10656	719
g10657	2364
g10658	3580
g10659	4820
g1066	2426
g10660	2287
g10662	754
g10663	4369
g10664	1009
g10665	1209
g10666	3806
g10667	1112
g10668	1654
g10669	3049
g1067	3473
g10670	1259
g10671	864
g10672	4019
g10673	1844
g10674	986
g10675	1223
g10676	6563
g10677	1124
g10678	2524
g10679	1901
g1068	1748
g10680	1395
g10681	1189
g10682	3456
g10683	579
g10684	1559
g10685	4263
g10686	1179
g10687	699
g10688	944
g10689	2479
g1069	2137
g10690	719
g10691	584
g10692	8551
g10693	2415
g10694	1399
g10695	6412
g10696	2675
g10697	1410
g10698	1674
g10699	4237
g107	3280
g1070	1888
g10700	1656
g10701	2022
g10702	434
g10703	1229
g10704	3155
g10706	979
g10707	2209
g10708	1124
g10709	479
g1071	2131
g10710	1350
g10711	1161
g10712	3046
g10713	1059
g10714	1792
g10715	1469
g10716	524
g10717	1229
g10718	1968
g10719	5899
g1072	3478
g10720	1154
g10721	993
g10722	1327
g10723	871
g10724	459
g10725	2054
g10726	4678
g10727	1144
g10728	634
g10729	1353
g1073	2321
g10730	2741
g10731	5581
g10732	611
g10733	2298
g10734	1409
g10735	7102
g10736	1489
g10737	1314
g10738	3216
g10739	3732
g1074	5610
g10740	3906
g10741	4034
g10742	1655
g10743	1114
g10744	1124
g10745	1404
g10746	894
g10747	1304
g10748	3101
g10749	2033
g1075	4857
g10750	909
g10751	5138
g10752	1179
g10753	6384
g10754	3854
g10755	21343
g10756	4159
g10757	6822
g10758	2334
g1076	1780
g10760	3671
g10761	1599
g10762	5132
g10763	1612
g10764	1629
g10765	5670
g10766	1366
g10767	2148
g10768	2437
g10769	2254
g1077	9340
g10770	2236
g10771	1983
g10772	1431
g10773	1896
g10774	14295
g10775	1122
g10776	4449
g10777	4281
g10778	2380
g10779	3109
g1078	1194
g10780	2150
g10781	1206
g10782	1563
g10783	2383
g10784	5433
g10785	3973
g10786	2945
g10787	1610
g10788	3831
g10789	3757
g1079	1772
g10791	4675
g10793	4907
g10794	11881
g10795	1135
g10796	7022
g10797	2365
g10798	1146
g10799	5018
g108	4538
g1080	912
g10800	4246
g10801	4091
g10802	3085
g10803	1033
g10804	2901
g10805	2792
g10806	2465
g10807	7193
g10808	2994
g10809	1124
g1081	2859
g10810	1504
g10811	4230
g10812	516
g10813	714
g10814	2750
g10815	2235
g10816	5947
g10817	1429
g10818	1383
g10819	2569
g1082	1164
g10820	1285
g10821	8745
g10822	2755
g10823	9547
g10824	2195
g10825	4871
g10826	2915
g10827	2606
g10828	7102
g10829	2633
g1083	2743
g10830	3292
g10831	860
g10832	3706
g10833	14117
g10834	7941
g10835	1845
g10836	2255
g10837	1338
g10838	2895
g10839	3192
g10840	1683
g10841	2310
g10842	7461
g10843	1633
g10844	4347
g10845	1314
g10846	3214
g10847	1779
g10848	1510
g10849	1927
g1085	1147
g10850	2069
g10851	1389
g10852	1150
g10853	1261
g10854	6841
g10855	2130
g10856	1345
g10857	2379
g10858	2277
g10859	1799
g1086	1513
g10860	4377
g10861	2104
g10862	5352
g10863	3047
g10864	3103
g10865	1926
g10866	1725
g10867	4370
g10868	2337
g10869	2485
g1087	2989
g10870	1612
g10871	7848
g10872	1844
g10873	9002
g10874	1853
g10875	1386
g10876	1885
g10877	1895
g10878	1664
g10879	3955
g1088	1485
g10880	974
