geneid	length
Cre01.g000050	5705
Cre01.g000100	8711
Cre01.g000150	10964
Cre01.g000200	6187
Cre01.g000250	2011
Cre01.g000300	2706
Cre01.g000350	2783
Cre01.g000400	3011
Cre01.g000450	4548
Cre01.g000500	3730
Cre01.g000550	4718
Cre01.g000600	3806
Cre01.g000650	5512
Cre01.g000700	4039
Cre01.g000750	4166
Cre01.g000800	4358
Cre01.g000850	1633
Cre01.g000900	2785
Cre01.g000950	2247
Cre01.g001000	4057
Cre01.g001100	4312
Cre01.g001150	9750
Cre01.g001200	12576
Cre01.g001250	8835
Cre01.g001300	17292
Cre01.g001350	3404
Cre01.g001400	8565
Cre01.g001450	4749
Cre01.g001501	3276
Cre01.g001550	5591
Cre01.g001600	2352
Cre01.g001650	1983
Cre01.g001657	3359
Cre01.g001664	706
Cre01.g001678	4173
Cre01.g001700	5629
Cre01.g001750	3675
Cre01.g001800	5340
Cre01.g001950	3008
Cre01.g001983	2937
Cre01.g002050	3459
Cre01.g002100	18658
Cre01.g002150	3805
Cre01.g002200	393
Cre01.g002201	3302
Cre01.g002227	2607
Cre01.g002250	1213
Cre01.g002300	2220
Cre01.g002350	2450
Cre01.g002400	4431
Cre01.g002500	909
Cre01.g002550	2380
Cre01.g002600	1689
Cre01.g002650	1699
Cre01.g002700	4276
Cre01.g002750	2633
Cre01.g002787	19824
Cre01.g002900	227
Cre01.g002950	3814
Cre01.g003000	5081
Cre01.g003050	6592
Cre01.g003100	2967
Cre01.g003150	3496
Cre01.g003200	4076
Cre01.g003250	1259
Cre01.g003300	1864
Cre01.g003376	4199
Cre01.g003450	4059
Cre01.g003463	5021
Cre01.g003475	2659
Cre01.g003487	2597
Cre01.g003500	10654
Cre01.g003516	3584
Cre01.g003524	4994
Cre01.g003550	7345
Cre01.g003650	17420
Cre01.g003700	11368
Cre01.g003751	9159
Cre01.g003800	36117
Cre01.g003850	3662
Cre01.g003950	12927
Cre01.g004000	787
Cre01.g004124	11379
Cre01.g004157	20529
Cre01.g004200	6505
Cre01.g004250	341
Cre01.g004300	3058
Cre01.g004350	3547
Cre01.g004400	581
Cre01.g004450	2513
Cre01.g004500	3621
Cre01.g004550	4803
Cre01.g004600	97703
Cre01.g004651	2459
Cre01.g004700	1255
Cre01.g004750	3709
Cre01.g004800	3332
Cre01.g004850	5567
Cre01.g004900	2255
Cre01.g004950	1685
Cre01.g005001	2304
Cre01.g005050	9935
Cre01.g005100	4972
Cre01.g005150	11822
Cre01.g005200	7482
Cre01.g005300	1549
Cre01.g005400	2908
Cre01.g005450	1563
Cre01.g005500	4128
Cre01.g005543	215
Cre01.g005550	503
Cre01.g005600	590
Cre01.g005651	3562
Cre01.g005701	10512
Cre01.g005750	2543
Cre01.g005813	2986
Cre01.g005850	2115
Cre01.g005900	2961
Cre01.g005950	3024
Cre01.g006000	2662
Cre01.g006050	8554
Cre01.g006100	1059
Cre01.g006150	3405
Cre01.g006450	2344
Cre01.g006600	2621
Cre01.g006614	1538
Cre01.g006766	2132
Cre01.g006800	2833
Cre01.g006850	405
Cre01.g006900	7651
Cre01.g006950	2465
Cre01.g007000	5872
Cre01.g007050	2246
Cre01.g007051	780
Cre01.g007100	6210
Cre01.g007150	2834
Cre01.g007200	3142
Cre01.g007251	14544
Cre01.g007300	3448
Cre01.g007350	2275
Cre01.g007400	6788
Cre01.g007450	4963
Cre01.g007500	6119
Cre01.g007550	4310
Cre01.g007600	1564
Cre01.g007651	4865
Cre01.g007700	2591
Cre01.g007737	4094
Cre01.g007774	2201
Cre01.g007811	2921
Cre01.g007850	1389
Cre01.g007901	6156
Cre01.g007950	4924
Cre01.g008000	1667
Cre01.g008051	3406
Cre01.g008100	5467
Cre01.g008150	7940
Cre01.g008200	3616
Cre01.g008250	3382
Cre01.g008300	5319
Cre01.g008350	7283
Cre01.g008450	2492
Cre01.g008500	3854
Cre01.g008550	11176
Cre01.g008600	4944
Cre01.g008650	8113
Cre01.g008700	2734
Cre01.g008750	3100
Cre01.g008800	2969
Cre01.g008850	21383
Cre01.g008891	3710
Cre01.g008900	1338
Cre01.g008950	5095
Cre01.g009000	2815
Cre01.g009050	612
Cre01.g009101	5382
Cre01.g009150	1415
Cre01.g009200	2610
Cre01.g009250	8579
Cre01.g009300	4598
Cre01.g009325	1852
Cre01.g009350	8201
Cre01.g009400	7021
Cre01.g009450	2031
Cre01.g009500	4157
Cre01.g009550	4244
Cre01.g009575	5174
Cre01.g009650	5768
Cre01.g009700	9208
Cre01.g009731	4656
Cre01.g009765	4937
Cre01.g009800	4203
Cre01.g009850	4359
Cre01.g009900	4945
Cre01.g009950	1646
Cre01.g010000	2103
Cre01.g010050	28594
Cre01.g010100	5180
Cre01.g010150	5980
Cre01.g010201	9579
Cre01.g010250	7369
Cre01.g010296	239
Cre01.g010300	1830
Cre01.g010350	1670
Cre01.g010400	561
Cre01.g010450	1300
Cre01.g010500	227
Cre01.g010550	3036
Cre01.g010650	7550
Cre01.g010700	936
Cre01.g010750	5758
Cre01.g010800	4452
Cre01.g010816	1975
Cre01.g010832	3863
Cre01.g010848	1730
Cre01.g010864	4254
Cre01.g010880	4153
Cre01.g010900	5504
Cre01.g010950	4703
Cre01.g011000	1354
Cre01.g011100	7175
