CREN	CSCH	MALA	JG05	CINC
Cre01.g000150	g5	Mal24_g15337	JG24_g19226	g13756
Cre01.g000200	g6	Mal24_g15336	JG24_g19227	g13755
Cre01.g000250	g7	Mal24_g15335		
Cre01.g000300	g8	Mal24_g15334	JG24_g19229	g13753
Cre01.g000350	g9			g13752
Cre01.g000400	g10			g13751
Cre01.g000450	g11	Mal24_g15332	JG24_g19231	g13750
Cre01.g000600	g13	Mal24_g15328	JG24_g19236	g13747
Cre01.g000650	g14	Mal24_g15327	JG24_g19237	g13746
Cre01.g000700	g15	Mal24_g15326	JG24_g19238	g13744
Cre01.g000750	g17	Mal24_g15325	JG24_g19239	g13742
Cre01.g000800	g18			g13741
Cre01.g000850	g19	Mal24_g15324	JG24_g19240	
Cre01.g000900	g20	Mal24_g15323	JG24_g19241	g13739
Cre01.g000950	g21	Mal24_g15322	JG24_g19242	g13738
Cre01.g001000	g22			
Cre01.g001100	g23	Mal24_g15319	JG24_g19244	g13736
Cre01.g001150	g24		JG24_g19245	g13735
Cre01.g001350	g15515	Mal24_g15315	JG24_g11173	g17124
Cre01.g001400	g15516	Mal24_g15314	JG24_g11174	g17125
Cre01.g001450	g15517	Mal24_g15313	JG24_g11175	g17126
Cre01.g001501	g15521	Mal24_g15311	JG24_g11176	g17127
Cre01.g001550	g15522	Mal24_g15310	JG24_g11177	g17128
Cre01.g001657	g15525	Mal24_g15305	JG24_g11180	g17131
Cre01.g001664	g15527	Mal24_g15302	JG24_g11185	g17134
Cre01.g001678	g15528	Mal24_g15301	JG24_g11187	g17135
Cre01.g001700	g15529	Mal24_g15300	JG24_g11188	g17137
Cre01.g001750	g15530	Mal24_g15299	JG24_g11191	g17138
Cre01.g001800	g15531	Mal24_g15298	JG24_g11192	
Cre01.g001950	g15534	Mal24_g15296	JG24_g11193	g17141
Cre01.g001983	g15535	Mal24_g15295	JG24_g11194	g17142
Cre01.g002050	g15536	Mal24_g15294	JG24_g11195	g17143
Cre01.g002200	g15538	Mal24_g15292	JG24_g11197	g17145
Cre01.g002201	g15540	Mal24_g15290		g17147
Cre01.g002250	g15544	Mal24_g15287	JG24_g11207	g17149
Cre01.g002300	g15545	Mal24_g15286	JG24_g11208	g17150
Cre01.g002350	g15546	Mal24_g15285	JG24_g11209	g17151
Cre01.g002400	g15548	Mal24_g15283	JG24_g11210	
Cre01.g002500	g15550	Mal24_g15279	JG24_g11211	g17154
Cre01.g002550	g15551	Mal24_g15278	JG24_g11212	g17155
Cre01.g002700	g15556		JG24_g11215	g17158
Cre01.g002750	g15557		JG24_g11216	g17159
Cre01.g002950	g15558	Mal24_g15269		g17160
Cre01.g003000	g15559			g17161
Cre01.g003100	g15561	Mal24_g15263	JG24_g11226	g17166
Cre01.g003150	g15562	Mal24_g15262	JG24_g11227	g17167
Cre01.g003200	g15563	Mal24_g15261	JG24_g11228	g17168
Cre01.g003376	g15565	Mal24_g15259	JG24_g11230	g17171
Cre01.g003450	g15566	Mal24_g15258	JG24_g11231	g17172
Cre01.g003463	g15568	Mal24_g15250	JG24_g11232	g17173
Cre01.g003487	g13439	Mal24_g15248	JG24_g11233	g17176
Cre01.g003500	g13440	Mal24_g15247	JG24_g11234	
Cre01.g003516	g13441	Mal24_g15246		
Cre01.g003524	g13442	Mal24_g15245	JG24_g18501	g13729
Cre01.g003550	g13448	Mal24_g15238	JG24_g18504	g13725
Cre01.g003650	g907	Mal24_g9111	JG24_g15087	g15615
Cre01.g003700	g13449	Mal24_g15237	JG24_g18505	g13724
Cre01.g003751	g13450		JG24_g18506	g13723
Cre01.g003850	g13451	Mal24_g17650	JG24_g18508	g13721
Cre01.g004157	g13456		JG24_g18516	g13716
Cre01.g004157	g13456		JG24_g18516	g13716
Cre01.g004157	g13456		JG24_g18516	g13716
Cre01.g004157	g13456		JG24_g18516	g13716
Cre01.g004200	g13457	Mal24_g17657	JG24_g18517	g13715
Cre01.g004250	g13458	Mal24_g17658	JG24_g18518	g13714
Cre01.g004300	g13459	Mal24_g17659	JG24_g18519	g13713
Cre01.g004350	g13460	Mal24_g17660	JG24_g18520	g13712
Cre01.g004500	g13466	Mal24_g17664	JG24_g18524	g13709
Cre01.g004550	g13467	Mal24_g17665	JG24_g18525	g13708
Cre01.g004600	g13468	Mal24_g17666	JG24_g18526	g13707
Cre01.g004700	g13470	Mal24_g17668	JG24_g18528	g13705
Cre01.g004750	g13471	Mal24_g17669	JG24_g18529	g13704
Cre01.g004750	g13471	Mal24_g17669	JG24_g18529	g13704
Cre01.g004750	g13471	Mal24_g17669	JG24_g18529	g13704
Cre01.g004750	g13471	Mal24_g17669	JG24_g18529	g13704
Cre01.g004750	g13471	Mal24_g17669	JG24_g18529	g13704
Cre01.g004750	g13471	Mal24_g17669	JG24_g18529	g13704
Cre01.g004750	g13471	Mal24_g17669	JG24_g18529	g13704
Cre01.g004750	g13471	Mal24_g17669	JG24_g18529	g13704
Cre01.g004800	g13472	Mal24_g17670	JG24_g18530	
Cre01.g004850	g13473	Mal24_g17673	JG24_g18532	g13701
Cre01.g004950	g13474	Mal24_g17675	JG24_g18534	g13699
Cre01.g005050	g13476	Mal24_g17677	JG24_g18536	g13697
Cre01.g005100	g13477	Mal24_g17678	JG24_g18537	g13696
Cre01.g005100	g13477	Mal24_g17678	JG24_g18537	g13696
Cre01.g005100	g13477	Mal24_g17678	JG24_g18537	g13696
Cre01.g005100	g13477	Mal24_g17678	JG24_g18537	g13696
Cre01.g005100	g13477	Mal24_g17678	JG24_g18537	g13696
Cre01.g005100	g13477	Mal24_g17678	JG24_g18537	g13696
Cre01.g005100	g13477	Mal24_g17678	JG24_g18537	g13696
Cre01.g005100	g13477	Mal24_g17678	JG24_g18537	g13696
Cre01.g005150	g13478	Mal24_g17680	JG24_g18538	g13695
Cre01.g005200	g13479	Mal24_g17681	JG24_g18539	g14066
Cre01.g005400	g13483	Mal24_g17685	JG24_g18543	g14062
Cre01.g005450	g13484	Mal24_g17686	JG24_g18544	g14061
Cre01.g005500	g13485	Mal24_g17687	JG24_g18545	g14060
Cre01.g005550	g13486	Mal24_g17688	JG24_g18546	g14059
Cre01.g005600	g13487	Mal24_g17689	JG24_g18547	
Cre01.g005651	g13488	Mal24_g17690		g14058
Cre01.g005701	g13489	Mal24_g17691		g14057
Cre01.g005750	g13491		JG24_g18549	g14055
Cre01.g005813	g13492	Mal24_g17694	JG24_g18551	g14054
Cre01.g005850	g13493	Mal24_g17695	JG24_g18552	g14053
Cre01.g005900	g13495	Mal24_g17698	JG24_g18556	g14052
Cre01.g005950	g13496	Mal24_g17699	JG24_g18557	g14051
Cre01.g005950	g13496	Mal24_g17699	JG24_g18557	g14051
Cre01.g005950	g13496	Mal24_g17699	JG24_g18557	g14051
Cre01.g005950	g13496	Mal24_g17699	JG24_g18557	g14051
Cre01.g005950	g13496	Mal24_g17699	JG24_g18557	g14051
Cre01.g005950	g13496	Mal24_g17699	JG24_g18557	g14051
Cre01.g005950	g13496	Mal24_g17699	JG24_g18557	g14051
Cre01.g005950	g13496	Mal24_g17699	JG24_g18557	g14051
Cre01.g006000	g13498	Mal24_g17701	JG24_g18559	
Cre01.g006050	g13501	Mal24_g17702	JG24_g18560	
Cre01.g006100	g13502	Mal24_g17703	JG24_g18561	g14049
Cre01.g006150	g13503	Mal24_g17704	JG24_g18562	g14048
Cre01.g006800	g10246	Mal24_g4804	JG24_g18579	g14007
Cre01.g006850	g10245	Mal24_g4803	JG24_g18580	
Cre01.g006950	g10242	Mal24_g4801	JG24_g18584	g14011
Cre01.g007000	g10240	Mal24_g4799	JG24_g18585	g14012
Cre01.g007050	g10239	Mal24_g4798	JG24_g18586	g14013
Cre01.g007051	g10237	Mal24_g4797		g14014
Cre01.g007100	g10236	Mal24_g4796	JG24_g18588	
Cre01.g007200	g10233	Mal24_g4793	JG24_g18591	g14018
Cre01.g007251	g10231	Mal24_g4792	JG24_g18592	g14019
Cre01.g007300	g10230	Mal24_g4791	JG24_g18593	g14020
Cre01.g007350	g10229	Mal24_g4790	JG24_g18594	g14021
Cre01.g007400	g10228		JG24_g18595	
Cre01.g007450	g10227			g14023
Cre01.g007500	g10224	Mal24_g4786	JG24_g18599	g14024
Cre01.g007550	g10223	Mal24_g4785	JG24_g18600	g14025
Cre01.g007600	g10222	Mal24_g4784	JG24_g18601	g14027
Cre01.g007651	g10221		JG24_g18602	g14028
Cre01.g007700	g10220	Mal24_g4782	JG24_g18604	g14029
Cre01.g007737	g10219	Mal24_g4781	JG24_g18603	g14030
Cre01.g007774	g10218	Mal24_g4779	JG24_g18608	g2034
Cre01.g007811	g10217	Mal24_g4778	JG24_g18609	g2035
Cre01.g007850	g10216	Mal24_g4777	JG24_g18610	
Cre01.g007901	g10215	Mal24_g4776	JG24_g18611	g6099
Cre01.g008000	g10214	Mal24_g4775		g6100
Cre01.g008051	g10213	Mal24_g4774	JG24_g2302	g6101
Cre01.g008250	g10209	Mal24_g4769	JG24_g2298	g6104
Cre01.g008450	g10205	Mal24_g4765	JG24_g2294	g6108
Cre01.g008500	g10204	Mal24_g4764	JG24_g2293	g6109
Cre01.g008550	g10203	Mal24_g4763	JG24_g2292	g6110
Cre01.g008600	g10202	Mal24_g4762	JG24_g2291	g6111
Cre01.g008800	g10199			
Cre01.g008850	g10198	Mal24_g4757	JG24_g2286	g6119
Cre01.g008850	g10198	Mal24_g4757	JG24_g2286	g6119
Cre01.g008850	g10198	Mal24_g4757	JG24_g2286	g6119
Cre01.g008850	g10198	Mal24_g4757	JG24_g2286	g6119
Cre01.g008850	g10198	Mal24_g4757	JG24_g2286	g6119
Cre01.g008850	g10198	Mal24_g4757	JG24_g2286	g6119
Cre01.g008850	g10198	Mal24_g4757	JG24_g2286	g6119
Cre01.g008850	g10198	Mal24_g4757	JG24_g2286	g6119
Cre01.g008891	g10197	Mal24_g4756	JG24_g2285	g6120
Cre01.g008900	g10196	Mal24_g4755		
Cre01.g009101	g10195			
Cre01.g009150	g10194	Mal24_g4753	JG24_g2279	g6123
Cre01.g009200	g10193	Mal24_g4752	JG24_g2278	g6124
Cre01.g009250	g10192	Mal24_g4751	JG24_g2277	g6125
Cre01.g009300	g10191	Mal24_g4750	JG24_g2276	g6126
Cre01.g009350	g10186	Mal24_g4745	JG24_g2272	g6130
Cre01.g009700	g15583			g6136
Cre01.g009800	g15581	Mal24_g4739	JG24_g2262	g6138
Cre01.g009850	g15580	Mal24_g4740	JG24_g2261	g6139
Cre01.g009900	g15589	Mal24_g4731	JG24_g2260	g6140
Cre01.g009950	g15588	Mal24_g4732	JG24_g2259	g6142
Cre01.g010000	g15587	Mal24_g4733	JG24_g2258	g6143
Cre01.g010050	g15586		JG24_g2257	g6144
Cre01.g010100	g15585	Mal24_g4735	JG24_g2256	g6145
Cre01.g010201	g6302			
Cre01.g010201	g6302			
Cre01.g010250	g15593	Mal24_g4728	JG24_g2253	g6150
Cre01.g010300	g15594	Mal24_g4727	JG24_g2252	g6151
Cre01.g010350	g15597	Mal24_g4724	JG24_g2195	g6156
Cre01.g010400	g15598	Mal24_g4723	JG24_g2196	g6157
Cre01.g010450	g15599	Mal24_g4722	JG24_g2197	g6158
Cre01.g010500	g15600	Mal24_g4721	JG24_g2198	g6159
Cre01.g010700	g15605	Mal24_g4718		g6162
Cre01.g010750	g15606	Mal24_g4717	JG24_g2201	g6163
Cre01.g010800	g15607	Mal24_g4715	JG24_g2202	g6165
Cre01.g010816	g9891	Mal24_g4714	JG24_g2203	g6166
Cre01.g010832	g9892		JG24_g2204	g6167
Cre01.g010848	g9894	Mal24_g4711	JG24_g2206	g6170
Cre01.g010864	g9895	Mal24_g4710		
Cre01.g010880	g9896	Mal24_g4709	JG24_g2208	g6172
Cre01.g010900	g9897	Mal24_g4708	JG24_g2209	g6173
Cre01.g010950	g9898	Mal24_g4707	JG24_g2217	g6174
Cre01.g011000	g9899	Mal24_g4706	JG24_g2218	g6176
Cre01.g011100	g9900	Mal24_g4704	JG24_g2221	g6178
Cre01.g011150	g9901	Mal24_g4703	JG24_g2223	g6179
Cre01.g011200	g9902	Mal24_g4702	JG24_g2146	g6180
Cre01.g011250	g9903	Mal24_g4701	JG24_g2147	
Cre01.g011350	g9905	Mal24_g4699	JG24_g2149	g6182
Cre01.g011400	g9906	Mal24_g4698	JG24_g2151	g6183
Cre01.g011450	g9907	Mal24_g4696	JG24_g2152	g6184
Cre01.g011500	g9908	Mal24_g4695	JG24_g2153	g6185
Cre01.g011550	g9909	Mal24_g4694	JG24_g2155	g6186
Cre01.g011600	g9911	Mal24_g4693	JG24_g2157	g6187
Cre01.g011630	g9912		JG24_g2158	g6188
Cre01.g011660	g9913	Mal24_g4690	JG24_g2161	
Cre01.g011660	g9913	Mal24_g4690	JG24_g2161	
Cre01.g011660	g9913	Mal24_g4690	JG24_g2161	
Cre01.g011660	g9913	Mal24_g4690	JG24_g2161	
Cre01.g011750	g9914	Mal24_g4689	JG24_g2162	g6190
Cre01.g011800	g9915		JG24_g2165	
Cre01.g011800	g9915		JG24_g2165	
Cre01.g011850	g9916	Mal24_g4688	JG24_g2166	g6194
Cre01.g011850	g9916	Mal24_g4688	JG24_g2166	g6194
Cre01.g011850	g9916	Mal24_g4688	JG24_g2166	g6194
Cre01.g011850	g9916	Mal24_g4688	JG24_g2166	g6194
Cre01.g011850	g9916	Mal24_g4688	JG24_g2166	g6194
Cre01.g011850	g9916	Mal24_g4688	JG24_g2166	g6194
Cre01.g011850	g9916	Mal24_g4688	JG24_g2166	g6194
Cre01.g011850	g9916	Mal24_g4688	JG24_g2166	g6194
Cre01.g011850	g9916	Mal24_g4688	JG24_g2166	g6194
Cre01.g011850	g9916	Mal24_g4688	JG24_g2166	g6194
Cre01.g011850	g9916	Mal24_g4688	JG24_g2166	g6194
Cre01.g011850	g9916	Mal24_g4688	JG24_g2166	g6194
Cre01.g011850	g9916	Mal24_g4688	JG24_g2166	g6194
Cre01.g011850	g9916	Mal24_g4688	JG24_g2166	g6194
Cre01.g011850	g9916	Mal24_g4688	JG24_g2166	g6194
Cre01.g011850	g9916	Mal24_g4688	JG24_g2166	g6194
Cre01.g011850	g9916	Mal24_g4688	JG24_g2166	g6194
Cre01.g011850	g9916	Mal24_g4688	JG24_g2166	g6194
Cre01.g011850	g9916	Mal24_g4688	JG24_g2166	g6194
Cre01.g011850	g9916	Mal24_g4688	JG24_g2166	g6194
Cre01.g011850	g9916	Mal24_g4688	JG24_g2166	g6194
Cre01.g011850	g9916	Mal24_g4688	JG24_g2166	g6194
Cre01.g011850	g9916	Mal24_g4688	JG24_g2166	g6194
