CINC	JG05	k0	k4	sites
g830	JG24_g9	0.087819499711022	0.4245054147285592	1422
g831	JG24_g10	0.0316265830283658	0.2233758329368492	1511
g834	JG24_g11	0.1004125824925941	0.36044815448182377	2895
g835	JG24_g12	0.1033229547843642	0.3831192178244929	1741
g837	JG24_g14	0.1903845564020143	0.655342106875635	664
g838	JG24_g15	0.0647884606491154	0.42844302221318126	641
g839	JG24_g16	0.045901985791503	0.27329665193186126	8423
g840	JG24_g17	0.1339855000740527	0.7386400524835888	782
g843	JG24_g19	0.0029644307368675	0.13674116759546595	503
g844	JG24_g20	0.0585159041706722	0.3396505102520613	941
g845	JG24_g21	0.1029869013008262	0.3325232855243627	1183
g846	JG24_g22	0.2495930146601548	0.5443293059070164	2249
g847	JG24_g23	0.1500355771392013	0.40724074557665846	5780
g848	JG24_g24	0.0890532672501255	0.5251235649139439	603
g849	JG24_g25	0.022200352332218	0.29234924352282377	984
g850	JG24_g26	0.0376963760856662	0.2546303552372752	819
g851	JG24_g27	0.0388568746503573	0.22173768157571833	3114
g852	JG24_g28	0.0915480773650571	0.47451148860750747	2082
g853	JG24_g29	0.1014271275894502	0.4434878390261261	1007
g854	JG24_g30	0.2640170919129229	0.5619517059117073	1599
g855	JG24_g32	0.1075320736896944	0.5232928856905178	830
g856	JG24_g33	0.1740126934460031	0.46044895875483116	2289
g857	JG24_g34	0.2418028375134514	0.5595080025877598	1091
g858	JG24_g35	0.0400629281227393	0.292820423057718	2274
g12595	JG24_g38	0.0975193613790456	0.2671050311592472	519
g859	JG24_g44	0.2929984804523874	0.477657206323982	797
g860	JG24_g45	0.0510436433905436	0.21126244066689565	1517
g861	JG24_g46	0.2117935748251666	0.49494261515927884	4804
g862	JG24_g47	0.0327154668569178	0.198179009446381	1002
g863	JG24_g48	0.1195917990427136	0.4519307737923739	1851
g864	JG24_g49	0.101316587065482	0.32139917621447445	3845
g865	JG24_g56	0.0258646320533769	0.12025698755638453	180
g866	JG24_g57	0.0520617113244376	0.31925086156926286	524
g867	JG24_g58	0.0535942229866087	0.2424595748524871	3690
g869	JG24_g60	0.1391058568901776	0.39561004400334593	6051
g870	JG24_g61	0.1357972855419343	0.45503986791963896	5322
g871	JG24_g63	0.0171436035570376	0.3241000163927443	265
g872	JG24_g64	0.2506928172406742	0.6184755006074938	1477
g873	JG24_g65	0.0487840088789092	0.3379100939697527	1877
g874	JG24_g66	0.0507105547082154	0.42769617926005365	1025
g875	JG24_g67	0.0574099644365412	0.3603338324746159	1745
g876	JG24_g68	0.0384359718332917	0.31107562557785834	1182
g877	JG24_g69	0.1952123236977498	0.6577898289439523	1572
g878	JG24_g70	0.1391044376129872	0.42502055363926416	2744
g879	JG24_g71	0.0232854523771971	0.16415936439581413	865
g880	JG24_g72	0.1022575635738931	0.2846919025962062	4982
g881	JG24_g73	0.1375689101208904	0.681297939232723	10462
g882	JG24_g75	0.1490871253860199	0.6531133724891631	7126
g883	JG24_g76	0.0852844771245079	0.441870749568944	9800
g884	JG24_g79	0.1361613453787246	0.48463704035496896	1986
g885	JG24_g80	0.1680709303011853	0.47168134841346543	2038
g886	JG24_g81	0.1929857306659789	0.535794216880261	12729
g889	JG24_g82	0.1698375064952909	0.506128767867847	1908
g890	JG24_g83	0.0950173956058545	0.3148903841701979	1339
g891	JG24_g84	0.0912423804391352	0.4704491069069298	902
g892	JG24_g86	0.0240020483146302	0.37337882117938453	572
g893	JG24_g87	0.0528477572116309	0.3442385613740983	1807
g894	JG24_g88	0.1738026872679788	0.5294146547530313	1370
g895	JG24_g89	0.1219193946149303	0.46347546153908287	3738
g896	JG24_g90	0.1936780119166518	0.5629531766885495	1865
g897	JG24_g91	0.0343776611418259	0.2845247663556023	4316
g898	JG24_g92	0.1534246742869618	0.48711182034960376	3406
g900	JG24_g93	0.3218562402737173	0.681594026837276	3390
g901	JG24_g94	0.0561936741906206	0.31202343310953484	1442
g902	JG24_g96	0.1918814127494021	0.4942297505605139	2354
g903	JG24_g97	0.0229526109041254	0.2090663808268948	1441
g904	JG24_g98	0.2154050057226602	0.4810429015690626	4325
g905	JG24_g99	0.1019311388063455	0.3669547990351923	1090
g906	JG24_g100	0.0156813463661465	0.18817844415719687	4014
g908	JG24_g101	0.0619610017437737	0.5267509772120447	4446
g910	JG24_g104	0.178999688291039	0.6212414691961484	1644
g911	JG24_g105	0.092124294198562	0.3611847015967319	1282
g912	JG24_g106	0.0642823514251832	0.29437947259924435	1053
g913	JG24_g107	0.0577207808520962	0.34493732078425093	1914
g914	JG24_g108	0.0702244315680753	0.3995665092916467	4229
g915	JG24_g109	0.0307255788661671	0.2938481020346254	1190
g916	JG24_g110	0.0115260226712354	0.40901265808245013	940
g917	JG24_g111	0.3033766355510783	0.6613939015895032	1579
g918	JG24_g112	0.0668776895854622	0.4300568325508189	9168
g919	JG24_g113	0.0128620515547158	0.1729284948466947	1412
g920	JG24_g114	0.0347913054364624	0.24158491296953483	3644
g921	JG24_g115	0.1881183542753519	0.477657206323982	887
g922	JG24_g116	0.091639263264611	0.5198603854199589	478
g923	JG24_g118	0.0298661206400037	0.34696764146108483	668
g924	JG24_g119	0.0198687115852322	0.1896450177320151	2184
g926	JG24_g122	0.1963326697035916	0.6631290093616512	2641
g928	JG24_g123	0.1202569875563845	0.5318606414297898	1474
g929	JG24_g124	0.0763847464300634	0.38136211303047574	13486
g930	JG24_g125	0.0170268379637298	0.2864509580234777	456
g931	JG24_g126	0.0643735768873358	0.5604108013726657	449
g932	JG24_g127	0.1684892733293038	0.5044146547959011	3718
g933	JG24_g128	0.0742655694006454	0.39605057265037263	619
g934	JG24_g129	0.0307242960484838	0.3370277369342387	1574
g935	JG24_g130	0.0235171512720161	0.30532132523932154	1661
g936	JG24_g131	0.0202715042909394	0.2879691771654007	818
g937	JG24_g132	0.0247037565145274	0.23667757799371217	1235
g938	JG24_g133	0.0546599425264955	0.3541792354856662	976
g939	JG24_g134	0.0564755243990432	0.3551389285148851	1563
g940	JG24_g135	0.4295332518725039	0.7280841878686686	735
g941	JG24_g136	0.0244919722305394	0.12322728846845721	1740
g942	JG24_g137	0.2723354785303604	0.5766726258823324	2635
g943	JG24_g138	0.102724391304868	0.3857693972604763	378
g944	JG24_g139	0.1022593376563229	0.4151964751153796	1868
g945	JG24_g141	0.1837513086445573	0.564057805536207	2379
g946	JG24_g142	0.0513196040147182	0.2671572895946507	1539
g947	JG24_g143	0.0359829165655711	0.17960997797542738	2359
g948	JG24_g144	0.1857782370426047	0.5183282091976089	750
g949	JG24_g145	0.0567838663017722	0.34622653468141423	1171
g950	JG24_g146	0.0858339096805593	0.3831192178244929	1829
g951	JG24_g148	0.1889477861159536	0.4127220419899652	4426
g952	JG24_g149	0.0342301909728262	0.24625658290347208	1591
g953	JG24_g150	0.0837475544909564	0.43713399978321366	2826
g955	JG24_g152	0.0399581093978718	0.2563648822108562	3287
g956	JG24_g153	0.1867278362276379	0.3904008284197137	1525
g957	JG24_g154	-0.0	0.13443701831773833	379
g958	JG24_g155	0.0856495397071853	0.19164372061293716	594
g959	JG24_g156	0.2048165857511989	0.5199524043146209	11519
g961	JG24_g158	0.2510523763145997	0.5228073440248762	1959
g962	JG24_g159	0.2784468266668529	0.6077687230599056	4079
g963	JG24_g160	0.0615278956259916	0.5304988616639263	365
g964	JG24_g161	0.0509265212996762	0.29234924352282377	899
g965	JG24_g162	0.0216187906025141	0.20914982376194702	1939
g966	JG24_g163	0.0449572769752751	0.11673998228384497	435
g967	JG24_g164	0.0092679585279053	0.16499342596401945	4919
g968	JG24_g165	0.0319197108140969	0.29500781068186466	640
g969	JG24_g167	0.1949159955856708	0.6576661380060945	2423
g970	JG24_g168	0.1011144171067135	0.36935736382334555	1108
g971	JG24_g169	0.0623504251824069	0.3019831738248923	876
g972	JG24_g170	0.0577536402794712	0.2824320736920206	5627
g974	JG24_g172	0.1492909980619942	0.3753621997436517	2876
g975	JG24_g173	0.1168785498802068	0.44550111292166616	4194
g976	JG24_g176	0.4679213255204457	0.6949657037000923	3390
g977	JG24_g179	0.1076687774673129	0.3346833092121261	7894
g978	JG24_g180	0.2058646475517559	0.4285067300068064	1087
g979	JG24_g181	0.0889091410475385	0.3261451468439779	2005
g980	JG24_g182	0.0789236063057878	0.23182838102939074	1750
g981	JG24_g183	0.0916759150058815	0.4516315517656639	304
g982	JG24_g186	0.0073620223032423	0.35967981019641465	413
g985	JG24_g190	0.0654870370202842	0.26039714998814145	3304
g986	JG24_g191	0.1365529854341474	0.3326193777730526	2509
g989	JG24_g192	0.0665966240873484	0.13885682485169698	304
g990	JG24_g193	0.1866947755833909	0.5090688323308842	719
g991	JG24_g195	0.1034338523152479	0.2892468606089886	1254
g992	JG24_g196	0.0677661562799671	0.30409883108112323	723
g993	JG24_g197	0.0438080716173108	0.16245797270444007	494
g994	JG24_g198	0.0100284343189666	0.06301414203988193	1995
g995	JG24_g199	0.020135437527141	0.18543082716995268	687
g996	JG24_g200	0.2296414774050075	0.6081976621622466	1420
g997	JG24_g201	0.1772915835481728	0.35605442549367733	1052
g998	JG24_g202	0.0881901169262557	0.42119434785847154	1008
g999	JG24_g204	0.0083799754485938	0.06319525771330489	356
g1000	JG24_g205	0.1091790109389098	0.6227612265550728	285
g1001	JG24_g206	0.1656156906281199	0.4279086438507096	2385
g1004	JG24_g208	0.2186317231717792	0.5262434026708904	4060
g1168	JG24_g209	0.2766232311962879	0.731737933149956	1020
g1011	JG24_g211	0.0322402993520326	0.22116806553654342	6010
g1012	JG24_g212	0.0184543581016501	0.20595236402881126	1167
g1014	JG24_g213	0.0370094055773662	0.32522698880614553	546
g1016	JG24_g216	0.0758540671866302	0.4370993425433099	770
g1017	JG24_g219	0.0143716972336231	0.1579583513755515	1722
g1018	JG24_g220	0.0274630224286673	0.2795064639638801	668
g1019	JG24_g221	0.1104381487254725	0.33944249471890126	1514
g1020	JG24_g222	0.057342327456908	0.4035652472623847	1923
g1022	JG24_g224	0.0354571195036627	0.2656288602904604	1438
g1023	JG24_g225	0.164446208119431	0.48660436126820605	11706
g1025	JG24_g227	0.1277922335953481	0.40537604393408044	1812
g1027	JG24_g228	0.1844413765520151	0.4628174175376303	4153
g1028	JG24_g231	0.0864858361306818	0.4124305001797792	4701
g1029	JG24_g232	0.0780746461589043	0.4888214732978182	761
g1032	JG24_g233	0.060516683437607	0.20276150842756485	1053
g1031	JG24_g234	0.0628228413441606	0.3254677979268529	836
g1033	JG24_g236	0.0610310456486509	0.40856849370587633	3873
g1034	JG24_g237	0.0941902180846883	0.4089073836376489	17534
g1035	JG24_g238	0.029605749174101	0.25891877079810566	1547
g1036	JG24_g239	0.1293663570462815	0.34261222852418244	3710
g1037	JG24_g240	0.0344888349313675	0.11392115262243493	666
g1038	JG24_g241	0.0509123990448853	0.1475327206845407	602
g1039	JG24_g242	0.0295101429464715	0.1880853940789039	2739
g1040	JG24_g243	0.0053667491965591	0.08284274667323288	286
g1041	JG24_g244	0.3136429683597526	0.6218184626665837	5912
g1042	JG24_g245	0.1804775315712951	0.45342130780940026	2123
g1043	JG24_g246	0.1324183890579034	0.3401736771769317	1628
g1044	JG24_g247	0.0899279454191407	0.8614670319320784	262
g1045	JG24_g248	0.0377055480975776	0.24768126515293265	1276
g1046	JG24_g249	0.056873203420458	0.3316609877376795	876
g1047	JG24_g251	0.0215068499824997	0.2201093926020801	1712
g1048	JG24_g253	0.1479432921494334	0.3920213994910308	1086
